,Concept_ID,xal,az
439,Scheibe::N,зүсм,dilim
440,Fett::N,өөкн,yağ
441,Butter::N,тосн,kərə yağı
442,Öl::N,тосн,yağ
443,Salz::N,давсн,duz
444,Suppe::N,шөлн,şorba
445,Honig::N,бал,bal
446,Milch::N,үсн,süd
447,Tee::N,цә,çay
448,Leder::N,арсн,dəri
449,Wolle::N,утцн,yun
450,Wolle::N,эд,yun
451,Stoff::N,эд,qumaş
452,Nadel::N,зүн,iynə
453,Faden::N,утцн,sap
454,Knopf::N,товч,düymə
455,Knoten::N,зәңгдә,düyün
456,Farbe::N,будг,boya
457,Kleidung::N,хувцн,geyim
458,Kleidung::N,хувц-хунр,geyim
459,Hemd::N,киилг,köynək
460,Kragen::N,зах,yaxa
461,Ärmel::N,ханцн,qol
462,Hose::N,шалвур,şalvar
463,Gürtel::N,бүс,kəmər
464,Mütze::N,махла,şapka
465,Schuh::N,башмгуд,tufli
466,Schuh::N,башмгуд,ayaqqabı
467,Stiefel::N,һосн,çəkmə
468,Ring::N,билцг,üzük
469,Band::N,лент,lent
470,Kamm::N,сам,daraq
471,Spiegel::N,толь,güzgü
472,Riemen::N,бүс,qayış
473,Schnur::N,деесн,ip
474,Leine::N,бурнтг,kəmsik
475,Leine::N,нохан көтлвр,kəmsik
476,Decke::N,көнҗл,ədyal
477,Decke::N,көнҗл,yorğan
478,Kissen::N,дер,yastıq
479,Tuch::N,альчур,şarf
480,Tuch::N,альчур,kaşne
481,Handtuch::N,полотенц,dəsmal
482,Handtuch::N,һар-нүүрин альчур,dəsmal
483,Kraft::N,күчн,güc
484,Stärke::N,чидл,qüvvət
485,Gesundheit::N,эрүл-менд,sağlamlıq
486,Krankheit::N,өвчн,xəstəlik
487,Schmerz::N,өвдлһн,ağrı
488,Schmerz::N,өвдлһн,sancı
489,Wunde::N,шав,yara
490,Fieber::N,безг,isitmə
491,Fieber::N,безг,qızdırma
492,Arznei::N,эм,ilaç
493,Arznei::N,эм,dərman
494,Brücke::N,тагт,körpü
495,Brunnen::N,худг,quyu
496,Weide::N,малын идг,otlaq
497,Pfad::N,цувг,cığır
498,Weg::N,хаалһ,yol
499,Straße::N,зам,küçə
500,Dorf::N,хотн,kənd
501,Stadt::N,балһсн,şəhər
502,Brief::N,бичг,məktub
503,Buch::N,дегтр,kitab
504,Buchstabe::N,үзг,hərf
505,Zeitung::N,газет,qəzet
506,Leben::N,җирһл,həyat
507,Tod::N,үкл,ölüm
508,Tod::N,өңгрлһн,ölüm
509,Grab::N,оршалһна нүкн,qəbir
510,Kirche::N,чонҗ,kilsə
511,Sünde::N,нүл,günah
512,Sünde::N,килнц,günah
513,Gott::N,бурхн,tanrı
514,Arbeiter::N,көдлмшч,işçi
515,Chef::N,толһач,şef
516,Chef::N,толһач,rəis
517,Meister::N,урн,usta
518,Arzt::N,эмч,həkim
519,Arzt::N,эмч,doktor
520,Lehrer::N,багш,müəllim
521,Geld::N,мөңгн,pul
522,Geschäft::N,көдлмш,ticarət
523,Laden::N,лавк,dükan
524,Preis::N,үн,qiymət
525,Ware::N,эд-тавр,mal
526,Nutzen::N,олз,fayda
527,Reichtum::N,зөөр,zənginlik
528,Welt::N,орчлң,aləm
529,Welt::N,орчлң,dünya
530,Welt::N,делкә,aləm
531,Welt::N,делкә,dünya
532,Land::N,орн-нутг,ölkə
533,Staat::N,государств,dövlət
534,König::N,хан,kral
535,König::N,хан,məlik
536,Macht::N,йосн,qüdrət
537,Grenze::N,меҗә,hüdud
538,Grenze::N,меҗә,sərhət
539,Krieg::N,дән,hərb
540,Krieg::N,дән,müharibə
541,Feind::N,дәәсн,düşmən
542,Gewalt::N,күч һарһлһн,cəbr
543,Kampf::N,ноолдан,savaş
544,Kampf::N,бәрлдлһн,savaş
545,Bogen[Waffe]::N,саадг,yay
546,Pfeil::N,сумн,ox
547,Gewehr::N,бу,tüfəng
548,Fehler::N,алдг,xəta
549,Lüge::N,худл,yalan
550,Schaden::N,хорлт,ziyan
551,Unglück::N,гүрм,bəla
552,Schuld::N,гем,təqsir
553,Schuld::N,буру,təqsir
554,Alter::N,насн,yaş
555,Schluss::N,чилгч,son
556,Zeit::N,цаг,vaxt
557,Zeit::N,цаг,zaman
558,Tag::N,өдр,gün
559,Morgen::N,өрүн,sabah
560,Mittag::N,үд,günorta
561,Abend::N,асхн,axşam
562,Nacht::N,сө,gecə
563,Woche::N,долан хонг,həftə
564,Monat::N,сар,ay
565,Jahr::N,җил,il
566,Frühling::N,хавр,yaz
567,Frühling::N,хавр,bahar
568,Sommer::N,зун,yay
569,Herbst::N,намр,payız
570,Winter::N,үвл,qış
571,Januar::N,январь,Janvar
572,Februar::N,февраль,Fevral
573,März::N,март,Mart
574,März::N,моһа сар,Mart
575,April::N,апрель,Aprel
576,Mai::N,май,May
577,Juni::N,июнь,İyun
578,Juni::N,мөчн сар,İyun
579,Juli::N,июль,İyul
580,August::N,август,Avqust
581,September::N,һаха сар,Sentyabr
582,Oktober::N,октябрь,Oktyabr
583,November::N,ноябрь,Noyabr
584,November::N,үкр сар,Noyabr
585,Dezember::N,бар сар,Dekabr
586,Montag::N,понедельник,bazar ertəsi
587,Dienstag::N,вторник,çərşənbə axşamı
588,Mittwoch::N,среда,çərşənbə
589,Mittwoch::N,үлмҗ өдр,çərşənbə
590,Donnerstag::N,четверг,cüme axşamı
591,Donnerstag::N,пүрвә өдр,cüme axşamı
592,Freitag::N,пятниц,cüme
593,Samstag::N,суббот,şənbə
594,Sonntag::N,нарн өдр,bazar
595,Sonntag::N,воскресень,bazar
596,groß::A,ик,böyük
597,klein::A,бичкн,kiçik
598,lang::A,ут,uzun
599,kurz::A,оһтр,qısa
600,breit::A,өргн,enli
601,breit::A,өргн,geniş
602,schmal::A,уутьхн,dar
603,dicht::A,нигт,sıx
604,dick[Gegenstand]::A,зузан,qalın
605,dünn::A,нимгн,nazik
606,fein::A,нәрхн,incə
607,fest::A,бат,bərk
608,fest::A,бат,möhkəm
609,flach::A,хавтха,düz
610,glatt::A,тегш,hamar
611,glatt::A,тиньгр,hamar
612,hart::A,хату,sərt
613,weich::A,җөөлн,yumşaq
614,weich::A,җөөлкн,yumşaq
615,rund::A,төгрг,yuvarlaq
616,spitz::A,шовһр,uclu
617,spitz::A,шовһр,sivri
618,scharf::A,хурц,kəskin
619,stumpf::A,мука,küt
620,schwer::A,күнд,ağır
621,schön::A,сәәхн,gözəl
622,schön::A,сәәхн,gəşəng
623,heiß::A,халун,isti
