,Concept_ID,mrj,ja
674,wahr::A,настоящий,本当の
675,wahr::A,настояшый,本当の
676,alt::A,шонгы,古い
677,neu::A,у,新しい
678,ehemalig::A,тошты,以前の
679,alt[Lebewesen]::A,ӹлалшӹ,年を取った
680,jung::A,нöргӹ,若い
681,jung::A,молода,若い
682,arm::A,укеӓн,貧乏な
683,reich::A,паян,裕福な
684,reich::A,пурлыкан,裕福な
685,bekannt::A,палӹмӹ,有名な
686,berühmt::A,лӹмлы,有名な
687,fremd::A,эдемӹн,見知らぬ
688,verschieden::A,тӹрлӹ,色々な
689,nah::A,лишӹл,近い
690,fern::A,мӹндӹр,遠い
691,linker::A,шалахай,左の
692,rechter::A,вургамла,右の
693,anderer::A,вес,別の
694,anderer::A,весӹ,別の
695,erster::A,икшӹ,一番目
696,erster::A,икӹмшӹ,一番目
697,zweiter::A,кокшы,二番目
698,dritter::A,кымшы,三番目
699,letzter::A,остатка,最後の
700,allein::ADV,иктӹ,一人で
701,allein::ADV,иктӹт,一人で
702,auf einmal::ADV,тöрöк,同時に
703,zusammen::ADV,икараш,一緒に
704,zusammen::ADV,цымырын,一緒に
705,lange::ADV,кужын,長い間
706,plötzlich::ADV,трӱк,急に
707,sofort::ADV,полт,すぐに
708,sofort::ADV,тöрöк,すぐに
709,sofort::ADV,тӹшӓкок,すぐに
710,später::ADV,вара,後で
711,heute::ADV,тагачы,今日
712,morgen::ADV,иргод,明日
713,morgen::ADV,иргодым,明日
714,bald::ADV,чӹнь,間もなく
715,bald::ADV,вӓшке,間もなく
716,bald::ADV,выртышты,間もなく
717,dann::ADV,пакыла,それから
718,gestern::ADV,тенгечӹ,昨日
719,einst::ADV,икӓнӓ,過去に
720,damals::ADV,тӹнӓм,あの時
721,danach::ADV,пакыла,その後で
722,vorher::ADV,перви,以前に
723,zuerst::ADV,андак,まず
724,zuerst::ADV,андак,最初に
725,einmal::ADV,гӓнӓк,一回
726,einmal::ADV,гӓнӓ,一回
727,manchmal::ADV,кынамжы,時々
728,oft::ADV,чӹчкӹдӹн,よく
729,immer::ADV,со,いつも
730,immer::ADV,соок,いつも
731,niemals::ADV,нинам,一度も...ない
732,niemals::ADV,нигынам,一度も...ない
733,niemals::ADV,нигынамат,一度も...ない
734,hier::ADV,тиштӹ,こちら
735,hierhin::ADV,тишкӹ,ここへ
736,hierhin::ADV,тишкӹ,こちらへ
737,von hier::ADV,тишец,ここから
738,von hier::ADV,тишецӹн,ここから
739,dort::ADV,тӹштӹ,そちら
740,dorthin::ADV,тӹшкӹ,そこへ
741,dorthin::ADV,тӹшкӹ,そちらへ
742,dorthin::ADV,тӹшкӹлӓ,そこへ
