,Concept_ID,de,lbe
575,kühl::A,kühl,дюхлулсса
576,frisch::A,frisch,цӏусса
577,feucht::A,feucht,атилсса
578,feucht::A,feucht,хъавтусса
579,nass::A,nass,атилсса
580,nass::A,nass,хъавтусса
581,trocken::A,trocken,кьавкьсса
582,trocken::A,trocken,кьакьан бувсса
583,voll::A,voll,бувцӏусса
584,leer::A,leer,бачӏвасса
585,offen::A,offen,тӏивтӏусса
586,geschlossen::A,geschlossen,лавкьусса
587,sauber::A,sauber,марцӏсса
588,schmutzig::A,schmutzig,чапалсса
589,roh::A,roh,шакъавхьсса
590,reif::A,reif,дирсса
591,lecker::A,lecker,нахӏусса
592,lecker::A,lecker,тӏааьнсса
593,süß::A,süß,нацӏусса
594,bitter::A,bitter,кьурчӏисса
595,sauer::A,sauer,туршсса
596,hell::A,hell,чаннасса
597,dunkel::A,dunkel,цӏансса
598,schwarz::A,schwarz,лухӏисса
599,weiß::A,weiß,кӏяласса
600,rot::A,rot,ятӏулсса
601,gelb::A,gelb,хъахъисса
602,blau::A,blau,някӏсса
603,grün::A,grün,щюлисса
604,grau::A,grau,оьрусса
605,bunt::A,bunt,оьрчӏикӏурисса
606,billig::A,billig,кьювкьусса
607,teuer::A,teuer,ххирасса
608,wertvoll::A,wertvoll,багьасса
609,blind::A,blind,мурчӏисса
610,taub::A,taub,къюкӏсса
611,kräftig::A,kräftig,гужсса
612,stark::A,stark,кьянкьасса
613,schwach::A,schwach,заэвсса
614,fett::A,fett,бучсса
615,schlank::A,schlank,бювхъусса
616,hübsch::A,hübsch,янусса
617,böse::A,böse,оьсса
618,dumm::A,dumm,ахӏмакьсса
619,faul::A,faul,танмалсса
620,faul::A,faul,курчӏилсса
621,fleißig::A,fleißig,хӏарачат бусса
622,geizig::A,geizig,янттарцӏансса
623,klug::A,klug,аькьлу бусса
624,geschickt::A,geschickt,паргалсса
625,lieb::A,lieb,аьзизсса
626,lustig::A,lustig,тяхъасса
627,sanft::A,sanft,иминсса
628,hungrig::A,hungrig,ккашилсса
629,krank::A,krank,къашавайсса
630,nackt::A,nackt,кӏачӏасса
631,traurig::A,traurig,пашмансса
632,lebendig::A,lebendig,уттавасса
633,gut::A,gut,ххуйсса
634,schlecht::A,schlecht,оьккисса
635,richtig::A,richtig,саргъунсса
636,schlimm::A,schlimm,оьккисса
637,wahr::A,wahr,хӏакьсса
638,alt::A,alt,кугьнасса
639,neu::A,neu,цӏусса
640,ehemalig::A,ehemalig,хъхъичӏвасса
641,alt[Lebewesen]::A,alt,агьилсса
642,jung::A,jung,чӏавасса
643,jung::A,jung,жагьилсса
644,arm::A,arm,мискинсса
645,reich::A,reich,авадансса
646,bekannt::A,bekannt,дусъсса
647,berühmt::A,berühmt,машгьурсса
648,fremd::A,fremd,чил
649,verschieden::A,verschieden,личӏи-личӏисса
650,nah::A,nah,гъансса
651,fern::A,fern,архсса
652,linker::A,linker,кияхсса
653,linker::A,linker,кюччахсса
654,rechter::A,rechter,урчӏахсса
655,anderer::A,anderer,цамур
656,erster::A,erster,цалчинмур
657,erster::A,erster,цалчиннсса
658,zweiter::A,zweiter,кӏилчиимур
659,dritter::A,dritter,шамулчинмур
660,letzter::A,letzter,махъва-махъмур
661,allein::ADV,allein,ялгъузну
662,auf einmal::ADV,auf einmal,
663,zusammen::ADV,zusammen,цачӏу
664,zusammen::ADV,zusammen,архӏал
665,lange::ADV,lange,батӏи къабуклай
666,lange::ADV,lange,хъунмасса хӏаллай
667,plötzlich::ADV,plötzlich,цакуну
668,sofort::ADV,sofort,мугьлат бакъа
669,später::ADV,später,махъ
670,jetzt::ADV,jetzt,утти
671,jetzt::ADV,jetzt,цӏана
672,heute::ADV,heute,хӏакьину
673,morgen::ADV,morgen,гьуит
674,morgen::ADV,morgen,гьунттий
675,bald::ADV,bald,
676,dann::ADV,dann,яла
677,gestern::ADV,gestern,лахьхьу
678,einst::ADV,einst,
679,damals::ADV,damals,та чӏумал
680,danach::ADV,danach,яла
681,vorher::ADV,vorher,хьхьнчӏ
682,vorher::ADV,vorher,хьхьичӏва
