,Concept_ID,mdf,hu
320,Ton::N,вайгяль,hang
321,Lied::N,мора,dal
322,Lied::N,мора,ének
323,Ruhe::N,сетьме,csend
324,Ruhe::N,сетьме,nyugalom
325,Leute::N,ломатть,emberek
326,Volk::N,наро́д,nép
327,Arbeit::N,тев,dolog
328,Gast::N,и́нжи,vendég
329,Gast::N,ко́нак,vendég
330,Geschenk::N,казне,ajándék
331,Spiel::N,налхкома,játék
332,Spiel::N,налхксема,játék
333,Gesellschaft::N,кружок,társaság
334,Hilfe::N,лездома,segítség
335,Freund::N,я́лга,barát
336,Kamerad::N,я́лга,társ
337,Angelegenheit::N,тев,ügy
338,Anzahl::N,лувкс,szám
339,Art::N,вид,faj
340,Art::N,вид,fajta
341,Stück::N,пакш,darab
342,Teil::N,часть,rész
343,Teil::N,пялькс,rész
344,Hälfte::N,пяле,fél
345,Kreis::N,шаркс,kör
346,Kreuz::N,крёз,kereszt
347,Linie::N,межа,vonal
348,Linie::N,китькс,vonal
349,Strich::N,межа,vonás
350,Abstand::N,ётка,köz
351,Entfernung::N,ётка,távolság
352,Gegend::N,ва́ста,táj
353,Gegend::N,ва́ста,vidék
354,Gegend::N,перьфпя́ль,táj
355,Gegend::N,перьфпя́ль,vidék
356,Platz::N,ва́ста,hely
357,Ort::N,ва́ста,hely
358,Seite::N,пяле,fél
359,Seite::N,пяле,oldal
360,Mitte::N,кучка́,közép
361,Gegenstand::N,веща,tárgy
362,Sache::N,тев,dolog
363,Sache::N,веща,dolog
364,Rand::N,пе,szél
365,Rand::N,пе,perem
366,Rand::N,пе,szegély
367,Kante::N,и́рдез,él
368,Ecke::N,ужа,sarok
369,Ecke::N,ужа,szöglet
370,Spitze::N,пря,csúcs
371,Ende::N,пе,vég
372,Loch::N,варя,lyuk
373,Winkel::N,ужа,szög
374,Muster::N,сёрма,minta
375,Größe::N,серь,nagyság
376,Länge::N,кува́лма,hossz
377,Länge::N,кува́лма,hosszúság
378,Höhe::N,серь,magasság
379,Gewicht::N,сталма,súly
380,Menge::N,лувкс,sokaság
381,Menge::N,лувкс,mennyiség
382,Haufen::N,мар,halom
383,Reihe::N,ряд,sor
384,Boot::N,венеж,csónak
385,Ruder::N,миле,evező
386,Schlitten::N,ну́рда,szánkó
387,Ski::N,сокс,sí
388,Lagerfeuer::N,то́лмар,tábortűz
389,Last::N,канкс,teher
390,Last::N,сталма,teher
391,Gang::N,молема,járás
392,Schritt::N,аськолкс,lépés
393,Norden::N,якшама шире,észak
394,Süden::N,ля́мбе ши́ре,dél
395,Westen::N,ши валгома шире,nyugat
396,Osten::N,шинь стяма шире,kelet
397,Holz::N,вирь,fa
398,Holz::N,шуфта,fa
399,Brett::N,лавця,deszka
400,Platte::N,плита́,lap
401,Platte::N,плита́,lemez
402,Stütze::N,неже,támasz
403,Stütze::N,неже,támaszték
404,Stange::N,олга,rúd
405,Stange::N,олга,pózna
406,Stock::N,байдек,pálca
407,Stab::N,олгоня,bot
408,Rohr::N,турама,cső
409,Haus::N,куд,ház
410,Heim::N,куд,otthon
411,Ofen::N,пянакуд,kályha
412,Fußboden::N,кия́кс,padló
413,Tisch::N,шра,asztal
414,Tisch::N,моркш,asztal
415,Stuhl::N,стул,szék
416,Wiege::N,нюря́м,bölcső
417,Bett::N,ацам,ágy
418,Regal::N,лавцяланга,polc
419,Regal::N,лавцяланга,állvány
420,Kiste::N,парга,láda
421,Fenster::N,валмья,ablak
422,Tür::N,кенкш,ajtó
423,Tor::N,ортат,kapu
424,Zaun::N,перяфкс,kerítés
425,Dach::N,кудпря,tető
426,Leiter::N,куцема,létra
427,Besen::N,тяльме,seprű
428,Spaten::N,ка́йме,ásó
429,Schaufel::N,ко́поня,lapát
430,Schaufel::N,ця́рдом,lapát
431,Gabel::N,ця́нгоня,villa
432,Löffel::N,куцю,kanál
433,Messer::N,пеель,kés
434,Nagel::N,эска,szeg
435,Haken::N,кя́чказ,kampó
436,Griff::N,недь,nyél
437,Griff::N,недь,fogantyú
438,Griff::N,кунда́мка,nyél
439,Griff::N,кунда́мка,fogantyú
440,Schloss::N,замо́к,zár
441,Bild::N,карти́на,kép
442,Figur::N,ронга-понда,alak
443,Puppe::N,ня́ка,bábu
444,Beutel::N,кяскав,zacskó
445,Bündel::N,кярьме,köteg
446,Tasche::N,кошяльня,táska
447,Eimer::N,ве́дарка,vödör
448,Deckel::N,тавадкс,fedő
449,Deckel::N,тавадкс,fedél
450,Deckel::N,вельхкс,fedő
451,Deckel::N,вельхкс,fedél
452,Geschirr::N,кядьге,edény
453,Sack::N,кяскав,zsák
454,Tasse::N,ша́ваня,csésze
455,Topf::N,кавозь,fazék
456,Kessel::N,сргавозь,üst
457,Kessel::N,сргавозь,bogrács
458,Essen::N,ярхцама,evés
459,Essen::N,ярхцама,étkezés
460,Nahrung::N,ярхцампяль,ennivaló
461,Speise::N,ярхцама,étel
462,Fleisch::N,пал,hús
463,Fleisch::N,сиволь,hús
464,Getreide::N,сёра,gabona
465,Brei::N,ям,pép
466,Brei::N,ям,kása
467,Brot::N,кши,kenyér
468,Scheibe::N,кочам,szelet
469,Fett::N,куя́,háj
470,Fett::N,куя́,zsír
471,Butter::N,вай,vaj
472,Öl::N,вай,olaj
473,Salz::N,сал,só
474,Suppe::N,шонгарям,leves
475,Suppe::N,коршампяль,leves
476,Honig::N,медь,méz
477,Milch::N,лофца,tej
478,Tee::N,чай,tea
479,Leder::N,кедь,bőr
480,Wolle::N,пона,gyapjú
481,Stoff::N,котф,szövet
482,Nadel::N,салмокс,tű
483,Faden::N,сюре,fonál
484,Knopf::N,пуня,gomb
485,Knoten::N,сюлма,csomó
486,Farbe::N,архтомбяль,szín
487,Farbe::N,архтомбяль,festék
488,Kleidung::N,щам,ruha
489,Kleidung::N,щам,ruházat
490,Hemd::N,па́нар,ing
491,Kragen::N,сиве,gallér
492,Ärmel::N,ожа,ujj
