,Concept_ID,cy,ja
790,ich::PRN,fi,私
791,du::PRN,ti,あなた
792,er::PRN,fe,彼
793,wir::PRN,ni,私達
794,ihr::PRN,chi,あなた達
795,sie::PRN,hwy,彼ら
796,was::FPRN,pa beth,何
797,wer::FPRN,pwy,誰
798,wer::FPRN,pwy,どなた
799,wo::FADV,ble,どこ
800,wo::FADV,ble,どこに
801,wo::FADV,ym mha le,どこ
802,wo::FADV,ym mha le,どこに
803,wohin::FADV,i ble,どこへ
804,wohin::FADV,i ba le,どこへ
805,wie::FADV,sut,どう
806,warum::FADV,pam,何故
807,warum::FADV,pam,どうして
808,wieviel::FNUM,faint,どのくらい
809,eins::NUM,un,一
810,zwei::NUM,dau,二
811,zwei::NUM,dau,二つ
812,drei::NUM,tri,三
813,drei::NUM,tri,三つ
814,vier::NUM,pedwar,四
815,vier::NUM,pedwar,四つ
816,fünf::NUM,pump,五
817,fünf::NUM,pump,五つ
818,sechs::NUM,chwech,六
819,sechs::NUM,chwech,六つ
820,sieben::NUM,saith,七
821,sieben::NUM,saith,七つ
822,acht::NUM,wyth,八
823,acht::NUM,wyth,八つ
