,Concept_ID,hu,ba
338,Rand::N,perem,сит
339,Rand::N,szegély,сит
340,Kante::N,él,ҡабырға
341,Kante::N,él,ян
342,Ecke::N,sarok,мөйөш
343,Ecke::N,szöglet,мөйөш
344,Spitze::N,csúcs,ос
345,Ende::N,vég,аҙаҡ
346,Loch::N,lyuk,тишек
347,Winkel::N,szög,мөйөш
348,Muster::N,minta,биҙәк
349,Größe::N,nagyság,ҙурлыҡ
350,Länge::N,hossz,оҙонлоҡ
351,Länge::N,hosszúság,оҙонлоҡ
352,Höhe::N,magasság,бейеклек
353,Gewicht::N,súly,үлсәү
354,Menge::N,sokaság,һан
355,Menge::N,mennyiség,һан
356,Haufen::N,halom,өйөм
357,Reihe::N,sor,рәт
358,Boot::N,csónak,кәмә
359,Ruder::N,evező,ишкәк
360,Schlitten::N,szánkó,сана
361,Ski::N,sí,саңгы
362,Lagerfeuer::N,tábortűz,костер
363,Last::N,teher,ауырлыҡ
364,Gang::N,járás,барыу
365,Schritt::N,lépés,аҙым
366,Norden::N,észak,төньяҡ
367,Süden::N,dél,көньяҡ
368,Westen::N,nyugat,көнбайыш
369,Osten::N,kelet,көнсығыш
370,Holz::N,fa,үағас
371,Brett::N,deszka,таҡта
372,Platte::N,lap,плита
373,Platte::N,lemez,плита
374,Stütze::N,támasz,терәк
375,Stütze::N,támaszték,терәк
376,Stange::N,rúd,кәртә
377,Stange::N,pózna,кәртә
378,Stock::N,pálca,таяҡ
379,Stab::N,bot,ҡолға
380,Rohr::N,cső,торба
381,Haus::N,ház,өй
382,Haus::N,ház,йорт
383,Heim::N,otthon,өй
384,Ofen::N,kályha,мейес
385,Fußboden::N,padló,енес
386,Tisch::N,asztal,өҫтәл
387,Stuhl::N,szék,ултырғыс
388,Wiege::N,bölcső,бишек
389,Bett::N,ágy,карауат
390,Regal::N,polc,кәштә
391,Regal::N,állvány,кәштә
392,Kiste::N,láda,йәшинк
393,Fenster::N,ablak,тәҙрә
394,Tür::N,ajtó,ишек
395,Tor::N,kapu,ҡапҡа
396,Zaun::N,kerítés,ҡойма
397,Dach::N,tető,түбә
398,Dach::N,tető,ҡыйыҡ
399,Leiter::N,létra,баҫҡыс
400,Besen::N,seprű,һепертке
401,Spaten::N,ásó,көрәк
402,Schaufel::N,lapát,көрәк
403,Gabel::N,villa,сәнске
404,Löffel::N,kanál,ҡалаҡ
405,Messer::N,kés,бысаҡ
406,Nagel::N,szeg,сөй
407,Netz::N,háló,ау
408,Haken::N,kampó,ыргаҡ
409,Griff::N,nyél,тотҡа
410,Griff::N,fogantyú,тотҡа
411,Schloss::N,zár,йоҙаҡ
412,Bild::N,kép,картина
413,Figur::N,alak,һын
