,Concept_ID,kv,sl
508,Kampf::N,нярасьӧм,bòj
509,Kampf::N,нярасьӧм,bórba
510,Kampf::N,вермасьӧм,bòj
511,Kampf::N,вермасьӧм,bórba
512,Bogen[Waffe]::N,лук,lók
513,Pfeil::N,ньӧв,puščíca
514,Gewehr::N,ружьё,púška
515,Fehler::N,ошибка,zmóta
516,Lüge::N,ылӧтӧм,láž
517,Lüge::N,пӧрьялӧм,láž
518,Schaden::N,лёк,okvára
519,Unglück::N,пик,nesréča
520,Unglück::N,оказзё,nesréča
521,Schuld::N,вина,krívda
522,Schluss::N,ком,kônec
523,Zeit::N,кад,čàs
524,Tag::N,лун,dán
525,Morgen::N,асыв,jútro
526,Mittag::N,луншӧр кад,póldan
527,Abend::N,рыт,večér
528,Nacht::N,ой,nóč
529,Woche::N,неделя,téden
530,Monat::N,тӧлicь,mésec
531,Jahr::N,год,léto
532,Frühling::N,тулыс,pomlád
533,Sommer::N,гожум,polétje
534,Herbst::N,ар,jesén
535,Winter::N,тӧв,zíma
536,Januar::N,январ,jánuar
537,Februar::N,февраль,fébruar
538,März::N,март,márec
539,April::N,апрель,apríl
540,Mai::N,май,máj
541,Juni::N,юнь,júnij
542,Juli::N,юль,júlij
543,August::N,август,avgúst
544,September::N,сентяб,septêmber
545,Oktober::N,октяб,október
546,November::N,нояб,novêmber
547,Dezember::N,декаб,decémber
548,Montag::N,вильлун,ponedéljek
549,Dienstag::N,мӧдӧдзлун,tôrek
550,Mittwoch::N,шӧрлун,sréda
551,Donnerstag::N,нёльӧдзлун,četŕtek
552,Freitag::N,витӧдзлун,pétek
553,Samstag::N,пывсянлун,sobóta
554,Sonntag::N,кресення,nedélja
555,groß::A,ыджыт,vêlik
556,klein::A,учӧтик,májhen
557,lang::A,кузь,dólg
558,kurz::A,дженыт,krátek
559,breit::A,ота,širòk
560,schmal::A,векнит,ózek
561,dicht::A,тшӧк,góst
562,dick[Gegenstand]::A,кыз,dêbel
563,dünn::A,вӧснит,tánek
564,fein::A,вӧснит,drôben
565,fest::A,крепыт,tŕden
566,flach::A,лапкӧса,plán
567,flach::A,лапкӧса,plòsk
568,glatt::A,волькыт,gládek
569,hart::A,чӧрыт,tŕd
570,weich::A,небыт,mehák
571,rund::A,гӧгрӧса,okrógel
572,spitz::A,ёся,šílast
573,scharf::A,лэчыт,óster
574,stumpf::A,ныж,tóp
575,stumpf::A,ныж,skŕhan
576,schwer::A,сьӧкыт,têžek
577,schön::A,басӧк,lép
578,schön::A,басӧк,krásen
579,heiß::A,жар,vròč
580,warm::A,шоныт,tôpel
581,kalt::A,кӧдзыт,mŕzel
582,kalt::A,кӧдзыт,hláden
583,kühl::A,сайкыт,hláden
584,frisch::A,виль,svéž
585,feucht::A,вакодь,vlážen
586,nass::A,ва,móker
587,trocken::A,кӧс,súh
588,voll::A,тыра,póln
589,leer::A,тыртӧм,prázen
590,offen::A,оссьӧм,odpŕt
591,geschlossen::A,игана,zapŕt
592,geschlossen::A,пӧдана,zapŕt
593,sauber::A,сӧдз,číst
594,sauber::A,сӧдз,líčen
595,sauber::A,сӧстӧм,číst
596,sauber::A,сӧстӧм,líčen
597,schmutzig::A,нятьӧсь,umázan
598,roh::A,путӧм,suròv
599,reif::A,кисьмалӧм,zrèl
600,lecker::A,кӧра ,okúsen
601,süß::A,чӧскыт,sládek
602,bitter::A,курыт,grenák
603,sauer::A,шӧма ,kísel
604,hell::A,югыт,svetèl
605,dunkel::A,пемыт,temèn
