,Concept_ID,zh,udm
748,eins::NUM,一,одӥг
749,zwei::NUM,二,кык
750,drei::NUM,三,куинь
751,vier::NUM,四,ньыль
752,fünf::NUM,五,вить
753,sechs::NUM,六,куать
754,sieben::NUM,七,сизьым
755,acht::NUM,八,тямыс
756,neun::NUM,九,укмыс
757,zehn::NUM,十,дас
758,elf::NUM,十一,дас одӥг
759,zwölf::NUM,十二,дас кык
760,zwanzig::NUM,二十,кызь
761,dreißig::NUM,三十,куамын
762,vierzig::NUM,四十,ньыльдон
763,fünfzig::NUM,五十,витьтон
764,sechzig::NUM,六十,куатьтон
765,siebzig::NUM,七十,сизьымдон
766,achtzig::NUM,八十,тямыстон
767,neunzig::NUM,九十,укмыстон
768,hundert::NUM,百,сю
769,tausend::NUM,千,сюрс
770,und::CNJ,和,и
771,und::CNJ,和,но
772,oder::CNJ,或者,яке
773,stehen::V,站,сылыны
774,sitzen::V,坐,пукыны
775,liegen::V,躺着,кылльыны
776,hängen::V,挂着,ошкыса улыны
777,werden::V,成为,луыны
778,passieren::V,发生,луыны
779,beginnen::V,开始,кутскыны
780,enden::V,终止,бырыны
781,wechseln::V,变迁,воштӥськыны
782,aufgehen[Sonne]::V,升起,ӝужаны
783,untergehen[Sonne]::V,下落,пуксьыны
784,scheinen[Sonne]::V,照射,пиштыны
785,scheinen[Sonne]::V,照射,чиляны
786,donnern::V,打雷,гудыръяны
787,wehen::V,飘扬,пелляськыны
788,strömen::V,流,киськыны
789,strömen::V,流,исьтӥськыны
790,fließen::V,流动,бызьыны
791,sich drehen::V,转动,берганы
792,schwanken::V,摇摆,вошъяськыны
793,schwingen::V,摇,шонаськыны
794,fallen::V,坠落,усьыны
795,brennen::V,燃烧,ӝуаны
796,rauchen::V,冒烟,ӵындыны
797,regnen::V,下雨,зорыны
798,gefrieren::V,结冰,кынмыны
799,tauen::V,融化,шунаны
800,schmelzen::V,溶化,шунаны
801,trocknen::V,变干,куасьмыны
802,sieden::V,煮,пӧзьыны
803,faulen::V,腐烂,сисьмыны
804,verfaulen::V,腐烂,сисьмыны
805,reißen::V,撕,кеськыны
806,versinken::V,下沉,выйыны
807,vergehen::V,流逝,ортчыны
808,erscheinen::V,出现,адскыны
809,verschwinden::V,消失,бырыны
810,sinken::V,下降,усьыны
811,abnehmen::V,减少,синыны
812,zunehmen::V,增加,йылыны
813,steigen::V,上升,лӧпкыны
814,wachsen::V,生长,будыны
815,glänzen::V,发光,чиляны
816,glänzen::V,发光,пиштыны
817,funkeln::V,闪烁,чилекъяны
818,lärmen::V,吵闹,уретыны
819,lärmen::V,吵闹,ӵашетыны
820,läuten::V,响,жингыртыны
821,klingeln::V,按铃,жингыртыны
822,brausen::V,疾驶,лекъяськыны
