,Concept_ID,tt,uz
540,Montag::N,дүшәмбе,dushanba
541,Dienstag::N,сишәмбе,seshanba
542,Mittwoch::N,чәршәмбе,chorshanba
543,Donnerstag::N,атнакич,payshanba
544,Donnerstag::N,пәнҗешәмбе,payshanba
545,Freitag::N,җомга,juma
546,Samstag::N,шимбә,shanba
547,Sonntag::N,якшәмбе,yakshanba
548,groß::A,зур,buyuk
549,klein::A,кечкенә,kichik
550,lang::A,озын,uzun
551,kurz::A,кыска,qisqa
552,breit::A,киң,keng
553,schmal::A,кысык,änsiz
554,dicht::A,куе,quyuq
555,dick[Gegenstand]::A,калын,qalin
556,dünn::A,нечкә,ingichka
557,fein::A,нәзакәтле,mayin
558,fest::A,нык,qattiq
559,flach::A,яссы,yalpoq
560,flach::A,ялпак,yalpoq
561,glatt::A,шома,tekis
562,hart::A,каты,qattiq
563,weich::A,йомшак,yumshoq
564,rund::A,түгәрәк,yumaloq
565,spitz::A,очлы,uchli
566,scharf::A,үткен,keskir
567,stumpf::A,үтмәс,to'mtoq
568,schwer::A,салмак,salmoqli
569,schön::A,гүзәл,go'zal
570,heiß::A,эссе,qiziq
571,warm::A,җылы,issiq
572,kalt::A,суык,sovuq
573,kalt::A,салкын,sovuq
574,kühl::A,салкынча,salqin
575,frisch::A,салкынча,toza
576,feucht::A,юеш,namli
577,nass::A,дымлы,nam
578,trocken::A,коры,quruq
579,voll::A,тулы,to'la
580,leer::A,буш,puch
581,offen::A,ачык,ochiq
582,geschlossen::A,йомык,berk
583,sauber::A,пакь,ozoda
584,sauber::A,чиста,ozoda
585,schmutzig::A,керле,kir
586,schmutzig::A,пычрак,kir
587,roh::A,чи,xom
588,reif::A,өлгергән,pishiq
589,lecker::A,тәмле,shirin
590,süß::A,татлы,shirin
591,bitter::A,ачы,achchiq
592,sauer::A,әче,achchiq
593,hell::A,якты,yorug'
594,dunkel::A,кара,qorong'i
595,schwarz::A,кара,qora
596,weiß::A,ак,oq
597,rot::A,кызыл,qizil
598,gelb::A,сары,sariq
599,blau::A,күк,zangori
600,grün::A,яшел,yashil
