,Concept_ID,lbe,sl
643,schwarz::A,лухӏисса,čŕn
644,weiß::A,кӏяласса,bél
645,rot::A,ятӏулсса,rdèč
646,gelb::A,хъахъисса,žólt
647,gelb::A,хъахъисса,rumèn
648,blau::A,някӏсса,móder
649,grün::A,щюлисса,zelèn
650,grau::A,оьрусса,sív
651,bunt::A,оьрчӏикӏурисса,písan
652,billig::A,кьювкьусса,pocéni
653,teuer::A,ххирасса,drág
654,wertvoll::A,багьасса,dragocén
655,blind::A,мурчӏисса,slép
656,taub::A,къюкӏсса,glúh
657,kräftig::A,гужсса,močán
658,stark::A,кьянкьасса,ják
659,schwach::A,заэвсса,šíbek
660,fett::A,бучсса,dêbel
661,schlank::A,бювхъусса,vítek
662,hübsch::A,янусса,lép
663,böse::A,оьсса,zèl
664,böse::A,оьсса,hudôben
665,dumm::A,ахӏмакьсса,glúp
666,dumm::A,ахӏмакьсса,bédast
667,faul::A,танмалсса,lén
668,faul::A,курчӏилсса,lén
669,fleißig::A,хӏарачат бусса,marljív
670,geizig::A,янттарцӏансса,škŕt
671,klug::A,аькьлу бусса,pámeten
672,geschickt::A,паргалсса,spréten
673,lieb::A,аьзизсса,míl
674,lieb::A,аьзизсса,ljúb
675,lustig::A,тяхъасса,vesél
676,sanft::A,иминсса,láhek
677,hungrig::A,ккашилсса,láčen
678,krank::A,къашавайсса,bolán
679,nackt::A,кӏачӏасса,nág
680,traurig::A,пашмансса,túžen
681,lebendig::A,уттавасса,žív
682,gut::A,ххуйсса,dóber
683,schlecht::A,оьккисса,malopríden
684,richtig::A,саргъунсса,pravílen
685,schlimm::A,оьккисса,húd
686,wahr::A,хӏакьсса,resníčen
687,alt::A,кугьнасса,stàr
688,neu::A,цӏусса,nòv
689,ehemalig::A,хъхъичӏвасса,nekdánji
690,alt[Lebewesen]::A,агьилсса,stàr
691,jung::A,чӏавасса,mlád
692,jung::A,жагьилсса,mlád
693,arm::A,мискинсса,ubóg
694,arm::A,мискинсса,réven
695,reich::A,авадансса,bogàt
696,bekannt::A,дусъсса,znán
697,berühmt::A,машгьурсса,sláven
698,berühmt::A,машгьурсса,znamenít
699,fremd::A,чил,túj
700,verschieden::A,личӏи-личӏисса,razlíčen
701,nah::A,гъансса,blížnji
702,fern::A,архсса,dáleč
703,linker::A,кияхсса,lévi
704,linker::A,кюччахсса,lévi
705,rechter::A,урчӏахсса,désni
706,anderer::A,цамур,drúgi
707,erster::A,цалчинмур,pŕvi
708,erster::A,цалчиннсса,pŕvi
709,zweiter::A,кӏилчиимур,drúgi
710,dritter::A,шамулчинмур,trétji
711,letzter::A,махъва-махъмур,poslédnji
712,allein::ADV,ялгъузну,sám
713,zusammen::ADV,цачӏу,skúpaj
714,zusammen::ADV,архӏал,skúpaj
715,lange::ADV,батӏи къабуклай,dólgo
716,lange::ADV,хъунмасса хӏаллай,dólgo
717,plötzlich::ADV,цакуну,náglo
718,plötzlich::ADV,цакуну,nenádoma
719,sofort::ADV,мугьлат бакъа,prècej
720,später::ADV,махъ,poznêje
721,jetzt::ADV,утти,zdàj
722,jetzt::ADV,цӏана,zdàj
723,heute::ADV,хӏакьину,dánes
724,morgen::ADV,гьуит,jútri
725,morgen::ADV,гьунттий,jútri
726,dann::ADV,яла,nató
727,gestern::ADV,лахьхьу,včéraj
728,damals::ADV,та чӏумал,tedàj
729,damals::ADV,та чӏумал,takràt
730,danach::ADV,яла,potèm
731,vorher::ADV,хьхьнчӏ,poprèj
732,vorher::ADV,хьхьичӏва,poprèj
733,zuerst::ADV,бакӏрай,spŕva
734,zuerst::ADV,цӏу бутӏуй,spŕva
735,einmal::ADV,цал,ênkrat
