,Concept_ID,hy,sq
643,hart::A,կարծր,fortë
644,weich::A,մեղմ,butë
645,weich::A,փափուկ,butë
646,rund::A,կլոր,rrumbullakët
647,spitz::A,սրածայր,majëmprehtë
648,scharf::A,սուր,mprehtë
649,stumpf::A,գուլ,topitur
650,schwer::A,ծանր,rëndë
651,schön::A,սիրուն,bukur
652,schön::A,գեղեցիկ,bukur
653,heiß::A,թեժ,nxehtë
654,warm::A,տաք,ngrohtë
655,warm::A,ջերմ,ngrohtë
656,kalt::A,ցուրտ,ftohtë
657,kühl::A,զով,freskët
658,frisch::A,թարմ,pastër
659,feucht::A,ղոնավ,lagësht
660,nass::A,թաց,lagur
661,trocken::A,ցամաք,thatë
662,voll::A,լի,plotë
663,voll::A,լիքը,plotë
664,leer::A,դատարկ,bosh
665,leer::A,դատարկ,zbrazët
666,offen::A,բաց,hapur
667,geschlossen::A,գոց,mbyllur
668,sauber::A,մաքուր,dëlirë
669,schmutzig::A,կեղտոտ,ndyrë
670,roh::A,հում,gjallë
671,reif::A,հասած,arrirë
672,reif::A,հասուն,arrirë
673,lecker::A,համեղ,shijshëm
674,süß::A,անուշ,ëmbël
675,bitter::A,կծու,hidhur
676,sauer::A,թթու,thartë
677,sauer::A,թթված,thartë
678,hell::A,պայծառ,me dritë
679,hell::A,խելամիտ,me dritë
680,dunkel::A,մութ,errët
681,schwarz::A,սեւ,i zi
682,weiß::A,սպիտակ,bardhë
683,rot::A,կարմիր,kuq
684,gelb::A,դեղին,verdhë
685,blau::A,կապույտ,blu
686,blau::A,կապույտ,kaltër
687,grün::A,կանաչ,blertë
688,grün::A,կանաչ,gjelbër
689,grau::A,գորշ,hirtë
690,grau::A,գորշ,bojë hiri
691,bunt::A,գոյնզգոյն,shumëngjyrëshëm
692,billig::A,էժան,lirë
693,teuer::A,թանկ,shtrenjtë
694,wertvoll::A,թանկարժեք,çmuar
695,wertvoll::A,թանկարժեք,vlershëm
696,blind::A,կույր,qorr
697,blind::A,կույր,verbër
698,taub::A,խուլ,shurdhër
699,kräftig::A,հզոր,fuqishëm
700,stark::A,ուժեղ,fortë
701,schwach::A,տկար,dobët
702,schwach::A,թույլ,dobët
703,fett::A,գեր,dhjamur
704,schlank::A,նիհար,hollë
705,hübsch::A,գրավիչ,bukur
706,hübsch::A,գրավիչ,hijshëm
707,hübsch::A,սիրունիկ,bukur
708,hübsch::A,սիրունիկ,hijshëm
709,böse::A,չար,keq
710,dumm::A,հիմար,teveqel
711,faul::A,ծույլ,dembel
712,fleißig::A,ջանասեր,zellshëm
713,fleißig::A,փութաջան,zellshëm
714,geizig::A,ագահ,kurnac
715,geizig::A,ագահ,dorështrënguar
716,geizig::A,կծծի,kurnac
717,geizig::A,կծծի,dorështrënguar
718,klug::A,խելոք,mençur
719,klug::A,ընդունակ,mençur
720,geschickt::A,ճարտար,aftë
721,lieb::A,սիրելի,dashur
722,lustig::A,զվարթ,gëzuar
723,sanft::A,հեզ,butë
724,hungrig::A,քաղցած,uritur
725,krank::A,հիվանդ,sëmurë
726,nackt::A,մերկ,lakuriq
727,nackt::A,մերկ,zhveshur
728,traurig::A,տխուր,trishtuar
729,lebendig::A,կենդանի,gjallë
730,gut::A,լավ,mirë
731,schlecht::A,վատ,keq
732,richtig::A,ձիշտ,drejtë
733,schlimm::A,լղրճուկ,keq
734,wahr::A,ճիշտ,vërtetë
735,wahr::A,իրական,vërtetë
736,alt::A,հին,vjetër
737,neu::A,նոր,i ri
738,ehemalig::A,նախկին,dikurshëm
739,alt[Lebewesen]::A,ծեր,plak
740,alt[Lebewesen]::A,պառավ,plak
741,jung::A,մատաղ,i ri
742,arm::A,աղքատ,varfër
743,arm::A,աղքատ,vobektë
744,reich::A,հարուստ,pasur
