,Concept_ID,mdf,cy
541,Arzt::N,врач,meddyg
542,Arzt::N,доктор,meddyg
543,Lehrer::N,учи́тель,athro
544,Geld::N,ярмакт,pres
545,Geld::N,ярмакт,arian
546,Geschäft::N,ладяфкс,busnes
547,Geschäft::N,ладяф тев,busnes
548,Laden::N,ла́вка,siop
549,Preis::N,питне,pris
550,Ware::N,миф,nwydd
551,Ware::N,ра́маф,nwydd
552,Nutzen::N,пара,elw
553,Nutzen::N,пара,budd
554,Nutzen::N,лезкс,elw
555,Nutzen::N,лезкс,budd
556,Reichtum::N,ко́зяши,cyfoeth
557,Welt::N,свет,byd
558,Land::N,мастор,gwlad
559,Staat::N,государства,gwladwriaeth
560,König::N,король,brenin
561,Macht::N,азорондама,grym
562,Macht::N,азорондама,awdurdod
563,Macht::N,азорксши,grym
564,Macht::N,азорксши,awdurdod
565,Grenze::N,ёткаян,ffin
566,Grenze::N,ёткаян,goror
567,Krieg::N,война́,rhyfel
568,Feind::N,душман,gelyn
569,Feind::N,каршек тюри,gelyn
570,Gewalt::N,наругама,ffyrnigrwydd
571,Kampf::N,тюрема́,brwydr
572,Bogen[Waffe]::N,нал,bwa
573,Pfeil::N,нал,saeth
574,Gewehr::N,винто́вка,dryll
575,Fehler::N,эльбядькс,gwall
576,Fehler::N,эльбядькс,camgymeriad
577,Lüge::N,васькафнема,celwydd
578,Lüge::N,васькафнема,anwiredd
579,Schaden::N,зия́н,niwed
580,Schaden::N,зия́н,difrod
581,Unglück::N,зия́н,anffawd
582,Schuld::N,муворши,bai
583,Alter::N,эряф кизот,oed
584,Alter::N,эряфонь пинге,oed
585,Schluss::N,пе,diwedd
586,Zeit::N,пинге,amser
587,Tag::N,ши,dydd
588,Tag::N,ши,diwrnod
589,Morgen::N,шобдава,bore
590,Mittag::N,шикучка,nawn
591,Abend::N,иля́дь,noswaith
592,Nacht::N,ве,nos
593,Woche::N,недя́ля,wythnos
594,Monat::N,ков,mis
595,Jahr::N,киза,blwyddyn
596,Frühling::N,тунда́,gwanwyn
597,Sommer::N,киза,haf
598,Herbst::N,сёксе,hydref
599,Winter::N,тяла,gaeaf
600,Januar::N,кельмеков,Ionawr
601,Februar::N,уфайков,Chwefror
602,März::N,марайков,Mawrth
603,April::N,шудиков,Ebrill
604,Mai::N,панжиков,Mai
605,Juni::N,лямбеков,Mehefin
606,Juli::N,псиков,Gorffennaf
607,August::N,сёроньков,Awst
608,September::N,тюжягов,Medi
609,Oktober::N,кельмазаков,Hydref
610,November::N,эйндамков,Tachwedd
611,Dezember::N,кучкаков,Rhagfyr
612,Montag::N,одговши,dydd Llun
613,Dienstag::N,ша́вши,dydd Mawrth
614,Mittwoch::N,вержи,dydd Mercher
615,Donnerstag::N,шува́ланя,dydd Iau
616,Freitag::N,пя́денця,dydd Gwener
617,Samstag::N,ёткши,dydd Sadwrn
618,Sonntag::N,таргоши,dydd Sul
619,groß::A,оцю,mawr
620,klein::A,ёмла,bach
621,lang::A,кува́ка,hir
622,kurz::A,нюрьхкя́ня,byr
623,kurz::A,нюрьхкя́ня,cwta
624,breit::A,кели,llydan
625,schmal::A,тяйня,cul
626,dicht::A,сиде,dwys
627,dicht::A,туста,dwys
628,dick[Gegenstand]::A,эчке,trwchus
629,dünn::A,шува́ня,tenau
630,fein::A,шува́ня,main
631,fest::A,кеме,cadarn
632,flach::A,лапш,gwastad
633,glatt::A,вадяв,llyfn
634,glatt::A,такор,llyfn
635,hart::A,калгода,caled
636,weich::A,ляпе,meddal
637,rund::A,кру́глай,crwn
638,spitz::A,ботаз,pigfain
639,spitz::A,оржа,pigfain
640,scharf::A,оржа,miniog
641,stumpf::A,ношка,pŵl
642,schwer::A,стака,trwm
643,schön::A,мазы,teg
644,schön::A,мазы,hardd
645,schön::A,мазы,prydferth
646,heiß::A,пси,poeth
647,warm::A,лямбе,twym
648,warm::A,лямбе,cynnes
649,kalt::A,кельме,oer
650,kühl::A,эше,oeraidd
651,frisch::A,свежай,iach
652,feucht::A,летьке,llaith
653,nass::A,начка,gwlyb
654,trocken::A,коське,sych
655,voll::A,пяшксе,llawn
656,leer::A,шава,gwag
657,offen::A,панжада,agored
658,offen::A,виде,agored
659,geschlossen::A,пякстаф,caead
660,geschlossen::A,пякстаф,caeëdig
661,geschlossen::A,сёлгф,caead
662,geschlossen::A,сёлгф,caeëdig
663,sauber::A,ару,glân
664,schmutzig::A,рда́зу,budr
665,schmutzig::A,рда́зу,brwnt
666,schmutzig::A,пя́ндра,budr
667,schmutzig::A,пя́ндра,brwnt
668,roh::A,верок,amrwd
669,reif::A,ке́нерьф,aeddfed
670,lecker::A,танцти,blasus
671,lecker::A,танцти,danteithiol
672,süß::A,ламбама,melys
673,bitter::A,сяпи,chwerw
674,sauer::A,шапама,sur
675,hell::A,валда,disglair
676,dunkel::A,шобда,tywyll
677,schwarz::A,равжа,du
678,weiß::A,акша,gwyn
679,rot::A,якстерь,coch
680,gelb::A,тюжя́,melyn
681,blau::A,сенем,glas
682,grün::A,пиже,gwyrdd
683,grün::A,сянгяря,gwyrdd
684,grau::A,уле,llwyd
685,bunt::A,сёрмав,lliwgar
686,billig::A,у́цез,rhad
687,billig::A,аф пи́тни,rhad
688,teuer::A,пи́тни,drud
689,wertvoll::A,питни,gwerthfawr
690,blind::A,сокор,dall
691,taub::A,пярав,byddar
692,kräftig::A,пяк вии,nerthol
693,kräftig::A,пяк вии,grymus
694,stark::A,вии,cryf
695,stark::A,вии,cadarn
696,schwach::A,лафча,gwan
697,fett::A,куя́,tew
698,schlank::A,виде ронга,main
699,hübsch::A,мазы,tlws
700,böse::A,кяжи,drwg
701,dumm::A,аф ёню,twp
702,dumm::A,шава пря,twp
703,faul::A,нола,diog
704,fleißig::A,ку́лхцонды,dyfal
705,geizig::A,кирьжя,crintach
706,geizig::A,кирьжя,cybyddlyd
707,geizig::A,жаднай,crintach
708,geizig::A,жаднай,cybyddlyd
709,klug::A,ёню,deallus
710,klug::A,пря́ви,deallus
711,geschickt::A,маштозь тиф,medrus
712,geschickt::A,маштозь тиф,deheuig
713,lieb::A,цебярь,hoff
714,lieb::A,цебярь,annwyl
715,lustig::A,ра́хси,llon
716,sanft::A,сетьме,mwyn
717,hungrig::A,вача,newynog
718,hungrig::A,вачеда,newynog
719,krank::A,сяряди,sâl
720,krank::A,сяряди,gwael
721,nackt::A,штада,noeth
722,nackt::A,кърхтапа,noeth
723,traurig::A,ла́жнай,trist
724,lebendig::A,эряй,yn fyw
725,gut::A,пара,da
726,gut::A,цебярь,da
727,schlecht::A,кальдяв,drwg
728,schlecht::A,кальдяв,gwael
729,richtig::A,виде,cywir
730,schlimm::A,кальдяв,enbyd
731,wahr::A,афкуксонь,gwir
732,alt::A,ташта,hen
733,neu::A,од,newydd
734,ehemalig::A,и́нгольдень,blaenorol
735,alt[Lebewesen]::A,сире,oedrannus
736,jung::A,од,ifanc
737,arm::A,а́шу,tlawd
738,reich::A,козя,cyfoethog
739,bekannt::A,содаф,cynefin
740,bekannt::A,содаф,cyfarwydd
741,berühmt::A,содавикс,enwog
742,fremd::A,лия,estron
743,fremd::A,аф содаф,estron
744,verschieden::A,аф фкя ла́цонь,gwahanol
745,nah::A,мала,agos
746,nah::A,аф ичкоздень,agos
747,fern::A,и́чкоздень,pell
