,Concept_ID,ar,kl
307,Rätsel::N,لغز,nalorsitsaarut
308,Rede::N,خطبة,oqaluuseq
309,Sprache::N,لغة,oqaatsit
310,Stimme::N,صوت,erinaq
311,Stimme::N,صوت,qarluuseq
312,Wort::N,كلمة,oqaasii
313,Zeichen::N,رمز,nalunaaqqut
314,Zeichen::N,إشارة,nalunaaqqut
315,Ruf::N,نداء,qaaqqussut
316,Lärm::N,صخب,perpaluk
317,Lärm::N,ضجة,perpaluk
318,Laut::N,صوت,torsukattak
319,Ton::N,نغمة,erinaq
320,Lied::N,أغنية,taalliaq
321,Lied::N,أغنية,erinarsuut
322,Ruhe::N,هدوء,qatsunganeq
323,Leute::N,ناس,inuiak
324,Leute::N,ناس,inuiaqatigiit
325,Volk::N,شعب,inuiaat
326,Arbeit::N,عمل,suliaq
327,Gast::N,ضيف,qaaqqusaq
328,Geschenk::N,هدية,pajugut
329,Spiel::N,لعب,
330,Gesellschaft::N,صحبة,
331,Hilfe::N,عون,annertoqqut
332,Hilfe::N,مساعدة,annertoqqut
333,Freund::N,صديق,tiliaq
334,Freund::N,صديق,ikinngut
335,Kamerad::N,زميل,tiliaq
336,Kamerad::N,زميل,ikinngut
337,Angelegenheit::N,أمر,
338,Angelegenheit::N,شأن,
339,Anzahl::N,عدد,
340,Art::N,نوع,ileqquuseq
341,Stück::N,قطعة,nakkaalaniku
342,Teil::N,قسم,tassiaasat
343,Hälfte::N,نصف,affaq
344,Kreis::N,دائرة,kaajaluinneq or kaajaluitsoq
345,Kreuz::N,صليب,sanningasulik
346,Linie::N,خط,tittaq
347,Linie::N,خط,titarneq
348,Strich::N,شرطة,
349,Abstand::N,مسافة,aku
350,Abstand::N,مسافة,ikiaq
351,Entfernung::N,بعد,asi
352,Gegend::N,ناحية,nuna
353,Platz::N,فراغ,ini
354,Platz::N,فراغ,inissaq
355,Ort::N,مكان,sumiiffik
356,Seite::N,جانب,saneraq
357,Mitte::N,وسط,qiteq
358,Gegenstand::N,موضوع,
359,Sache::N,شيء,pigisaq
360,Rand::N,حافة,sini
361,Rand::N,حافة,akerfineq
362,Kante::N,حافة,akerfineq
363,Ecke::N,ركن,teqeqqoq
364,Ecke::N,ركن,tikeqqoq
365,Spitze::N,سن,inngik
366,Ende::N,طرف,isu
367,Loch::N,ثقب,putu
368,Winkel::N,زاوية,teqeqqorissaat
369,Muster::N,عينة,ilisserut
370,Größe::N,حجم,angissuseq
371,Länge::N,طول,takissuseq
372,Höhe::N,علو,
373,Höhe::N,ارتفاع,
374,Gewicht::N,وزن,oqimaalutaq
375,Menge::N,كمية,amerlassuseq
376,Haufen::N,كوم,eqimattat
377,Reihe::N,صف,allunaasaq
378,Boot::N,قارب,qajaq
379,Boot::N,قارب,angallat
380,Boot::N,قارب,umiatsiaq
381,Boot::N,زورق,qajaq
382,Boot::N,زورق,angallat
383,Boot::N,زورق,umiatsiaq
384,Ruder::N,مجذاف,iput
385,Schlitten::N,مزلقة,qamutit
386,Schlitten::N,مزلقة,qimusseq
387,Ski::N,زلاجة,ataarut
388,Lagerfeuer::N,نار المخيم,
389,Last::N,حمل,nammagaq
390,Gang::N,مشية,
391,Schritt::N,خطوة,allorneq
392,Norden::N,شمال,avannaq
393,Süden::N,جنوب,qava
394,Süden::N,جنوب,kujat
395,Süden::N,جنوب,kujataa
396,Westen::N,غرب,kitaa
397,Osten::N,شرق,kangi
398,Holz::N,خشب,qisuk
399,Brett::N,لوح,salliligaq
400,Platte::N,صفيحة,qaateq
401,Stütze::N,سند,ajagutaq
402,Stütze::N,سند,ajaagutaq
403,Stütze::N,دعامة,ajagutaq
404,Stütze::N,دعامة,ajaagutaq
405,Stange::N,عود,kaaviffik
406,Stock::N,عصا,ajaappissat
407,Stab::N,قضيب,ajaappissat
408,Rohr::N,أنبوبة,sullulik
409,Haus::N,دار,illu
410,Haus::N,بيت,illu
411,Heim::N,بيت,
412,Heim::N,مسكن,
413,Ofen::N,مدفأة,kissarsuut
414,Fußboden::N,أرضية,nateq
415,Tisch::N,مائدة,allattarfik
416,Stuhl::N,كرسي,issiavik
417,Stuhl::N,كرسي,issiaffik
418,Wiege::N,مهد,uaasoq
419,Bett::N,سرير,nallavik
420,Regal::N,رف,ilisivik
421,Kiste::N,صندوق,sakissat
422,Kiste::N,صندوق,illerfiusaq
423,Fenster::N,شباك,aki
424,Fenster::N,شباك,igalaaq
425,Fenster::N,نافذة,aki
426,Fenster::N,نافذة,igalaaq
427,Tür::N,باب,matu
428,Tor::N,بوابة,isaaffik
429,Zaun::N,سياج,saputit
430,Dach::N,سطح,qaliaq
431,Leiter::N,سلم,tummeqqat
