,Concept_ID,ta,sah
415,Schnur::N,கயிறு,быа
416,Leine::N,தோல்வார்,тэһиин
417,Decke::N,போர்வை,суорҕан
418,Kissen::N,தலையணை,сыттык
419,Tuch::N,துணி,былаат
420,Handtuch::N,தண்டு,соттор
421,Kraft::N,நிர்பந்தம்,сыра
422,Stärke::N,பலம்,күүс
423,Gesundheit::N,ஆரோக்கியம்,доруобуйа
424,Krankheit::N,நோய்,ыарыы
425,Schmerz::N,வலி,ыарыы
426,Wunde::N,காயம்,баас
427,Fieber::N,காய்ச்சல்,түрүлгэн
428,Fieber::N,காய்ச்சல்,лихорадка
429,Fieber::N,காய்ச்சல்,температура
430,Arznei::N,மருந்து,эмп
431,Brücke::N,பாலம்,күргэ
432,Brunnen::N,கேணி,холуодьас
433,Weide::N,மேய்ச்சல் நிலம்,мэччирэҥ
434,Pfad::N,நடை வழி,ыллык
435,Weg::N,வழி,суол
436,Straße::N,சாலை,суол
437,Dorf::N,கிராமம்,дэриэбинэ
438,Stadt::N,நகரம்,куорат
439,Brief::N,கடிதம்,сурук
440,Buch::N,புத்தகம்,кинигэ
441,Buchstabe::N,எழத்து,буква
442,Zeitung::N,செய்தித்தாள்,хаһыат
443,Leben::N,வாழ்க்கை,тыын
444,Tod::N,மரணம்,өлүү
445,Grab::N,சமாதி,иин
446,Kirche::N,தேவாலயம்,таҥара дьиэтэ
447,Sünde::N,பாவம்,айыы
448,Gott::N,கடவுள்,тангара
449,Arbeiter::N,தொழிலாளி,үлэһит
450,Chef::N,மேலாளர்,баһылык
451,Chef::N,மேலாளர்,начальник
452,Meister::N,தலைவன்,уус
453,Meister::N,தலைவன்,маастар
454,Arzt::N,மருத்துவர்,врач
455,Lehrer::N,ஆசிரியர்,учуутал
456,Geld::N,பணம்,харчы
457,Geschäft::N,வாணிபம்,идэ
458,Laden::N,கடை,маҕаһыын
459,Preis::N,விலை,сыана
460,Ware::N,சாமன்கள்,табаар
461,Nutzen::N,இலாபம்,туһа
462,Reichtum::N,சொத்து,баай
463,Welt::N,உலகம்,аан дойду
464,Land::N,நாடு,дойду
465,Staat::N,நாடு,государство
466,König::N,அரசன்,король
467,Macht::N,அதிகாரம்,былаас
468,Grenze::N,எல்லை,кыраныысса
469,Krieg::N,போர்,сэрии
470,Feind::N,எதிரி,өстөөх
471,Gewalt::N,வன்முறை,күүһүлээһин
472,Kampf::N,போராட்டம்,охсуһуу
473,Bogen[Waffe]::N,வில்,ох
474,Pfeil::N,அம்பு,ох
475,Gewehr::N,துப்பாக்கி,саа
476,Fehler::N,தவறு,сыыһа
477,Lüge::N,பொய்,сымыйа
478,Schaden::N,சேதாரம்,хоромньу
479,Unglück::N,இடையூறு,алдьархай
480,Schuld::N,குற்றம்,буруй
481,Alter::N,வயது,саас
482,Schluss::N,முடிவு,тиһэх
483,Zeit::N,காலம்,бириэмэ
484,Tag::N,நாள்,күн
485,Morgen::N,காலை நேரம்,сарсыарда
486,Mittag::N,மதியம்,күн ортото
487,Abend::N,மாலைப் பொழுது,киэһэ
488,Nacht::N,இரவு,түүн
489,Woche::N,வாரம்,нэдиэлэ
490,Monat::N,மாதம்,ый
491,Jahr::N,வருடம்,сыл
492,Jahr::N,வருடம்,дьыл
493,Frühling::N,வசந்தம்,саас
494,Sommer::N,கோடை,сайын
