,Concept_ID,mhr,kl
571,Kirche::N,че́рке,oqaluffik
572,Sünde::N,су́лык,ajorti
573,Gott::N,ю́мо,
574,Arbeiter::N,паша́зе,sulisoq
575,Chef::N,тӧра́,ittoqut
576,Meister::N,маста́р,naalagaq
577,Arzt::N,врач,katsorsaasoq
578,Lehrer::N,ту́ныктышо,ilinniartitsisoq
579,Geld::N,окса́,aningaasat
580,Geschäft::N,сатулыма́ш,niuertarfik
581,Laden::N,ке́выт,niuertarfik
582,Preis::N,ак,aki
583,Ware::N,сату́,qaliata pii
584,Ware::N,сату́,nioqqutissaq
585,Nutzen::N,пайда́,iluaqut
586,Reichtum::N,поя́нлык,
587,Welt::N,тӱня́,nunarsuaq
588,Land::N,эл,nuna
589,Staat::N,кугыжа́ныш,
590,König::N,кугыжа́,kunngi
591,Macht::N,власть,pissaassuseq
592,Grenze::N,грани́ца,killik
593,Krieg::N,сар,sorsunneq
594,Feind::N,тушма́н,akeraq
595,Feind::N,тушма́н,akerartorti
596,Feind::N,тушма́н,qinngarsuisoq
597,Gewalt::N,виешлыма́ш,
598,Kampf::N,кредалма́ш,sorsunneq
599,Bogen[Waffe]::N,юҥе́ж,
600,Pfeil::N,пикш,qalugiusaq
601,Gewehr::N,пыча́л,aallaat
602,Fehler::N,йо́ҥылыш,kukkuneq
603,Fehler::N,йо́ҥылыш,paarlaappaa
604,Lüge::N,шоя́к,
605,Schaden::N,зия́н,
606,Unglück::N,эҥге́к,perluut
607,Schuld::N,тита́к,akiitsugaq
608,Schuld::N,тита́к,akiligassaq
609,Schuld::N,йола́,akiitsugaq
610,Schuld::N,йола́,akiligassaq
611,Alter::N,ийго́т,utoqqaq
612,Schluss::N,муча́ш,isu
613,Zeit::N,жап,ulloq
614,Zeit::N,жап,akuttoqatigiinneq
615,Zeit::N,па́гыт,ulloq
616,Zeit::N,па́гыт,akuttoqatigiinneq
617,Tag::N,ке́че,ulloq
618,Morgen::N,эр,ullaaq
619,Mittag::N,кечыва́л,ulloqeqqa
620,Abend::N,кас,unnuk
621,Nacht::N,йӱд,unnuaq
622,Woche::N,арня́,sapaatip akunnera
623,Monat::N,ты́лзе,qaammat
624,Jahr::N,ий,ukioq
625,Frühling::N,шо́шо,upernaaq
626,Sommer::N,кеҥе́ж,aasaq
627,Herbst::N,шы́же,ukiaq
628,Winter::N,те́ле,ukioq
629,Januar::N,шоркыйол,siulleeq
630,Januar::N,шоркыйол,qaammaliaq
631,Januar::N,идалыкву́й,siulleeq
632,Januar::N,идалыкву́й,qaammaliaq
633,Januar::N,янва́рь,siulleeq
634,Januar::N,янва́рь,qaammaliaq
635,Februar::N,пургыж,aarlaat
636,Februar::N,февра́ль,aarlaat
637,März::N,ӱярня,marsi
638,März::N,ӱярня,martsi
639,März::N,март,marsi
640,März::N,март,martsi
641,April::N,апре́ль,
642,Mai::N,ага,maaji
643,Mai::N,май,maaji
644,Juni::N,пеледыш,juuni
645,Juni::N,ию́нь,juuni
646,Juli::N,сӱрем,juuli
647,Juli::N,ию́ль,juuli
648,August::N,сорла,aggusti
649,August::N,агарма́н,aggusti
650,August::N,а́вгуст,aggusti
651,September::N,идым,septembari
652,September::N,сентя́брь,septembari
653,Oktober::N,шыжа,oktobari
654,Oktober::N,октя́брь,oktobari
655,November::N,кылме тылзе,novembari
656,November::N,ноя́брь,novembari
657,Dezember::N,дека́брь,detsembari
658,Montag::N,шо́чмо,ataasinngortoq
659,Dienstag::N,ку́шкыжмо,marlunngorneq
660,Mittwoch::N,вӱрге́че,pingasunngorneq
661,Donnerstag::N,изарня́,sisamanngorneq
662,Freitag::N,кугарня́,tallimanngorneq
663,Samstag::N,шуматке́че,arfininngorneq
664,Sonntag::N,рушарня́,sapaat
665,Sonntag::N,рушарня́,sapaati
666,groß::A,кугу́,angivoq
667,klein::A,изи́,mikivoq
668,lang::A,кужу́,takisooq
669,kurz::A,кӱ́чык,naatsoq
670,breit::A,кумда́,silippoq
671,schmal::A,а́ҥысыр,amitsoq
672,dicht::A,ну́гыдо,torsusooq
673,dick[Gegenstand]::A,кӱ́жгӧ,issuvoq
674,dick[Gegenstand]::A,кӱ́жгӧ,issusooq
675,dünn::A,ви́чкыж,amitsoq
676,fein::A,ты́гыде,mamarpoq
677,fest::A,чо́ткыдо,tangeqarpoq
678,flach::A,лапка́,nalimmappoq
679,glatt::A,яклака́,quasak
680,hart::A,пе́ҥгыде,mattusooq
681,hart::A,пе́ҥгыде,manngerpoq
682,hart::A,пе́ҥгыде,titeqquluppoq
683,weich::A,пу́шкыдо,nerumaarpoq
684,rund::A,йырге́шке,ammallorippoq
685,spitz::A,коша́р,qummukujooq
686,scharf::A,пӱ́сӧ,ipippoq
687,stumpf::A,токма́к,anngerpoq
