,Concept_ID,sah,mhr
674,sanft::A,намчы,ны́жылге
675,sanft::A,сымнаҕас,ны́жылге
676,hungrig::A,аччык,шу́жышо
677,krank::A,ыалдьар,че́рле
678,nackt::A,сыгынньах,чарама́т
679,traurig::A,санаарҕабыллаах,ойга́н
680,lebendig::A,тыыннаах,и́лыше
681,gut::A,үтүө,сай
682,gut::A,үчүгэй,сай
683,schlecht::A,куһаҕан,уда́
684,schlecht::A,куһаҕан,шӱ́кшӧ
685,richtig::A,сөп,чы́нле
686,schlimm::A,сидьиҥ,аля́к
687,schlimm::A,сидьиҥ,тыра́н
688,schlimm::A,быдьар,аля́к
689,schlimm::A,быдьар,тыра́н
690,wahr::A,кырдьык,чы́нле
691,wahr::A,кырдьык,настоя́щий
692,alt::A,былыргы,то́што
693,neu::A,саҥа,у
