,Concept_ID,,it
757,überall::ADV,,dappertutto
758,nicht::ADV,,non
759,ein wenig::ADV,,un po'
760,ein wenig::ADV,,un poco
761,kaum::ADV,,a appena
762,sehr::ADV,,molto
763,so::ADV,,così
764,so::ADV,,tanto
765,noch::ADV,,ancora
766,nur::ADV,,solo
767,nur::ADV,,soltanto
768,schon::ADV,,già
769,wieder::ADV,,di nuovo
770,vergebens::ADV,,invano
771,vor::PRP,,davanti a
772,hinter::PRP,,dietro
773,unter::PRP,,sotto
774,durch::PRP,,per
775,durch::PRP,,attraverso
776,neben::PRP,,a accanto a
777,zwischen::PRP,,fra
778,wegen::PRP,,a causa di
779,dies::PRN,,ciò
780,dies::PRN,,questo
781,das::PRN,,ciò
782,das::PRN,,quello
783,alles::PRN,,tutto
784,ich::PRN,,ìo
785,du::PRN,,tu
786,er::PRN,,lui
787,er::PRN,,egli
788,wir::PRN,,noi
789,ihr::PRN,,voi
790,sie::PRN,,loro
791,was::FPRN,,che
792,was::FPRN,,che cosa
793,wer::FPRN,,chi
794,wo::FADV,,dove
795,wohin::FADV,,dove
796,wie::FADV,,come
797,warum::FADV,,perche
798,wieviel::FNUM,,quanto
799,eins::NUM,,uno
800,zwei::NUM,,due
801,drei::NUM,,tre
802,vier::NUM,,quattro
803,fünf::NUM,,cinque
804,sechs::NUM,,sei
805,sieben::NUM,,sette
806,acht::NUM,,otto
807,neun::NUM,,nove
808,zehn::NUM,,dieci
809,elf::NUM,,ùndici
810,zwölf::NUM,,dodici
811,zwanzig::NUM,,venti
812,dreißig::NUM,,trenta
813,vierzig::NUM,,quaranta
814,fünfzig::NUM,,cinquanta
815,sechzig::NUM,,sessanta
816,siebzig::NUM,,settanta
817,achtzig::NUM,,ottanta
818,neunzig::NUM,,novanta
819,hundert::NUM,,cento
820,tausend::NUM,,mille
821,und::CNJ,,e
822,oder::CNJ,,o
823,stehen::V,,stare in piedi
824,sitzen::V,,sedere
825,sitzen::V,,stare seduto
826,liegen::V,,giacere
827,hängen::V,,pèndere
828,hängen::V,,èssere appeso
829,werden::V,,farsi
830,werden::V,,diventare
831,passieren::V,,succèdere
832,beginnen::V,,cominciare
833,enden::V,,finire
834,enden::V,,terminare
835,wechseln::V,,variare
836,wechseln::V,,cambiare
837,aufgehen[Sonne]::V,,sòrgere
838,aufgehen[Sonne]::V,,spuntare
839,untergehen[Sonne]::V,,tramontare
840,scheinen[Sonne]::V,,splèndere
841,donnern::V,,tonare
842,wehen::V,,soffiare
843,strömen::V,,fluire
844,fließen::V,,fluire
845,fließen::V,,scorrere
846,sich drehen::V,,girarsi
847,schwanken::V,,oscillare
848,schwanken::V,,barcollare
849,schwingen::V,,vibrare
850,schwingen::V,,oscillare
851,fallen::V,,cadere
852,brennen::V,,àrdere
853,brennen::V,,bruciare
854,rauchen::V,,fumare
855,regnen::V,,piòvere
856,gefrieren::V,,gelarsi
857,gefrieren::V,,congelarsi
858,tauen::V,,sciògliersi
859,schmelzen::V,,fòndere
860,schmelzen::V,,sciògliersi
861,trocknen::V,,asciugarsi
862,sieden::V,,bollire
863,faulen::V,,marcire
864,verfaulen::V,,imputridire
865,reißen::V,,strapparsi
866,versinken::V,,affondare
867,vergehen::V,,passare
868,erscheinen::V,,apparire
869,erscheinen::V,,comparire
870,verschwinden::V,,sparire
871,verschwinden::V,,scomparire
872,sinken::V,,calare
873,sinken::V,,scendere
874,abnehmen::V,,diminuire
875,zunehmen::V,,aumentare
876,steigen::V,,salire
877,steigen::V,,montare
878,wachsen::V,,crescere
879,glänzen::V,,splèndere
880,funkeln::V,,brillare
881,funkeln::V,,scintillare
882,lärmen::V,,strepitare
883,lärmen::V,,fare chiasso
884,läuten::V,,suonare
885,klingeln::V,,suonare
886,klirren::V,,tintinnare
887,brausen::V,,rombare
888,brausen::V,,rumoreggiare
889,rauschen::V,,frusciare
890,klingen::V,,suonare
891,bellen::V,,latrare
892,bellen::V,,abbaiare
893,heulen::V,,urlare
894,heulen::V,,ululare
895,blasen::V,,soffiare
896,pfeifen::V,,fischiare
897,schreien::V,,gridare
898,stöhnen::V,,gèmere
899,zittern::V,,tremare
900,leben::V,,vìvere
901,geboren werden::V,,nàscere
902,atmen::V,,respirare
903,trinken::V,,bere
904,essen::V,,mangiare
905,schlucken::V,,inghiottire
906,müde werden::V,,stancarsi
907,einschlafen::V,,addormentarsi
908,schlafen::V,,dormire
909,aufwachen::V,,svegliarsi
910,aufstehen::V,,levarsi
911,sich erholen::V,,riposarsi
912,krank werden::V,,ammalarsi
913,krank sein::V,,èssere malato
914,schmerzen::V,,dolere
915,husten::V,,tossire
916,genesen::V,,guarire
917,sterben::V,,morire
918,umkommen::V,,perire
919,sich bewegen::V,,agitarsi
920,sich rühren::V,,muòversi
921,sich erheben::V,,alzarsi
922,sich setzen::V,,sedersi
923,hinfallen::V,,cadere
924,laufen::V,,camminare
925,laufen::V,,andare a piedi
926,schreiten::V,,andare
927,schreiten::V,,procedere
928,spazierengehen::V,,passeggiare
929,spazierengehen::V,,andare a passeggio
930,eilen::V,,andare in fretta
931,sich beeilen::V,,affrettarsi
932,sausen::V,,volare
933,sausen::V,,correre
934,rennen::V,,correre
935,springen::V,,saltare
936,klettern::V,,arrampicarsi
937,schaukeln::V,,fare l'altalena
938,kriechen::V,,strisciare
939,schwimmen::V,,nuotare
940,tauchen::V,,tuffarsi
941,tauchen::V,,immèrgersi
942,rudern::V,,remare
943,fahren::V,,andare
944,fahren::V,,viaggiare
945,fliegen::V,,volare
946,gehen::V,,andare
947,weggehen::V,,andàrsene
948,weggehen::V,,andare via
949,abfahren::V,,partire
950,anhalten::V,,fermarsi
951,hineingehen::V,,entrare
952,eintreten::V,,entrare
953,kommen::V,,venire
954,ankommen::V,,arrivare
955,zurückkommen::V,,ritornare
956,bleiben::V,,restare
957,bleiben::V,,rimanere
958,warten::V,,aspettare
959,erwarten::V,,attèndere
960,suchen::V,,cercare
961,finden::V,,trovare
962,versuchen::V,,tentare
963,vorbereiten::V,,preparare
964,lieben::V,,amare
965,mögen::V,,piacere a
966,mögen::V,,volere bene a
967,lachen::V,,rìdere
968,rühren::V,,commuòvere
969,weinen::V,,piàngere
970,schimpfen::V,,imprecare
971,sich ärgern::V,,stizzirsi
972,sich ärgern::V,,arrabbiarsi
973,sich fürchten::V,,avere paura
974,fürchten::V,,temere
975,fliehen::V,,fuggire
976,flüchten::V,,sfuggire
977,sehen::V,,vedere
978,anschauen::V,,guardare
979,ansehen::V,,guardare
980,hören::V,,udire
981,hören::V,,sentire
982,zuhören::V,,ascoltare
983,probieren::V,,degustare
984,probieren::V,,assaggiare
985,riechen::V,,sentire
986,fühlen::V,,sentire
987,scheinen::V,,parere
988,scheinen::V,,sembrare
989,zu sehen sein::V,,vedersi
990,vernehmen::V,,sentire
991,vernehmen::V,,percepire
992,frieren::V,,aver freddo
993,tun::V,,fare
994,können::V,,sapere
995,wollen::V,,volere
