,Concept_ID,mn,mdf
246,Mann::N,эр,аля
247,Mann::N,эр,цёраломань
248,Mann::N,эрэгтэй,аля
249,Mann::N,эрэгтэй,цёраломань
250,Frau::N,эмэгтэй,ава
251,Frau::N,хатагтай,ава
252,Kind::N,хүүхэд,идь
253,Kind::N,хүүхэд,шаба
254,Junge::N,хүү,цёраня
255,Mädchen::N,охин,стирня́
256,Mädchen::N,бүсгүй,стирня́
257,Familie::N,айл,тнал
258,Familie::N,айл,семья
259,Großvater::N,өвгөн аав,атя
260,Großvater::N,өвгөн аав,щя́тя
261,Großmutter::N,эмэг эх,баба
262,Großmutter::N,эмгээ,баба
263,Eltern::N,эцэг эх,тя́дят-а́лят
264,Vater::N,аав,аля
265,Vater::N,эцэг,аля
266,Mutter::N,эх,ава
267,Mutter::N,эх,тядя
268,Mutter::N,ээж,ава
269,Mutter::N,ээж,тядя
270,Sohn::N,хүү,цёра
271,Tochter::N,охин,стирь
272,Bruder::N,ах,дуган
273,Bruder::N,ах,пяльне
274,Bruder::N,дүү,дуган
275,Bruder::N,дүү,пяльне
276,Schwester::N,эгч,ака
277,Schwester::N,эгч,сазор
278,Schwester::N,охин дүү,ака
279,Schwester::N,охин дүү,сазор
280,Onkel::N,авга ах,оця
281,Onkel::N,авга ах,патя
282,Onkel::N,авга ах,щеня́
283,Onkel::N,нагац ах,оця
284,Onkel::N,нагац ах,патя
285,Onkel::N,нагац ах,щеня́
286,Tante::N,авга эгч,ака
287,Tante::N,авга эгч,щака
288,Tante::N,нагац эгч,ака
289,Tante::N,нагац эгч,щака
290,Ehemann::N,нөхөр,мирде
291,Ehefrau::N,эхнэр,ърьвя́
292,Ehefrau::N,гэргий,ърьвя́
293,Freude::N,баяр,ке́нярдема
294,Freude::N,баясгалан,ке́нярдема
295,Gelächter::N,инээдэм,рахсема
296,Glück::N,жаргалан,паваз
297,Kummer::N,гаслан,ризф
298,Kummer::N,гаслан,пичефкс
299,Wunsch::N,ерөөл,мяль
300,Wunsch::N,ерөөл,таколдома
301,Lust::N,дур,таколдома
302,Lust::N,хүсэл,таколдома
303,Geist::N,оюун,вайме
304,Gedanke::N,сэтгэл,мяль
305,Gedächtnis::N,ой,прявий
306,Gedächtnis::N,цээж,прявий
307,Verstand::N,ухаан,прявий
308,Sinn::N,утга,ён
309,Grund::N,учир,туфта́л
310,Wahrheit::N,үнэн,ви́де
311,Wahrheit::N,үнэн,видеши́
312,Gespräch::N,яриа,корхтама
313,Märchen::N,явган үлгэр,ёфкс
314,Erzählung::N,тууж,азкс
315,Nachricht::N,мэдээ,куля́
316,Neuigkeit::N,сонин,куля́
317,Name::N,нэр,лем
318,Rätsel::N,оньсого,со́дама ёфкс
319,Rede::N,хэлсэн үг,вал
320,Rede::N,хэлсэн үг,корхтама
321,Sprache::N,хэл,кяль
322,Stimme::N,дуу,вайгяль
323,Wort::N,үг,вал
324,Zeichen::N,тамга,тя́ште
325,Zeichen::N,тамга,тя́штькс
326,Zeichen::N,тэмдэг,тя́ште
327,Zeichen::N,тэмдэг,тя́штькс
328,Ruf::N,дуудлага,тердема
329,Lärm::N,шуугиан,гайф
330,Lärm::N,шуугиан,жалакодома
331,Lärm::N,чимээ,гайф
332,Lärm::N,чимээ,жалакодома
333,Laut::N,анир,вайгяль
334,Laut::N,дуу,вайгяль
335,Ton::N,авиа,вайгяль
336,Ton::N,аялгуу,вайгяль
337,Lied::N,дуу,мора
338,Ruhe::N,энх,сетьме
339,Ruhe::N,тайван,сетьме
340,Leute::N,хүмүүс,ломатть
341,Volk::N,улс,наро́д
342,Arbeit::N,ажил,тев
343,Arbeit::N,хөдөлмөр,тев
344,Gast::N,зочин,и́нжи
345,Gast::N,зочин,ко́нак
346,Gast::N,айлчин,и́нжи
347,Gast::N,айлчин,ко́нак
348,Geschenk::N,бэлэг,казне
349,Spiel::N,наадам,налхкома
350,Spiel::N,наадам,налхксема
351,Spiel::N,тоглоом,налхкома
352,Spiel::N,тоглоом,налхксема
353,Gesellschaft::N,хамт байх,кружок
354,Hilfe::N,тусламж,лездома
355,Freund::N,найз,я́лга
356,Freund::N,нөхөр,я́лга
357,Kamerad::N,хань,я́лга
358,Kamerad::N,нөхөр,я́лга
359,Angelegenheit::N,хэрэг,тев
360,Anzahl::N,тоо,лувкс
361,Art::N,төрөл,вид
362,Art::N,янз,вид
363,Stück::N,хэсэг,пакш
364,Teil::N,хувь,часть
365,Teil::N,хувь,пялькс
366,Teil::N,хэсэг,часть
367,Teil::N,хэсэг,пялькс
368,Hälfte::N,хагас,пяле
369,Kreis::N,тойрог,шаркс
370,Kreis::N,хүрээ,шаркс
371,Kreuz::N,загалмай,крёз
372,Linie::N,шугам,межа
373,Linie::N,шугам,китькс
374,Strich::N,зураас,межа
375,Abstand::N,зай,ётка
376,Entfernung::N,зай,ётка
377,Entfernung::N,хол ойр,ётка
378,Gegend::N,хавь,ва́ста
379,Gegend::N,хавь,перьфпя́ль
380,Gegend::N,газар,ва́ста
381,Gegend::N,газар,перьфпя́ль
382,Platz::N,зай,ва́ста
383,Platz::N,завсар,ва́ста
384,Ort::N,газар,ва́ста
385,Ort::N,байр,ва́ста
386,Seite::N,тал,пяле
387,Seite::N,этгээд,пяле
388,Mitte::N,төв,кучка́
389,Mitte::N,дунд,кучка́
390,Gegenstand::N,юм,веща
391,Sache::N,үйл,тев
392,Sache::N,үйл,веща
393,Sache::N,хэрэг,тев
394,Sache::N,хэрэг,веща
395,Rand::N,зах,пе
396,Rand::N,хөвөө,пе
397,Kante::N,ирмэг,и́рдез
398,Ecke::N,өнцөг,ужа
399,Spitze::N,үзүүр,пря
400,Ende::N,зах,пе
401,Ende::N,үзүүр,пе
402,Loch::N,цоорхой,варя
403,Loch::N,онгорхой,варя
404,Winkel::N,өнцөг,ужа
405,Muster::N,хээ,сёрма
406,Muster::N,угалз,сёрма
407,Größe::N,хэмжээ,серь
408,Länge::N,урт,кува́лма
409,Höhe::N,өндөр,серь
410,Gewicht::N,жин,сталма
411,Menge::N,тоо,лувкс
412,Haufen::N,бөөн,мар
413,Reihe::N,эгнээ,ряд
414,Boot::N,завь,венеж
415,Ruder::N,сэлүүр,миле
416,Schlitten::N,чарга,ну́рда
417,Ski::N,цана,сокс
418,Lagerfeuer::N,түүдэг,то́лмар
419,Last::N,ачаа,канкс
420,Last::N,ачаа,сталма
421,Gang::N,явдал,молема
422,Schritt::N,алхам,аськолкс
423,Norden::N,умар,якшама шире
424,Süden::N,урд,ля́мбе ши́ре
425,Süden::N,өмнө,ля́мбе ши́ре
