,Concept_ID,ga,myv
719,geschlossen::A,druidte,пекстазь
720,geschlossen::A,druidte,сёлгозь
721,sauber::A,glan,ванькс
722,schmutzig::A,salach,ливезев
723,roh::A,amh,верек
724,reif::A,aibí,кенерезь
725,lecker::A,blasta,тантей
726,süß::A,milis,ламбамо
727,bitter::A,searbh,сэпей
728,sauer::A,géar,чапамо
729,sauer::A,searbh,чапамо
730,hell::A,geal,валдо
731,hell::A,soilseach,валдо
732,dunkel::A,dorcha,чопода
733,schwarz::A,dubh,раужо
734,weiß::A,bán,ашо
735,rot::A,dearg,якстере
736,gelb::A,buí,ожо
737,blau::A,gorm,сэнь
738,grün::A,glas,пиже
739,grün::A,uaine,пиже
740,grau::A,liath,шержев
741,bunt::A,ildathach,сёрмав
742,bunt::A,dathannach,сёрмав
743,billig::A,saor,аволь питней
744,teuer::A,daor,питней
745,teuer::A,costasach,питней
746,wertvoll::A,luachmhar,питней
747,blind::A,dall,сокор
748,blind::A,caoch,сокор
749,taub::A,bodhar,амариця
750,kräftig::A,cumhachtach,пек виев
751,stark::A,tréan,виев
752,stark::A,láidir,виев
753,schwach::A,lag,лавшо
754,schwach::A,fann,лавшо
755,fett::A,ramhar,куя
756,schlank::A,caol,виде ронга
757,schlank::A,seang,виде ронга
758,hübsch::A,álainn,мазый
759,hübsch::A,dathúil,мазый
760,böse::A,olc,кежей
761,dumm::A,dúr,чавола
762,dumm::A,dúr,превтеме
763,dumm::A,amaideach,чавола
764,dumm::A,amaideach,превтеме
765,faul::A,falsa,нузякс
766,faul::A,leisciúil,нузякс
767,fleißig::A,dícheallach,мелень путыця
768,geizig::A,barainneach,скупой
769,geizig::A,sprionlaithe,скупой
770,klug::A,cliste,превей
771,geschickt::A,oilte,маштозь теезь
772,geschickt::A,ealaíonta,маштозь теезь
773,lieb::A,dil,вадря
774,lieb::A,dílis,вадря
775,lustig::A,aerach,весёла
776,lustig::A,meidhreach,весёла
777,sanft::A,bog,сэтьме
778,sanft::A,séimh,сэтьме
779,hungrig::A,ocrach,вачо
780,krank::A,tinn,сэредиця
781,krank::A,breoite,сэредиця
782,nackt::A,nocht,штапо
783,traurig::A,brónach,нусманя
784,lebendig::A,beo,эриця
785,gut::A,maith,паро
786,schlecht::A,dona,берянь
787,schlecht::A,droch-,берянь
788,richtig::A,ceart,виде
789,schlimm::A,gránna,берянь
790,schlimm::A,tubaisteach,берянь
791,wahr::A,fíor,алкуксонь
792,alt::A,sean,ташто
793,neu::A,úr,од
794,neu::A,nua,од
795,ehemalig::A,iar-,икелень
796,ehemalig::A,sean-,икелень
797,alt[Lebewesen]::A,sean,сыре
798,alt[Lebewesen]::A,aosta,сыре
799,jung::A,óg,од
800,arm::A,bocht,кажов
801,reich::A,saibhir,сюпав
802,reich::A,rachmasach,сюпав
803,bekannt::A,atá eolas air,содавикс
804,berühmt::A,cailiúil,содавикс
805,berühmt::A,clúiteach,содавикс
806,fremd::A,coimhthíoch,лия
807,fremd::A,coimhthíoch,асодавикс
808,verschieden::A,éagsúil,эрьва
