,Concept_ID,mn,ml
410,Dach::N,дээвэр,മേൽക്കുര
411,Leiter::N,шат,ഏണി
412,Besen::N,хамуур,ചൂല്
413,Besen::N,туужуу,ചൂല്
414,Spaten::N,хүрз,തൂമ്പ
415,Schaufel::N,хүрз,തൂമ്പ
416,Gabel::N,сэрээ,മുൾക്കത്തി
417,Löffel::N,халбага,സ്പൂൺ
418,Messer::N,хутга,കത്തി
419,Nagel::N,хадаас,ആണി
420,Netz::N,өөш,വല
421,Netz::N,тор,വല
422,Haken::N,гох,കൊളുത്ത്
423,Griff::N,иш,കൈപ്പിടി
424,Griff::N,сэнж,കൈപ്പിടി
425,Schloss::N,цуурга,പൂട്ട്
426,Schloss::N,цоож,പൂട്ട്
427,Bild::N,зураг,ചിത്രം
428,Figur::N,баримал,കണക്ക്
429,Puppe::N,хүүхэлдэй,പാവ
430,Beutel::N,агсаа,ബാഗ്
431,Beutel::N,уут,ബാഗ്
432,Bündel::N,боодол,കെട്ട്
433,Tasche::N,цүнх,ബാഗ്
434,Eimer::N,хөнөг,ബക്കറ്റ്
435,Eimer::N,хувин,ബക്കറ്റ്
436,Deckel::N,таг,ഉറ
437,Deckel::N,хавхаг,ഉറ
438,Geschirr::N,сав суулга,പിഞ്ഞാണം
439,Sack::N,шуудай,ചാക്ക്
440,Tasse::N,аяга,കപ്പ്
441,Topf::N,тогоо,പാത്രം
442,Kessel::N,тогоо,കെറ്റ്ല്
443,Essen::N,идээ,ആഹാരസമയം
444,Nahrung::N,хүнс,ഭക്ഷണം
445,Speise::N,идээ,ഡിഷ്
446,Fleisch::N,мах,മാംസം
447,Getreide::N,будаа,ചോളം
448,Brei::N,богшмол,കഞ്ഞി
449,Brei::N,будаа,കഞ്ഞി
450,Brot::N,талх,റോട്ടി
451,Scheibe::N,зүсэм,തുണ്ട്
452,Scheibe::N,хэрчим,തുണ്ട്
453,Fett::N,өөх,കൊഴുപ്പ്
454,Butter::N,тос,വെണ്ണ
455,Öl::N,тос,എണ്ണ
456,Salz::N,давс,ഉപ്പ്
457,Suppe::N,шөл,സൂപ്പ്
458,Honig::N,бал,തേൻ
459,Milch::N,сүү,പാൽ
460,Tee::N,цай,ചായ
461,Leder::N,арьс,തുകൽ
462,Leder::N,савхи,തുകൽ
463,Wolle::N,ноос,കമ്പിളി
464,Wolle::N,унгас,കമ്പിളി
465,Stoff::N,бөс,തുണി
466,Nadel::N,зүү,സൂചി
467,Faden::N,боолт,നൂല്
468,Faden::N,утас,നൂല്
469,Knopf::N,товч,ബട്ടൺ
470,Knoten::N,зангилаа,കുരുക്ക്
471,Farbe::N,будаг,പെയിൻറ്
472,Kleidung::N,хувцас,വസ്ത്രങ്ങൾ
473,Hemd::N,цамц,ഷർട്ട്
474,Kragen::N,зах заам,കുപ്പായക്കഴുത്ത്
475,Ärmel::N,ханцуй,കുപ്പായക്കൈ
476,Hose::N,өмд,ട്രൌസർ
477,Gürtel::N,бүс,ബെൽറ്റ്
478,Mütze::N,малгай,തൊപ്പി
479,Mütze::N,бүрх,തൊപ്പി
480,Schuh::N,туфли,ഷൂ
481,Stiefel::N,гутал,ബൂട്ട്
482,Ring::N,бөгж,മോതിരം
483,Band::N,тууз,റിബൺ
484,Kamm::N,сам,ചീപ്പ്
485,Spiegel::N,толь,കണ്ണാടി
486,Riemen::N,тасам,സ്ട്രാപ്പ്
487,Riemen::N,сур,സ്ട്രാപ്പ്
488,Schnur::N,татлага,ചരട്
489,Leine::N,оосор,കെട്ടാനുള്ള തോൽവാർ
490,Decke::N,хөнжил,പുതപ്പ്
491,Decke::N,хучлага,പുതപ്പ്
492,Kissen::N,дэр,തലയിണ
493,Tuch::N,алчуур,സ്കാർഫ്
494,Tuch::N,даавуу,സ്കാർഫ്
