,Concept_ID,udm,hi
668,Wolle::N,ыжгон,ऊन
669,Stoff::N,куэм,कपड़ा
670,Nadel::N,вень,सूई
671,Faden::N,сӥньыс,डोरा
672,Knopf::N,бирды,बटन
673,Knopf::N,бирды,घुंडी
674,Knoten::N,герд,गाँठ
675,Knoten::N,герд,गुत्थी
676,Farbe::N,буёл,रंग
677,Farbe::N,буёл,वर्ण
678,Kleidung::N,дӥсь,पहनावा
679,Hemd::N,дэрем,कुरता
680,Hemd::N,дэрем,क़मीज़
681,Kragen::N,сирес,गरदनी
682,Kragen::N,сирес,गरेबान
683,Ärmel::N,саес,आस्तीन
684,Hose::N,брюки,पैंट
685,Hose::N,брюки,पतलून
686,Hose::N,штань,पैंट
687,Hose::N,штань,पतलून
688,Gürtel::N,кускерттон,पेटी
689,Gürtel::N,кускерттон,मेखला
690,Mütze::N,ызьы,टोपी
691,Schuh::N,ботинка,जूता
692,Stiefel::N,сапег,बूट
693,Ring::N,зундэс,अँगूठी
694,Band::N,лента,पट्टी
695,Kamm::N,сын,कंघी
696,Spiegel::N,синучкон,आईना
697,Spiegel::N,синучкон,दर्पण
698,Riemen::N,е,तसमा
699,Riemen::N,е,पट्टा
700,Schnur::N,гозы,डोरी
701,Schnur::N,гозы,सुतली
702,Leine::N,думет,रस्सी
703,Decke::N,шобрет,रज़ाई
704,Kissen::N,миндэр,तकिया
705,Kissen::N,миндэр,गाद्दा
706,Tuch::N,кышет,रूमाल
707,Tuch::N,кышет,वस्त्र
708,Handtuch::N,ӵушкон,अँगोछा
709,Kraft::N,кать,ज़ोर
710,Kraft::N,кать,शक्ति
711,Kraft::N,ӟигар,ज़ोर
712,Kraft::N,ӟигар,शक्ति
713,Stärke::N,юнлык,बल
714,Stärke::N,юнлык,ताक़त
715,Gesundheit::N,тазалык,स्वास्थ्य
716,Gesundheit::N,тазалык,तंदुरुस्ती
717,Krankheit::N,висён,रोग
718,Krankheit::N,висён,बीमारी
719,Schmerz::N,висён,दर्द
720,Schmerz::N,висён,पीड़ा
721,Wunde::N,яра,घाव
722,Wunde::N,яра,ज़ख़्म
723,Fieber::N,кезег,ज्वर
724,Fieber::N,кезег,बुख़ार
725,Arznei::N,эмъюм,दवा
726,Arznei::N,эмъюм,औषाधि
727,Brücke::N,выж,पुल
728,Brücke::N,выж,सेतु
729,Brunnen::N,колдэч,कुआँ
730,Weide::N,возь,चरागाह
731,Pfad::N,сюрес,पथ
732,Pfad::N,сюрес,पगडंडी
733,Weg::N,сюрес,मार्ग
734,Straße::N,сюрес,राह
735,Straße::N,сюрес,रास्ता
736,Dorf::N,гурт,गाँव
737,Dorf::N,гурт,ग्राम
738,Stadt::N,кар,शहर
739,Stadt::N,город,शहर
740,Brief::N,гожтэт,ख़त
741,Brief::N,гожтэт,पत्र
