,Concept_ID,hu,sv
179,Pferd::N,ló,häst
180,Schaf::N,juh,får
181,Schaf::N,birka,får
182,Schwein::N,sertés,svin
183,Hund::N,eb,hund
184,Hund::N,kutya,hund
185,Katze::N,macska,katt
186,Bär::N,medve,björn
187,Eichhörnchen::N,mókus,ekorre
188,Elch::N,jávorszarvas,älg
189,Fuchs::N,róka,räv
190,Hase::N,nyúl,hare
191,Maus::N,egér,mus
192,Wolf::N,farkas,varg
193,Vogel::N,madár,fågel
194,Schwarm::N,raj,svärm
195,Huhn::N,tyúk,höns
196,Hahn::N,kakas,tupp
197,Gans::N,lúd,gås
198,Gans::N,liba,gås
199,Adler::N,sas,örn
200,Ente::N,kacsa,anka
201,Eule::N,bagoly,uggla
202,Kranich::N,daru,trana
203,Krähe::N,varjú,kråka
204,Kuckuck::N,kakukk,gök
205,Schwan::N,hattyú,svan
206,Fisch::N,hal,fisk
207,Barsch::N,sügér,abborre
208,Hecht::N,csuka,gädda
209,Schlange[Tier]::N,kígyó,orm
210,Wurm::N,kukac,mask
211,Spinne::N,pók,spindel
212,Ameise::N,hangya,myra
213,Laus::N,tetű,lus
214,Mücke::N,szúnyog,mygga
215,Fliege::N,légy,fluga
216,Schmetterling::N,lepke,fjäril
217,Schmetterling::N,pillangó,fjäril
218,Beere::N,bogyó,bär
219,Apfel::N,alma,äpple
220,Pilz::N,gomba,svamp
221,Zwiebel::N,hagyma,lök
222,Saat::N,vetőmag,sådd
223,Korn::N,mag,korn
224,Korn::N,szem,korn
225,Heu::N,széna,hö
226,Schale::N,héj,skal
227,Grube::N,verem,grop
228,Falle::N,csapda,fälla
229,Schlinge::N,tőr,snara
230,Spur::N,nyom,spår
231,Asche::N,hamu,aska
232,Dreck::N,sár,lort
233,Dreck::N,piszok,lort
234,Eisen::N,vas,järn
235,Gold::N,arany,guld
236,Silber::N,ezüst,silver
237,Kohle::N,szén,kol
238,Glas::N,üveg,glas
239,Lehm::N,agyag,lera
240,Lehm::N,vályog,lera
241,Sand::N,homok,sand
242,Mensch::N,ember,människa
243,Mann::N,úr,man
244,Mann::N,férfi,man
245,Frau::N,nő,kvinna
246,Frau::N,asszony,kvinna
247,Kind::N,gyerek,barn
248,Kind::N,gyermek,barn
249,Junge::N,fiú,pojke
