,Concept_ID,ja,cs
489,Brief::N,手紙,dopis
490,Buch::N,本,kniha
491,Buchstabe::N,文字,písmeno
492,Zeitung::N,新聞,noviny
493,Leben::N,生活,život
494,Tod::N,死,smrt
495,Grab::N,墓,hrob
496,Kirche::N,教会,kostel
497,Sünde::N,罪,hřích
498,Gott::N,神,bůh
499,Arbeiter::N,労働者,dělník
500,Arbeiter::N,労働者,pracovník
501,Chef::N,上司,šéf
502,Chef::N,上司,vedoucí
503,Meister::N,達人,mistr
504,Meister::N,マイスター,mistr
505,Arzt::N,医者,lékař
506,Lehrer::N,先生,učitel
507,Geld::N,金,peníze
508,Geschäft::N,取り引き,obchod
509,Laden::N,店,krám
510,Preis::N,値段,cena
511,Ware::N,商品,zboží
512,Nutzen::N,利益,užitek
513,Reichtum::N,豊かさ,bohatství
514,Welt::N,世界,svět
515,Land::N,国,země
516,Staat::N,国家,stát
517,König::N,国王,král
518,Macht::N,権力,moc
519,Macht::N,権力,mocnost
520,Grenze::N,国境,hranice
521,Krieg::N,戦争,válka
522,Feind::N,敵,nepřítel
523,Gewalt::N,暴力,násilí
524,Kampf::N,戦い,boj
525,Bogen[Waffe]::N,弓,luk
526,Pfeil::N,矢,šíp
527,Gewehr::N,銃,puška
528,Gewehr::N,銃,ručnice
529,Fehler::N,間違い,chyba
530,Lüge::N,嘘,lež
531,Schaden::N,損害,škoda
532,Unglück::N,不幸,neštěstí
533,Schuld::N,罪,vina
534,Alter::N,年,věk
535,Alter::N,年齢,věk
536,Schluss::N,終わり,konec
537,Zeit::N,時,čas
538,Zeit::N,時間,čas
539,Tag::N,日,den
540,Morgen::N,朝,ráno
541,Morgen::N,朝,jitro
542,Mittag::N,昼,poledne
543,Abend::N,晩,večer
544,Abend::N,夕方,večer
545,Nacht::N,夜,noc
546,Woche::N,週,týden
547,Monat::N,月,měsíc
548,Jahr::N,年,rok
549,Frühling::N,春,jaro
550,Sommer::N,夏,léto
551,Herbst::N,秋,podzim
552,Winter::N,冬,zima
553,Januar::N,一月,leden
554,Februar::N,二月,únor
555,März::N,三月,březen
556,April::N,四月,duben
557,Mai::N,五月,květen
558,Juni::N,六月,červen
559,Juli::N,七月,červenec
560,August::N,八月,srpen
561,September::N,九月,září
562,Oktober::N,十月,říjen
563,November::N,十一月,listopad
564,Dezember::N,十二月,prosinec
565,Montag::N,月曜日,pondělí
566,Montag::N,月曜日,pondělek
567,Dienstag::N,火曜日,úterý
568,Mittwoch::N,水曜日,středa
569,Donnerstag::N,木曜日,čtvrtek
