,Concept_ID,ru,he
640,einst::ADV,однажды,לפנים
641,damals::ADV,тогда,אז
642,danach::ADV,затем,אחר-כך
643,vorher::ADV,раньше,לפני זה
644,zuerst::ADV,сперва,קדם
645,einmal::ADV,раз,פעם
646,manchmal::ADV,иногда,לפעמים
647,oft::ADV,часто,לעתים קרובות
648,immer::ADV,всегда,תמיד
649,niemals::ADV,никогда,אף פעם
650,hier::ADV,здесь,כאן
651,hierhin::ADV,сюда,פה
652,von hier::ADV,отсюда,מפה
653,dort::ADV,там,שם
654,dorthin::ADV,туда,שם
655,geradeaus::ADV,прямо,ישר
656,vorwärts::ADV,вперед,קדימה
657,rückwärts::ADV,назад,לאחור
658,zurück::ADV,обратно,בחזרה
659,zurück::ADV,обратно,אחורנית
660,unten::ADV,внизу,למטה
661,hinab::ADV,вниз,למטה
662,oben::ADV,наверху,מעל
663,oben::ADV,наверху,למעלה
664,hinauf::ADV,вверх,למעלה
665,überall::ADV,везде,בכל מקום
666,nicht::ADV,не,לא
667,ein wenig::ADV,немного,קצת
668,kaum::ADV,едва,בקשי
669,sehr::ADV,очень,מאוד
670,so::ADV,так,כך
671,so::ADV,так,ככה
672,noch::ADV,еще,עוד
673,noch::ADV,еще,עדין
674,nur::ADV,только,רק
675,schon::ADV,уже,כבר
676,wieder::ADV,опять,שוב
677,vergebens::ADV,напрасно,לריק
678,vergebens::ADV,напрасно,לשוא
679,vor::PRP,перед,מול
680,hinter::PRP,за,מאחורי
681,hinter::PRP,позади,מאחורי
682,unter::PRP,под,מתחת
683,durch::PRP,сквозь,דרך
684,neben::PRP,возле,ליד
685,neben::PRP,возле,על-יד
686,zwischen::PRP,между,בין
687,wegen::PRP,из-за,בשל
688,wegen::PRP,из-за,בגלל
689,dies::PRN,это,זה
690,das::PRN,то,זה
691,alles::PRN,все,הכל
692,ich::PRN,я,אני
693,du::PRN,ты,את
694,du::PRN,ты,אתה
695,er::PRN,он,הוא
696,wir::PRN,мы,אנחנו
697,ihr::PRN,вы,לה
698,sie::PRN,они,הם
699,was::FPRN,что,מה
