,Concept_ID,fa,kv
672,wertvoll::A,قیمتی,дона
673,wertvoll::A,گرانبها,дона
674,blind::A,کور,синтӧм
675,blind::A,نابینا,синтӧм
676,taub::A,کر,пельтӧм
677,taub::A,ناشنوا,пельтӧм
678,kräftig::A,قوی,вына
679,stark::A,قوی,вына
680,stark::A,نیرومند,вына
681,schwach::A,ضعیف,некодя
682,fett::A,چرب,госа
683,schlank::A,باریک‌اندام,статя
684,hübsch::A,قشنگ,басӧк
685,hübsch::A,خوشگل,басӧк
686,böse::A,بد,лёк
687,dumm::A,احمق,бӧбӧв
688,dumm::A,احمق,вежӧртӧм
689,faul::A,لش,дыш
690,faul::A,تنبل,дыш
691,fleißig::A,زرنگ,уджалicь
692,geizig::A,خسیس,жикмӧра
693,geizig::A,خسیس,горшаліcь
694,klug::A,عاقل,авья
695,klug::A,عاقل,вежӧра
696,klug::A,باهوش,авья
697,klug::A,باهوش,вежӧра
698,geschickt::A,ماهر,кипода
699,lieb::A,عزیز,муса
700,lieb::A,عزیز,дзулиньӧй
701,lustig::A,شاد,гажа
702,lustig::A,خوشحال,гажа
703,sanft::A,لطیف,лебезнӧй
704,hungrig::A,گرسنه,тшыг
705,krank::A,مریض,шогалiсь
706,krank::A,بیمار,шогалiсь
707,nackt::A,لخت,куш
708,nackt::A,برهنه,куш
709,traurig::A,غمگین,жугыль
710,lebendig::A,زنده,ловья
711,gut::A,خوب,бур
712,schlecht::A,بد,умӧль
713,richtig::A,درست,
714,schlimm::A,وخيم,нештӧм
715,wahr::A,درست,
716,wahr::A,حقیقی,
717,alt::A,کهنه,важ
718,neu::A,نو,виль
719,ehemalig::A,قبلی,вӧвлӧм
720,alt[Lebewesen]::A,پیر,года
721,alt[Lebewesen]::A,پیر,годдэза
722,jung::A,جوان,том
723,arm::A,فقیر,гов
724,arm::A,فقیر,беднӧй
725,reich::A,پولدار,эма
726,reich::A,ثروتمند,эма
727,bekannt::A,آشنا,тӧдса
728,bekannt::A,معلوم,тӧдса
729,berühmt::A,مشهور,
730,fremd::A,خارجی,чужӧй
731,fremd::A,بیگانه,чужӧй
732,verschieden::A,مختلف,быдкодь
733,verschieden::A,متفاوت,быдкодь
734,nah::A,نزدیک,матiсь
735,fern::A,دور,ылicь
736,linker::A,چپ,шульга
737,rechter::A,راست,веськытланись
738,anderer::A,دیگر,мукӧд
739,erster::A,اول,медодзза
740,zweiter::A,دوم,кыкӧт
741,dritter::A,سوم,куимӧт
742,dritter::A,سوم,куимӧдз
743,letzter::A,آخر,бӧрья
744,letzter::A,آخر,мёдбӧрья
745,allein::ADV,تنها,
746,auf einmal::ADV,همزمان,тшӧтш
747,zusammen::ADV,باهم,ӧтлаын
748,lange::ADV,مدت‌ها,дыр
749,lange::ADV,مدت زیادی,дыр
750,plötzlich::ADV,ناگهان,друг
751,sofort::ADV,فوراً,тшӧтш
752,später::ADV,بعدها,медбӧрын
753,jetzt::ADV,حالا,ӧні
754,jetzt::ADV,اکنون,ӧні
755,heute::ADV,امروز,талун
756,morgen::ADV,فردا,ашын
757,bald::ADV,زود,чожа
758,bald::ADV,بزودی,чожа
759,dann::ADV,سپس,сыбӧрын
760,dann::ADV,آنوقت,сыбӧрын
761,gestern::ADV,دیروز,тӧн
762,einst::ADV,وقتی,ӧтпыр
763,einst::ADV,زمانی,ӧтпыр
764,damals::ADV,آنوقت,сэк
765,damals::ADV,آنوقت,сэки
766,damals::ADV,آنزمان,сэк
767,damals::ADV,آنزمان,сэки
768,danach::ADV,بعد,сэсся
769,vorher::ADV,قبلاً,одзжык
770,zuerst::ADV,اول,наперво
771,zuerst::ADV,ابتداء,наперво
772,einmal::ADV,یکدفعه,ӧтпыр
773,manchmal::ADV,گاهی,мукӧдпыр
774,manchmal::ADV,بعضی اوقات,мукӧдпыр
