,Concept_ID,be,kk
666,schön::A,прыгожы,сұлу
667,heiß::A,гарачы,ыссы
668,warm::A,цёплы,жылы
669,kalt::A,холадны,аязды
670,kühl::A,халаднаваты,салқын
671,frisch::A,свежы,таза
672,frisch::A,свежы,жаңа
673,feucht::A,вільготны,нам
674,feucht::A,вільготны,дымқылды
675,nass::A,мокры,сулы
676,trocken::A,сухі,құрғақ
677,voll::A,поўны,толы
678,leer::A,пусты,бос
679,offen::A,адкрыты,ашып қойылған
680,offen::A,адчынены,ашып қойылған
681,geschlossen::A,закрыты,жабулы
682,geschlossen::A,зачынены,жабулы
683,sauber::A,чысты,дақсыз
684,sauber::A,чысты,мұнтаздай
685,schmutzig::A,брудны,айғыз
686,schmutzig::A,брудны,сатпақ
687,schmutzig::A,брудны,сатал-сатал
688,roh::A,сыры,шикі
689,reif::A,спелы,піскен
690,lecker::A,смачны,дәмді
691,süß::A,салодкі,тәтті
692,bitter::A,горкі,ащы
693,sauer::A,кіслы,қышқыл
694,hell::A,светлы,жарық
695,hell::A,светлы,жарқын
696,dunkel::A,цёмны,қараңғы
697,schwarz::A,чорны,қара
698,weiß::A,белы,ақ
699,rot::A,чырвоны,қызыл
700,gelb::A,жоўты,сары
701,blau::A,сіні,көк
702,grün::A,зялёны,жасыл
703,grau::A,шэры,бозамық
704,bunt::A,пяресты,алабажак
705,billig::A,танны,арзан
706,teuer::A,дарагі,бағалы
707,wertvoll::A,цэнны,құнды
708,wertvoll::A,цэнны,қымбат
709,wertvoll::A,каштоўны,құнды
710,wertvoll::A,каштоўны,қымбат
711,blind::A,сляпы,көзсіз
712,blind::A,сляпы,көр
713,blind::A,сляпы,көр_соқыр
714,taub::A,глухі,керең
715,taub::A,глухі,саңырау
716,kräftig::A,магутны,қуатты
717,kräftig::A,магутны,қарымды
718,stark::A,сільны,білекті
719,schwach::A,слабы,әлсіз
720,schwach::A,слабы,күшсіз
721,schwach::A,слабы,қайратсыз
722,fett::A,тлусты,семіз
723,schlank::A,стройны,ашаң
724,hübsch::A,чароўны,ажарлы
725,hübsch::A,чароўны,шырайлы
726,böse::A,злы,өш
727,böse::A,злы,сұм
728,böse::A,злы,жауыз
729,dumm::A,дурны,көкми
730,dumm::A,дурны,ақымақ
731,dumm::A,дурны,миы жоқ
732,faul::A,лянівы,жалқау
733,faul::A,лянівы,еріншек
734,fleißig::A,руплівы,ұқыпты
735,geizig::A,прагны,сараң
736,klug::A,разумны,жетік
737,klug::A,разумны,ақылды
738,geschickt::A,умелы,шебер
739,lieb::A,мілы,абзал
740,lieb::A,мілы,айналайын
741,lustig::A,вясёлы,көңілді
742,sanft::A,ласкавы,жуас
743,hungrig::A,галодны,аш
744,krank::A,хворы,кеселді
745,nackt::A,голы,жалаңаш
746,traurig::A,сумны,қапа
747,lebendig::A,жывы,тірі
748,lebendig::A,жывы,жанды
749,gut::A,добры,жақсы
750,schlecht::A,кепскі,жаман
751,richtig::A,правільны,дұрыс
752,schlimm::A,агідны,жаман
753,wahr::A,сапраўдны,нағыз
754,alt::A,стары,ескі
755,neu::A,новы,жаңа
756,ehemalig::A,былы,өткен
757,ehemalig::A,былы,бұрынғы
758,alt[Lebewesen]::A,стары,кексе
759,jung::A,малады,науша
760,arm::A,бедны,кедей
761,arm::A,бедны,дәулетсіз
762,reich::A,багаты,малды
763,bekannt::A,знаёмы,таныс
764,bekannt::A,знаёмы,көзтаныс
765,berühmt::A,славуты,атақты
766,fremd::A,чужы,бөтен
767,verschieden::A,розны,түрлі
768,nah::A,блізкі,жуық
769,nah::A,блізкі,етене
770,fern::A,далёкі,алыс
771,fern::A,далёкі,алыстағы
772,linker::A,левы,сол
773,linker::A,левы,солшыл
774,rechter::A,правы,оң
775,anderer::A,іншы,өзге
776,anderer::A,іншы,былайғы
777,anderer::A,другі,өзге
778,anderer::A,другі,былайғы
779,erster::A,першы,алғашқы
780,zweiter::A,другі,екінші
781,dritter::A,трэці,үшінші
782,letzter::A,апошні,артқы
783,letzter::A,апошні,кейінгі
784,allein::ADV,сам,серіксіз
785,allein::ADV,адзін,серіксіз
786,auf einmal::ADV,адразу,бірден
787,zusammen::ADV,разам,бірлесіп
788,lange::ADV,доўга,ұзақ
789,plötzlich::ADV,раптам,кенет
790,sofort::ADV,зараз,әне-міне дегенше
791,später::ADV,пазней,артынан
792,jetzt::ADV,цяпер,енді
793,jetzt::ADV,цяпер,қазір
794,heute::ADV,сёння,бүгін
795,morgen::ADV,заўтра,ертең
796,bald::ADV,хутка,тез
797,bald::ADV,неўзабаве,тез
