,Concept_ID,ru,bn
645,nicht::ADV,не,না
646,ein wenig::ADV,немного,অল্প
647,kaum::ADV,едва,কষ্টসহকাবে
648,sehr::ADV,очень,খুব
649,so::ADV,так,তত
650,noch::ADV,еще,এখন পর্যস্ত
651,nur::ADV,только,শুধু
652,schon::ADV,уже,ইতঃপুর্বে
653,wieder::ADV,опять,আবার
654,vergebens::ADV,напрасно,বিফলে
655,vor::PRP,перед,সম্মুখে
656,hinter::PRP,за,পশ্চাতে
657,hinter::PRP,позади,পশ্চাতে
658,unter::PRP,под,নীচে
659,durch::PRP,сквозь,দ্বারা
660,neben::PRP,возле,কাছে
661,zwischen::PRP,между,মধ্যে
662,wegen::PRP,из-за,জন্য
663,dies::PRN,это,এটা
664,das::PRN,то,ওটা
665,alles::PRN,все,সব
666,ich::PRN,я,আমি
667,du::PRN,ты,তুমি
668,er::PRN,он,উনি
669,wir::PRN,мы,আমরা
670,ihr::PRN,вы,তোমরা
671,sie::PRN,они,তারা
672,was::FPRN,что,কি
673,wer::FPRN,кто,কে
674,wo::FADV,где,কোথায়
675,wohin::FADV,куда,কোথায়
676,wie::FADV,как,কেমন
677,warum::FADV,почему,কেন
678,wieviel::FNUM,сколько,কত
679,eins::NUM,один,অক
680,zwei::NUM,два,দুই
681,drei::NUM,три,তিন
682,vier::NUM,четыре,চার
683,fünf::NUM,пять,পাঁচ
684,sechs::NUM,шесть,ছয়
685,sieben::NUM,семь,সাত
686,acht::NUM,восемь,আট
687,neun::NUM,девять,নয়
688,zehn::NUM,десять,দশ
689,elf::NUM,одиннадцать,এগারো
690,zwölf::NUM,двенадцать,দ্বাদশ
691,zwanzig::NUM,двадцать,বিশ
692,dreißig::NUM,тридцать,ত্রিশ
693,vierzig::NUM,сорок,চল্লিশ
694,fünfzig::NUM,пятьдесят,পঞ্চাশ
695,sechzig::NUM,шестьдесят,ষাট
696,siebzig::NUM,семьдесят,সত্তর
697,achtzig::NUM,восемьдесят,আশি
698,neunzig::NUM,девяносто,নব্বুই
699,hundert::NUM,сто,শত
700,tausend::NUM,тысяча,হাজার
701,und::CNJ,и,আর
702,und::CNJ,и,এবং
703,oder::CNJ,или,বা
704,oder::CNJ,либо,বা
705,stehen::V,стоять,দাঁড়ানো
706,sitzen::V,сидеть,বসা
707,liegen::V,лежать,শোয়া
708,hängen::V,висеть,ঝোলা
709,werden::V,стать,হইয়া উঠা
710,passieren::V,случиться,ঘটা
711,beginnen::V,начаться,আরম্ভ হওয়া
712,enden::V,кончиться,শেষ হওয়া
713,wechseln::V,меняться,রূপাস্তর করা
714,aufgehen[Sonne]::V,взойти,উদিত হওয়া
715,untergehen[Sonne]::V,зайти,অস্ত যাওয়া
716,scheinen[Sonne]::V,светить,আলো দেওয়া
717,donnern::V,греметь,বজ্রধ্বনি করা
718,wehen::V,дуть,প্রবাহিত হওয়া
719,strömen::V,литься,প্রবাহিত হওয়া
720,fließen::V,течь,ছুটা
721,sich drehen::V,вращаться,পাক খাওয়া
722,schwanken::V,колебаться,দোলা
723,schwingen::V,качаться,দোলা
724,fallen::V,падать,পড়া
725,brennen::V,гореть,সেঁকা
726,rauchen::V,дымить,ধোঁয়া ছড়ান
