,Concept_ID,nl,hi
841,Jahr::N,jaar,बरस
842,Jahr::N,jaar,वर्ष
843,Frühling::N,lente,वसंत
844,Frühling::N,voorjaar,वसंत
845,Sommer::N,zomer,गरमी
846,Sommer::N,zomer,ग्रीष्म
847,Herbst::N,herfst,शरत्
848,Herbst::N,herfst,पतझड़
849,Winter::N,winter,जाड़ा
850,Winter::N,winter,सर्दियाँ
851,Januar::N,januari,जनवरी
852,Februar::N,februari,फ़रवरी
853,März::N,maart,मार्च
854,April::N,april,अप्रैल
855,Mai::N,mei,मई
856,Juni::N,juni,जून
857,Juli::N,juli,जुलाई
858,August::N,augustus,अगस्त
859,September::N,september,सितंबर
860,Oktober::N,oktober,अक्तूबर
861,November::N,november,नवंबर
862,Dezember::N,december,दिसंबर
863,Montag::N,maandag,पीर
864,Montag::N,maandag,सोमवार
865,Dienstag::N,dinsdag,मंगलवार
866,Mittwoch::N,woensdag,बुधवार
867,Donnerstag::N,donderdag,गुरुवार
868,Donnerstag::N,donderdag,बृहस्पतिवार
869,Freitag::N,vrijdag,शुक्रवार
870,Samstag::N,zaterdag,सनीचर
871,Samstag::N,zaterdag,शनिवार
872,Sonntag::N,zondag,इतवार
873,Sonntag::N,zondag,रविवार
874,groß::A,groot,बड़ा
875,klein::A,klein,कम
876,klein::A,klein,छोटा
877,lang::A,lang,लंबा
878,lang::A,lang,दीर्घ
879,kurz::A,kort,लधु
880,kurz::A,kort,छोटा
881,breit::A,breed,चौड़ा
882,schmal::A,smal,तंग
883,schmal::A,smal,सँकरा
884,dicht::A,dicht,सघन
885,dick[Gegenstand]::A,dik,मोटा
886,dünn::A,dun,महीन
887,dünn::A,dun,बारीक
888,fein::A,fijn,कोमल
889,fein::A,fijn,सूक्ष्म
890,fest::A,vast,दृढ़
891,fest::A,vast,मज़बूत
892,flach::A,plat,चपटा
893,glatt::A,glad,चौरस
894,glatt::A,glad,चिकना
895,hart::A,hard,कठोर
896,hart::A,hard,सख़्त
897,weich::A,week,नरम
898,weich::A,week,मुलायम
899,rund::A,rond,गोल
900,rund::A,rond,वर्तुल
901,spitz::A,spits,नुकीला
902,spitz::A,puntig,नुकीला
903,scharf::A,scherp,पैना
904,stumpf::A,stomp,भोथरा
905,schwer::A,zwaar,भारी
906,schwer::A,zwaar,वज़नी
907,schön::A,mooi,सुंदर
908,schön::A,fraai,सुंदर
909,heiß::A,heet,उष्ण
910,warm::A,warm,गरम
911,kalt::A,koud,सर्द
912,kühl::A,koel,ठंडा
913,frisch::A,fris,तर
914,frisch::A,fris,ताज़ा
915,feucht::A,vochtig,नम
916,feucht::A,vochtig,भीगा
917,nass::A,nat,गीला
918,trocken::A,droog,सूखा
919,trocken::A,droog,ख़ुश्क
920,voll::A,vol,भरा
921,voll::A,vol,पूरा
922,leer::A,leeg,ख़ाली
923,offen::A,open,खुला
924,geschlossen::A,gesloten,बंद
925,sauber::A,net,साफ़
926,sauber::A,net,सुथरा
927,sauber::A,schoon,साफ़
928,sauber::A,schoon,सुथरा
929,schmutzig::A,vuil,गंदा
930,roh::A,rauw,कच्चा
931,reif::A,rijp,पक्व
932,reif::A,rijp,पक्का
933,lecker::A,lekker,मज़ेदार
934,lecker::A,lekker,स्वादिष्ट
935,süß::A,zoet,मीठा
936,bitter::A,bitter,कटु
937,bitter::A,bitter,कड़वा
938,sauer::A,zuur,खट्टा
939,hell::A,licht,रोशन
940,hell::A,helder,रोशन
941,dunkel::A,donker,अँधेरा
942,schwarz::A,zwart,काला
943,schwarz::A,zwart,स्याह
944,weiß::A,wit,सफ़ेद
945,rot::A,rood,लाल
946,rot::A,rood,सुर्ख़
947,gelb::A,geel,पीला
948,gelb::A,geel,ज़र्द
949,blau::A,blauw,नीला
950,blau::A,blauw,आसमानी
951,grün::A,groen,हरा
952,grau::A,grijs,धूसर
953,bunt::A,bont,रंगीन
954,bunt::A,bont,बहुरंगा
955,billig::A,goedkoop,सस्ता
956,teuer::A,duur,महँगा
957,wertvoll::A,kostbaar,क़ीमती
958,wertvoll::A,kostbaar,मूल्यवान्
959,wertvoll::A,waardevol,क़ीमती
960,wertvoll::A,waardevol,मूल्यवान्
961,blind::A,blind,अंधा
962,taub::A,doof,बहरा
963,kräftig::A,krachtig,ताक़तवर
964,kräftig::A,krachtig,शक्तिशाली
965,stark::A,sterk,प्रबल
966,stark::A,sterk,बलवान्
967,schwach::A,zwak,कमज़ोर
968,fett::A,vet,मोटा
969,fett::A,vet,मांसल
970,schlank::A,slank,पतला
971,schlank::A,slank,छरहरा
972,hübsch::A,leuk,सुंदर
973,hübsch::A,leuk,ख़ूबसूरत
974,böse::A,kwaad,पापी
975,böse::A,kwaad,दुष्ट
976,dumm::A,dom,मूर्ख
977,dumm::A,dom,बुद्धू
978,faul::A,lui,आलसी
979,faul::A,lui,सुस्त
980,fleißig::A,vlijtig,मेहनती
981,fleißig::A,vlijtig,परिश्रमी
982,geizig::A,gierig,कृपण
983,geizig::A,gierig,कंजूस
984,klug::A,slim,समझदार
985,klug::A,slim,होशियार
986,klug::A,slim,अक़्लमंद
987,klug::A,schrander,समझदार
988,klug::A,schrander,होशियार
989,klug::A,schrander,अक़्लमंद
990,klug::A,verstandig,समझदार
991,klug::A,verstandig,होशियार
992,klug::A,verstandig,अक़्लमंद
993,geschickt::A,handig,किशल
994,geschickt::A,vaardig,किशल
995,lieb::A,lief,प्रिय
996,lieb::A,lief,प्यारा
997,lustig::A,vrolijk,हँसमुख
998,lustig::A,vrolijk,ख़ुशदिल
999,sanft::A,zacht,नम्र
1000,hungrig::A,hongerig,भूखा
1001,krank::A,ziek,बीमार
1002,krank::A,ziek,अस्वस्थ
1003,nackt::A,naakt,नग्न
1004,traurig::A,treurig,उदास
1005,traurig::A,treurig,रंजीदा
1006,traurig::A,bedroefd,उदास
1007,traurig::A,bedroefd,रंजीदा
1008,lebendig::A,levend,जीता
1009,lebendig::A,levend,ज़िंदा
1010,gut::A,goed,अच्छा
1011,schlecht::A,slecht,बुरा
1012,schlecht::A,slecht,ख़राब
1013,richtig::A,juist,ठीक
1014,schlimm::A,erg,बुरा
1015,schlimm::A,erg,अप्रिय
1016,schlimm::A,kwaad,बुरा
1017,schlimm::A,kwaad,अप्रिय
1018,wahr::A,waar,सच
1019,alt::A,oud,पुराना
1020,neu::A,nieuw,नया
1021,ehemalig::A,voormalig,भूतपूर्व
1022,alt[Lebewesen]::A,oud,बूढ़ा
1023,alt[Lebewesen]::A,oud,वृद्ध
1024,jung::A,jong,जवान
1025,arm::A,arm,ग़रीब
1026,reich::A,rijk,धनी
1027,reich::A,rijk,अमीर
1028,bekannt::A,bekend,मालूम
1029,berühmt::A,beroemd,मशहूर
1030,berühmt::A,beroemd,प्रसिद्ध
1031,fremd::A,vreemd,विदेशी
1032,fremd::A,vreemd,अपरिचित
1033,verschieden::A,verscheiden,अलग
1034,verschieden::A,verscheiden,भिन्न
1035,verschieden::A,verschillend,अलग
1036,verschieden::A,verschillend,भिन्न
1037,nah::A,nabij,नज़दीकी
1038,nah::A,nabijgelegen,नज़दीकी
1039,fern::A,ver,दूर
1040,fern::A,ver,दूरस्थ
1041,linker::A,linker,बायाँ
1042,rechter::A,rechter,दायाँ
1043,rechter::A,rechter,दाहिना
1044,anderer::A,andere,अन्य
1045,anderer::A,andere,दूसरा
1046,erster::A,eerste,पहला
1047,erster::A,eerste,प्रथम
1048,zweiter::A,tweede,दूसरा
1049,zweiter::A,tweede,द्वितीय
1050,dritter::A,derde,तीसरा
1051,letzter::A,laatste,अंतिम
1052,letzter::A,laatste,आख़िरी
1053,allein::ADV,alleen,तनहा
1054,allein::ADV,alleen,अकेले
1055,auf einmal::ADV,ineens,वक़्त में
1056,auf einmal::ADV,tegelijk,वक़्त में
1057,zusammen::ADV,samen,एक साथ
1058,zusammen::ADV,samen,साथ साथ
1059,zusammen::ADV,bijeen,एक साथ
1060,zusammen::ADV,bijeen,साथ साथ
1061,lange::ADV,lang,देर तक
1062,plötzlich::ADV,eensklaps,सहसा
1063,plötzlich::ADV,eensklaps,अचानक
1064,plötzlich::ADV,plotsklaps,सहसा
1065,plötzlich::ADV,plotsklaps,अचानक
1066,sofort::ADV,terstond,तुरंत
1067,sofort::ADV,aanstonds,तुरंत
1068,sofort::ADV,onmiddelijk,तुरंत
1069,später::ADV,later,बाद को
1070,später::ADV,later,बाद में
1071,jetzt::ADV,nu,अब
1072,jetzt::ADV,nu,अभी
1073,jetzt::ADV,nou,अब
1074,jetzt::ADV,nou,अभी
1075,jetzt::ADV,thans,अब
1076,jetzt::ADV,thans,अभी
1077,heute::ADV,heden,आज
1078,heute::ADV,vandaag,आज
1079,morgen::ADV,morgen,कल
1080,bald::ADV,gauw,जल्दी
1081,bald::ADV,weldra,जल्दी
1082,dann::ADV,dan,तब
1083,dann::ADV,toen,तब
1084,gestern::ADV,gisteren,कल
1085,einst::ADV,eens,एक दिन
1086,einst::ADV,eens,पहले कभी
1087,damals::ADV,toen,उस समय
1088,damals::ADV,toen,उन दिनों
1089,damals::ADV,destijds,उस समय
1090,damals::ADV,destijds,उन दिनों
1091,danach::ADV,daarna,इसके बाद
1092,danach::ADV,daarna,इसके पश्चात्
1093,vorher::ADV,vooraf,पहले
1094,vorher::ADV,vooraf,पेशतर
1095,vorher::ADV,van tevoren,पहले
1096,vorher::ADV,van tevoren,पेशतर
1097,zuerst::ADV,eerst,पहले
1098,zuerst::ADV,het eerst,पहले
1099,einmal::ADV,eens,एक बार
1100,einmal::ADV,eens,एक दफ़ा
1101,einmal::ADV,eenmaal,एक बार
