,Concept_ID,is,uk
517,Staat::N,ríki,держава
518,König::N,konungur,король
519,Macht::N,vald,влада
520,Grenze::N,landamæri,кордон
521,Krieg::N,stríð,війна
522,Feind::N,fjandmaður,ворог
523,Gewalt::N,ofbeldi,насильство
524,Kampf::N,bardagi,бій
525,Kampf::N,bardagi,боротьба
526,Bogen[Waffe]::N,bogi,лук
527,Pfeil::N,ör,стріла
528,Gewehr::N,byssa,рушниця
529,Gewehr::N,byssa,гвинтівка
530,Fehler::N,villa,помилка
531,Lüge::N,lygi,брехня
532,Schaden::N,skemmd,шкода
533,Schaden::N,skemmd,збиток
534,Unglück::N,óhamingja,нещастя
535,Schuld::N,sök,провина
536,Alter::N,aldur,вік
537,Alter::N,aldur,літа
538,Schluss::N,lok,кінець
539,Schluss::N,endir,кінець
540,Zeit::N,tími,час
541,Tag::N,dagur,день
542,Morgen::N,morgunn,ранок
543,Mittag::N,hádegi,південь
544,Abend::N,kvöld,вечір
545,Nacht::N,nótt,ніч
546,Woche::N,vika,тиждень
547,Monat::N,mánuður,місяць
548,Jahr::N,ár,рік
549,Frühling::N,vor,весна
550,Sommer::N,sumar,літо
551,Herbst::N,haust,осінь
552,Winter::N,vetur,зима
553,Januar::N,janúar,січень
554,Februar::N,február,лютий
555,März::N,mars,березень
556,April::N,apríl,квітень
557,Mai::N,maí,травень
558,Juni::N,júní,червень
559,Juli::N,júlí,липень
560,August::N,ágúst,серпень
561,September::N,september,вересень
562,Oktober::N,október,жовтень
563,November::N,nóvember,листопад
564,Dezember::N,desember,грудень
565,Montag::N,mánudagur,понеділок
566,Dienstag::N,þriðjudagur,вівторок
567,Mittwoch::N,miðvikudagur,середа
568,Donnerstag::N,fimmtudagur,четвер
569,Freitag::N,föstudagur,п’ятниця
570,Samstag::N,laugardagur,субота
571,Sonntag::N,sunnudagur,неділя
572,groß::A,stór,великий
573,klein::A,lítill,малий
574,klein::A,lítill,маленький
575,lang::A,langur,довгий
576,kurz::A,stuttur,короткий
577,breit::A,breiður,широкий
578,schmal::A,mjór,вузький
579,dicht::A,þéttur,густий
580,dick[Gegenstand]::A,þykkur,товстий
581,dünn::A,þunnur,тонкий
582,fein::A,fíngerður,дрібний
583,fest::A,fastur,міцний
584,flach::A,flatur,плоский
585,glatt::A,háll,рівний
586,glatt::A,háll,гладенький
587,glatt::A,sléttur,рівний
588,glatt::A,sléttur,гладенький
589,hart::A,harður,твердий
590,weich::A,mjúkur,м’який
591,rund::A,kringlóttur,круглий
592,spitz::A,oddhvass,гострокінцевий
593,scharf::A,beittur,гострий
594,stumpf::A,bitlaus,тупий
595,schwer::A,þungur,важкий
596,schön::A,fagur,вродливий
597,schön::A,fallegur,вродливий
598,heiß::A,heitur,жаркий
599,heiß::A,heitur,гарячий
600,warm::A,hlýr,теплий
601,warm::A,heitur,теплий
602,kalt::A,kaldur,холодний
603,kühl::A,svalur,прохолодний
604,frisch::A,frískur,свіжий
605,feucht::A,rakur,вогкий
606,feucht::A,þvalur,вогкий
607,nass::A,votur,мокрий
608,nass::A,blautur,мокрий
609,trocken::A,þurr,сухий
610,voll::A,fullur,повний
611,leer::A,tómur,пустий
612,offen::A,opinn,відкритий
613,geschlossen::A,lokaður,закритий
614,geschlossen::A,lokaður,зачинений
615,sauber::A,þrifinn,чистий
616,sauber::A,þrifinn,охайний
617,schmutzig::A,óhreinn,брудний
618,schmutzig::A,sóðalegur,брудний
619,roh::A,hrár,сирий
620,reif::A,þroskaður,зрілий
621,lecker::A,ljúffengur,смачний
622,süß::A,sætur,солодкий
623,bitter::A,beiskur,гіркий
624,sauer::A,súr,кислий
625,hell::A,bjartur,світлий
626,dunkel::A,dimmur,темний
627,schwarz::A,svartur,чорний
628,weiß::A,hvítur,сивий
629,rot::A,rauður,червоний
630,gelb::A,gulur,жовтий
631,blau::A,blár,синій
632,grün::A,grænn,зелений
633,grau::A,grár,сірий
634,bunt::A,marglitur,барвистий
635,billig::A,ódýr,дешевий
636,teuer::A,dýr,дорогий
637,wertvoll::A,verðmætur,цінний
638,blind::A,blindur,сліпий
639,taub::A,heyrnarlaus,глухий
640,kräftig::A,öflugur,могутній
641,stark::A,sterkur,сильний
642,schwach::A,veill,слабкий
643,fett::A,feitur,жирний
644,fett::A,feitur,товстий
645,schlank::A,grannur,тонкий
646,schlank::A,grannur,стрункий
647,schlank::A,spengilegur,тонкий
648,schlank::A,spengilegur,стрункий
649,hübsch::A,snotur,чарівний
650,hübsch::A,laglegur,чарівний
651,böse::A,illur,злий
652,böse::A,illur,лихий
653,böse::A,vondur,злий
654,böse::A,vondur,лихий
655,dumm::A,heimskur,дурний
656,faul::A,latur,ледачий
657,fleißig::A,iðinn,старанний
658,geizig::A,nískur,скупий
659,klug::A,hygginn,мудрий
660,klug::A,hygginn,розумний
661,geschickt::A,fimur,умілий
662,geschickt::A,laginn,умілий
663,lieb::A,kær,милий
664,lieb::A,ljúfur,милий
665,lustig::A,kátur,веселий
666,sanft::A,blíður,лагідний
667,hungrig::A,soltinn,голодний
668,hungrig::A,hungraður,голодний
669,krank::A,sjúkur,слабий
670,nackt::A,nakinn,голий
671,traurig::A,dapur,сумний
672,traurig::A,hryggur,сумний
673,lebendig::A,lifandi,живий
674,gut::A,góður,добрий
675,schlecht::A,slæmur,поганий
676,schlecht::A,slæmur,кепський
677,schlecht::A,lélegur,поганий
678,schlecht::A,lélegur,кепський
679,richtig::A,réttur,правильний
680,schlimm::A,slæmur,бридкий
681,wahr::A,sannur,справжній
682,alt::A,gamall,старий
683,neu::A,nýr,новий
684,ehemalig::A,fyrrverandi,колишній
685,alt[Lebewesen]::A,gamall,старий
686,jung::A,ungur,молодий
687,arm::A,vesall,бідний
688,arm::A,fátækur,бідний
689,reich::A,ríkur,багатий
690,reich::A,auðugur,багатий
691,bekannt::A,kunnugur,знайомий
692,berühmt::A,frægur,славетний
693,fremd::A,framandi,чужий
694,fremd::A,ókunnugur,чужий
695,verschieden::A,ýmis,різний
696,nah::A,nálægur,близький
697,fern::A,fjarri,далекий
698,fern::A,fjarlægur,далекий
699,linker::A,vinstri,лівий
700,rechter::A,hægri,правий
701,anderer::A,annar,інакший
702,erster::A,fyrsti,перший
703,zweiter::A,annar,другий
704,dritter::A,þriðji,третій
705,letzter::A,síðasti,останній
706,allein::ADV,einn,сам
707,allein::ADV,einn,один
708,allein::ADV,aleinn,сам
709,allein::ADV,aleinn,один
