,Concept_ID,lt,la
1346,kehren::V,šluoti,purgare
1347,baden::V,maudytis,lavari
1348,sich waschen::V,praustis,lavari
1349,ausziehen::V,numauti,exuere
1350,ausziehen::V,nuvilkti,exuere
1351,anziehen::V,mauti,induere
1352,anziehen::V,apsivilkti,induere
1353,sich anziehen::V,rengtis,vestiri
1354,sich anziehen::V,apsirengti,vestiri
1355,kämmen::V,šukuoti,pectere
1356,schmücken::V,puošti,ornare
1357,schmücken::V,puošti,decorare
1358,schmücken::V,dabinti,ornare
1359,schmücken::V,dabinti,decorare
1360,schmücken::V,gražinti,ornare
1361,schmücken::V,gražinti,decorare
1362,sagen::V,tarti,dicere
1363,sprechen::V,kalbėti,fari
1364,reden::V,šnekėti,loqui
1365,sich unterhalten::V,kalbėtis,colloqui
1366,sich unterhalten::V,kalbėtis,disputare
1367,sich unterhalten::V,šnekučiuotis,colloqui
1368,sich unterhalten::V,šnekučiuotis,disputare
1369,fragen::V,klausti,rogare
1370,fragen::V,klausti,quaerere
1371,bitten::V,prašyti,orare
1372,bitten::V,prašyti,rogare
1373,erzählen::V,pasakoti,narrare
1374,mitteilen::V,skelbti,communicare
1375,mitteilen::V,pranešti,communicare
1376,nennen::V,vadinti,appellare
1377,nennen::V,vardyti,appellare
1378,rufen::V,šaukti,vocare
1379,rufen::V,kviesti,vocare
1380,prahlen::V,girtis,gloriari
1381,übersetzen::V,versti,vertere
1382,übersetzen::V,išversti,vertere
1383,denken::V,galvoti,cogitare
1384,glauben::V,manyti,credere
1385,glauben::V,tikėti,credere
1386,bemerken::V,pamatyti,animadvertere
1387,bemerken::V,pastebėti,animadvertere
1388,erkennen::V,pažinti,cognoscere
1389,erkennen::V,atpažinti,cognoscere
1390,begreifen::V,suvokti,comprehendere
1391,verstehen::V,suprasti,intellegere
1392,lernen::V,mokytis,discere
1393,wissen::V,žinoti,scire
1394,sich erinnern an::V,prisiminti,meminisse
1395,vergessen::V,užmiršti,oblivisci
1396,messen::V,matuoti,metiri
1397,zählen::V,skaičiuoti,numerare
1398,rechnen::V,skaičiuoti,reri
1399,rechnen::V,skaičiuoti,calculare
1400,lesen::V,skaityti,legere
1401,malen::V,tapyti,pingere
1402,zeichnen::V,piešti,scribere
1403,zeichnen::V,žymėti,scribere
1404,zeichnen::V,braižyti,scribere
1405,schreiben::V,rašyti,scribere
1406,besitzen::V,turėti,possidere
1407,kaufen::V,pirkti,emere
1408,verkaufen::V,parduoti,vendere
1409,bezahlen::V,apmokėti,pendere
1410,zahlen::V,mokėti,solvere
1411,beherrschen::V,valdyti,regere
1412,beherrschen::V,valdyti,imperare
1413,ertragen::V,kę̃sti,tolerare
1414,ertragen::V,kę̃sti,sustinere
1415,ertragen::V,pakelti,tolerare
1416,ertragen::V,pakelti,sustinere
1417,ertragen::V,iškę̃sti,tolerare
1418,ertragen::V,iškę̃sti,sustinere
