,Concept_ID,he,tt
710,hierhin::ADV,פה,монда
711,von hier::ADV,מפה,моннан
712,dort::ADV,שם,анда
713,dorthin::ADV,שם,тегеләй
714,geradeaus::ADV,ישר,турыдан-туры
715,vorwärts::ADV,קדימה,алга
716,rückwärts::ADV,לאחור,кире
717,zurück::ADV,בחזרה,кире
718,zurück::ADV,אחורנית,кире
719,unten::ADV,למטה,түбәндә
720,hinab::ADV,למטה,аска
721,oben::ADV,מעל,өстә
722,oben::ADV,מעל,югарыда
723,oben::ADV,למעלה,өстә
724,oben::ADV,למעלה,югарыда
725,hinauf::ADV,למעלה,өскә
726,überall::ADV,בכל מקום,hәркайда
727,nicht::ADV,לא,түгел
728,ein wenig::ADV,קצת,бераз
729,kaum::ADV,בקשי,көчкә
730,sehr::ADV,מאוד,бик
731,so::ADV,כך,алай
732,so::ADV,ככה,алай
733,noch::ADV,עוד,янә
734,noch::ADV,עוד,тагын
735,noch::ADV,עדין,янә
736,noch::ADV,עדין,тагын
737,nur::ADV,רק,фәкать
738,schon::ADV,כבר,инде
739,wieder::ADV,שוב,янә
740,wieder::ADV,שוב,тагын
741,vergebens::ADV,לריק,юкка
742,vergebens::ADV,לשוא,юкка
743,vor::PRP,מול,алдыннан
744,hinter::PRP,מאחורי,арттан
745,unter::PRP,מתחת,астында
746,durch::PRP,דרך,аша
747,neben::PRP,ליד,тирәсендә
748,neben::PRP,על-יד,тирәсендә
749,zwischen::PRP,בין,арасында
750,wegen::PRP,בשל,сәбәпле
751,wegen::PRP,בגלל,сәбәпле
752,dies::PRN,זה,бу
753,das::PRN,זה,ул
754,alles::PRN,הכל,һәммә
755,ich::PRN,אני,мин
756,du::PRN,את,син
757,du::PRN,אתה,син
758,er::PRN,הוא,ул
759,wir::PRN,אנחנו,без
760,ihr::PRN,לה,сез
761,sie::PRN,הם,ул
762,was::FPRN,מה,ни
763,was::FPRN,מה,нәрсә
764,wer::FPRN,מי,кем
765,wo::FADV,איפה,кайда
766,wohin::FADV,לאן,кая
767,wie::FADV,איך,ничек
768,warum::FADV,למה,нигә
769,wieviel::FNUM,כמה,ничә
770,eins::NUM,אחד,бер
771,zwei::NUM,שתים,ике
772,drei::NUM,שלושה,өч
773,vier::NUM,ארבעה,дүрт
774,fünf::NUM,חמשה,биш
775,sechs::NUM,ששה,алты
776,sieben::NUM,שבעה,җиде
777,acht::NUM,שמונה,сигез
778,neun::NUM,תשעה,тугыз
779,zehn::NUM,עשרה,ун
780,elf::NUM,אחת עשרה,унбер
781,zwölf::NUM,שתים עשרה,унике
782,zwanzig::NUM,עשרים,егерме
783,dreißig::NUM,שלושים,утыз
784,vierzig::NUM,ארבעים,кырык
785,fünfzig::NUM,חמשים,илле
786,sechzig::NUM,ששים,алтмыш
787,siebzig::NUM,שבעים,җитмеш
788,achtzig::NUM,שמונים,сиксән
789,neunzig::NUM,תשעים,туксан
790,hundert::NUM,מאה,йөз
791,tausend::NUM,אלף,мең
792,und::CNJ,ו,вә
793,oder::CNJ,או,яки
794,oder::CNJ,או,яисә
795,stehen::V,עמד,тору
796,sitzen::V,ישב,утыру
797,liegen::V,שכב,яту
798,hängen::V,היה תלוי,эленү
799,werden::V,הפך ל,булу
