,Concept_ID,cy,xal
531,Laden::N,siop,лавк
532,Preis::N,pris,үн
533,Ware::N,nwydd,эд-тавр
534,Nutzen::N,elw,олз
535,Nutzen::N,budd,олз
536,Reichtum::N,cyfoeth,зөөр
537,Welt::N,byd,орчлң
538,Welt::N,byd,делкә
539,Land::N,gwlad,орн-нутг
540,Staat::N,gwladwriaeth,государств
541,König::N,brenin,хан
542,Macht::N,grym,йосн
543,Macht::N,awdurdod,йосн
544,Grenze::N,ffin,меҗә
545,Grenze::N,goror,меҗә
546,Krieg::N,rhyfel,дән
547,Feind::N,gelyn,дәәсн
548,Gewalt::N,ffyrnigrwydd,күч һарһлһн
549,Kampf::N,brwydr,ноолдан
550,Kampf::N,brwydr,бәрлдлһн
551,Bogen[Waffe]::N,bwa,саадг
552,Pfeil::N,saeth,сумн
553,Gewehr::N,dryll,бу
554,Fehler::N,gwall,алдг
555,Fehler::N,camgymeriad,алдг
556,Lüge::N,celwydd,худл
557,Lüge::N,anwiredd,худл
558,Schaden::N,niwed,хорлт
559,Schaden::N,difrod,хорлт
560,Unglück::N,anffawd,гүрм
561,Schuld::N,bai,гем
562,Schuld::N,bai,буру
563,Alter::N,oed,насн
564,Schluss::N,diwedd,чилгч
565,Zeit::N,amser,цаг
566,Tag::N,dydd,өдр
567,Tag::N,diwrnod,өдр
568,Morgen::N,bore,өрүн
569,Mittag::N,nawn,үд
570,Abend::N,noswaith,асхн
571,Nacht::N,nos,сө
572,Woche::N,wythnos,долан хонг
573,Monat::N,mis,сар
574,Jahr::N,blwyddyn,җил
575,Frühling::N,gwanwyn,хавр
576,Sommer::N,haf,зун
577,Herbst::N,hydref,намр
578,Winter::N,gaeaf,үвл
579,Januar::N,Ionawr,январь
580,Februar::N,Chwefror,февраль
581,März::N,Mawrth,март
582,März::N,Mawrth,моһа сар
583,April::N,Ebrill,апрель
584,Mai::N,Mai,май
585,Juni::N,Mehefin,июнь
586,Juni::N,Mehefin,мөчн сар
587,Juli::N,Gorffennaf,июль
588,August::N,Awst,август
589,September::N,Medi,һаха сар
590,Oktober::N,Hydref,октябрь
591,November::N,Tachwedd,ноябрь
592,November::N,Tachwedd,үкр сар
593,Dezember::N,Rhagfyr,бар сар
594,Montag::N,dydd Llun,понедельник
595,Dienstag::N,dydd Mawrth,вторник
596,Mittwoch::N,dydd Mercher,среда
597,Mittwoch::N,dydd Mercher,үлмҗ өдр
598,Donnerstag::N,dydd Iau,четверг
599,Donnerstag::N,dydd Iau,пүрвә өдр
600,Freitag::N,dydd Gwener,пятниц
601,Samstag::N,dydd Sadwrn,суббот
602,Sonntag::N,dydd Sul,нарн өдр
603,Sonntag::N,dydd Sul,воскресень
604,groß::A,mawr,ик
605,klein::A,bach,бичкн
606,lang::A,hir,ут
607,kurz::A,byr,оһтр
608,kurz::A,cwta,оһтр
609,breit::A,llydan,өргн
610,schmal::A,cul,уутьхн
611,dicht::A,dwys,нигт
612,dick[Gegenstand]::A,trwchus,зузан
613,dünn::A,tenau,нимгн
614,fein::A,main,нәрхн
615,fest::A,cadarn,бат
616,flach::A,gwastad,хавтха
617,glatt::A,llyfn,тегш
618,glatt::A,llyfn,тиньгр
619,hart::A,caled,хату
620,weich::A,meddal,җөөлн
621,weich::A,meddal,җөөлкн
622,rund::A,crwn,төгрг
623,spitz::A,pigfain,шовһр
624,scharf::A,miniog,хурц
625,stumpf::A,pŵl,мука
626,schwer::A,trwm,күнд
627,schön::A,teg,сәәхн
628,schön::A,hardd,сәәхн
629,schön::A,prydferth,сәәхн
630,heiß::A,poeth,халун
631,warm::A,twym,дулан
632,warm::A,cynnes,дулан
633,kalt::A,oer,киитн
634,kühl::A,oeraidd,серүн
635,frisch::A,iach,серүн
636,feucht::A,llaith,чиигтә
637,nass::A,gwlyb,чиигтә
638,trocken::A,sych,хагсу
639,voll::A,llawn,дүүрң
640,leer::A,gwag,сул
641,leer::A,gwag,хоосн
642,offen::A,agored,секәтә
643,geschlossen::A,caead,хаалһата
644,geschlossen::A,caeëdig,хаалһата
645,sauber::A,glân,цевр
646,schmutzig::A,budr,киртә
647,schmutzig::A,brwnt,киртә
648,roh::A,amrwd,түүкә
649,reif::A,aeddfed,болсн
650,lecker::A,blasus,әмтәхн
651,lecker::A,danteithiol,әмтәхн
652,süß::A,melys,әмтәхн
653,bitter::A,chwerw,һашун
654,bitter::A,chwerw,һашута
655,sauer::A,sur,ишклң
656,hell::A,disglair,герлтә
657,dunkel::A,tywyll,харңһу
658,schwarz::A,du,хар
659,weiß::A,gwyn,цаһан
660,rot::A,coch,улан
661,gelb::A,melyn,шар
662,blau::A,glas,көк
663,grün::A,gwyrdd,көк
664,grau::A,llwyd,бор
665,bunt::A,lliwgar,алг
666,bunt::A,lliwgar,эрәтә
667,billig::A,rhad,кимд
668,teuer::A,drud,үнтә
669,wertvoll::A,gwerthfawr,үнтә
670,wertvoll::A,gwerthfawr,эрднь
671,blind::A,dall,сохр
672,taub::A,byddar,дүлә
673,kräftig::A,nerthol,күчтә
674,kräftig::A,grymus,күчтә
675,stark::A,cryf,чаңһ
676,stark::A,cadarn,чаңһ
677,schwach::A,gwan,күчн тату
678,fett::A,tew,тарһн
679,schlank::A,main,эццн
680,hübsch::A,tlws,көркхн
681,böse::A,drwg,уурта
682,dumm::A,twp,тенг
683,faul::A,diog,залху
684,fleißig::A,dyfal,кинән
685,fleißig::A,dyfal,кинмһә
686,geizig::A,crintach,ховдг
687,geizig::A,cybyddlyd,ховдг
688,klug::A,deallus,ухата
689,geschickt::A,medrus,чадмг
690,geschickt::A,deheuig,чадмг
691,lieb::A,hoff,эңкр
692,lieb::A,annwyl,эңкр
693,lustig::A,llon,сергмҗтә
694,lustig::A,llon,җирһлтә
695,sanft::A,mwyn,номһн
696,hungrig::A,newynog,өлн
697,hungrig::A,newynog,харһнсн
698,krank::A,sâl,өвчтә
