,Concept_ID,es,sk
801,letzter::A,último,posledný
802,allein::ADV,a solo,sám
803,auf einmal::ADV,de una vez,zároveň
804,zusammen::ADV,juntos,spolu
805,zusammen::ADV,juntos,spoločne
806,lange::ADV,mucho tiempo,dlho
807,plötzlich::ADV,de repente,náhle
808,sofort::ADV,en seguida,hneď
809,sofort::ADV,en seguida,ihneď
810,später::ADV,más tarde,neskoršie
811,jetzt::ADV,ahora,teraz
812,heute::ADV,hoy,dnes
813,morgen::ADV,mañana,zajtra
814,bald::ADV,pronto,skoro
815,bald::ADV,en breve,skoro
816,dann::ADV,luego,nato
817,dann::ADV,luego,potom
818,dann::ADV,entonces,nato
819,dann::ADV,entonces,potom
820,gestern::ADV,ayer,včera
821,einst::ADV,antaño,kedysi
822,einst::ADV,antaño,niekedy
823,damals::ADV,entonces,vtedy
824,danach::ADV,después,potom
825,danach::ADV,después,podľa toho
826,vorher::ADV,antes,napred
827,vorher::ADV,antes,predtým
828,zuerst::ADV,primero,najprv
829,einmal::ADV,una vez,raz
830,einmal::ADV,una vez,jedenkrát
831,manchmal::ADV,a veces,občas
832,manchmal::ADV,a veces,niekedy
833,oft::ADV,a menudo,často
834,oft::ADV,con frecuencia,často
835,immer::ADV,siempre,vždy
836,immer::ADV,siempre,ustavične
837,niemals::ADV,jamás,nikdy
838,hier::ADV,aquí,tu
839,hierhin::ADV,acá,sem
840,hierhin::ADV,acá,tade
841,von hier::ADV,desde aquí,odtiaľto
842,dort::ADV,ahí,tam
843,dort::ADV,allí,tam
844,dorthin::ADV,allí,ta
845,dorthin::ADV,allí,tam
846,dorthin::ADV,hacia allí,ta
847,dorthin::ADV,hacia allí,tam
848,geradeaus::ADV,todo derecho,rovno
849,geradeaus::ADV,todo derecho,priamo
850,vorwärts::ADV,adelante,napred
851,rückwärts::ADV,hacia atrás,nazad
852,zurück::ADV,atrás,späť
853,zurück::ADV,atrás,naspäť
854,unten::ADV,abajo,dolu
855,unten::ADV,abajo,naspodku
856,hinab::ADV,hacia abajo,dolu
857,oben::ADV,arriba,hore
858,oben::ADV,arriba,navrchu
859,hinauf::ADV,hacia arriba,hore
860,hinauf::ADV,hacia arriba,navrch
861,überall::ADV,por todas partes,všade
862,nicht::ADV,no,nie
863,ein wenig::ADV,un poco,trocha
864,kaum::ADV,apenas,ledva
865,sehr::ADV,muy,veľmi
866,sehr::ADV,mucho,veľmi
867,so::ADV,tan,tak
868,so::ADV,tan,takto
869,noch::ADV,aún,ešte
870,noch::ADV,todavía,ešte
871,nur::ADV,solamente,len
872,schon::ADV,ya,už
873,wieder::ADV,de nuevo,zasa
874,vergebens::ADV,en vano,márne
875,vergebens::ADV,en vano,nadarmo
876,vor::PRP,antes de,pred
877,vor::PRP,delante de,pred
878,hinter::PRP,tras,za
879,hinter::PRP,detrás de,za
880,unter::PRP,bajo,pod
881,unter::PRP,debajo de,pod
882,durch::PRP,por,cez
883,durch::PRP,a través de,cez
884,neben::PRP,al lado de,pri
885,neben::PRP,al lado de,vedľa
886,zwischen::PRP,entre,medzi
887,wegen::PRP,por,pre
888,wegen::PRP,por,kvôli
889,wegen::PRP,a causa de,pre
890,wegen::PRP,a causa de,kvôli
891,dies::PRN,esto,to
892,dies::PRN,esto,táto
893,das::PRN,eso,to
894,das::PRN,esto,to
895,alles::PRN,todo,všetko
896,ich::PRN,yo,ja
897,du::PRN,tú,ty
898,er::PRN,él,on
899,wir::PRN,nosotros,my
900,ihr::PRN,vosotros,vy
901,sie::PRN,ellos,oni
902,was::FPRN,qué,čo
903,wer::FPRN,quién,kto
904,wo::FADV,dónde,kde
905,wohin::FADV,adónde,kam
906,wohin::FADV,hacia dónde,kam
907,wie::FADV,cómo,ako
908,warum::FADV,por qué,prečo
909,wieviel::FNUM,cuánto,koľko
910,eins::NUM,uno,jeden
911,zwei::NUM,dos,dva
912,drei::NUM,tres,tri
913,vier::NUM,cuatro,štyri
914,fünf::NUM,cinco,päť
915,sechs::NUM,seis,šesť
916,sieben::NUM,siete,sedem
917,acht::NUM,ocho,osem
918,neun::NUM,nueve,deväť
919,zehn::NUM,diez,desať
920,elf::NUM,once,jedenásť
921,zwölf::NUM,doce,dvanásť
922,zwanzig::NUM,veinte,dvadsať
923,dreißig::NUM,treinta,tridsať
924,vierzig::NUM,cuarenta,štyridsať
925,fünfzig::NUM,cincuenta,päťdesiat
926,sechzig::NUM,sesenta,šesťdesiat
927,siebzig::NUM,setenta,sedemdesiat
928,achtzig::NUM,ochenta,osemdesiat
929,neunzig::NUM,noventa,deväťdesiat
930,hundert::NUM,cien,sto
931,hundert::NUM,ciento,sto
932,tausend::NUM,mil,tisíc
933,und::CNJ,y,i
934,oder::CNJ,o,alebo
935,stehen::V,estar de pie,stáť
936,sitzen::V,estar sentado,sedieť
937,liegen::V,yacer,ležať
938,liegen::V,estar acostado,ležať
939,hängen::V,pender,visieť
940,werden::V,hacerse,stať sa
941,passieren::V,suceder,stať sa
942,beginnen::V,iniciarse,začať sa
943,beginnen::V,principiar,začať sa
944,enden::V,acabar,končiť sa
945,enden::V,terminar,končiť sa
946,wechseln::V,variar,meniť sa
947,wechseln::V,alternar,meniť sa
948,aufgehen[Sonne]::V,salir,vychádzať
949,untergehen[Sonne]::V,ponerse,zapadnúť
950,untergehen[Sonne]::V,descender,zapadnúť
951,scheinen[Sonne]::V,brillar,svietiť
952,donnern::V,tronar,hrmieť
953,wehen::V,soplar,viať
954,strömen::V,afluir,prúdiť
955,fließen::V,fluir,tiecť
956,fließen::V,correr,tiecť
957,sich drehen::V,girar,točiť sa
958,sich drehen::V,girar,krútiť sa
959,schwanken::V,vacilar,kolísať
960,schwanken::V,vacilar,klátiť sa
961,schwingen::V,oscilar,kývať sa
962,schwingen::V,oscilar,chvieť sa
963,fallen::V,caer,padať
964,brennen::V,arder,páliť
965,brennen::V,arder,horieť
966,brennen::V,quemar,páliť
967,brennen::V,quemar,horieť
968,rauchen::V,humear,dymiť sa
969,rauchen::V,echar humo,dymiť sa
970,regnen::V,llover,pršať
971,gefrieren::V,helarse,zamrznút
972,tauen::V,deshelarse,taviť sa
973,schmelzen::V,fundirse,taviť sa
974,schmelzen::V,derretirse,taviť sa
975,trocknen::V,secarse,schnúť
976,sieden::V,hervir,vrieť
977,faulen::V,pudrirse,hniť
978,verfaulen::V,pudrirse,zhniť
979,reißen::V,romperse,pretrhnúť sa
980,versinken::V,hundirse,zapadnúť
