,Concept_ID,av,lbe
199,Korn::N,мугь,къама
200,Heu::N,хер,ххулув
201,Schale::N,хъал,ккиртту
202,Grube::N,гвенд,кӏаланг
203,Falle::N,къор,къатӏа
204,Falle::N,къотен,къатӏа
205,Schlinge::N,кӏичӏ,хӏатӏ
206,Spur::N,лъалкӏ,ша
207,Asche::N,рахъу,лах
208,Dreck::N,гъиз,кьяркьи
209,Dreck::N,гъиз,венп
210,Dreck::N,хӏарщ,кьяркьи
211,Dreck::N,хӏарщ,венп
212,Eisen::N,махх,мах
213,Gold::N,месед,муси
214,Silber::N,гӏарац,арцу
215,Kohle::N,тӏурччи,кӏалаш
216,Kohle::N,тӏурччи,хъуручӏ
217,Glas::N,цӏер,пюрун
218,Lehm::N,хӏатӏ,сина аьрщи
219,Sand::N,сали,къун
220,Mensch::N,чи,инсан
221,Mann::N,бихьинчи,чув
222,Mann::N,бихьинчи,адимина
223,Frau::N,гӏадан,щарсса
224,Frau::N,гӏадан,хъамитайпа
225,Kind::N,лъимер,чӏиви оьрчӏ
226,Junge::N,вас,оьрчӏ
227,Junge::N,вас,бурхьин оьрчӏ
228,Mädchen::N,яс,душ
229,Familie::N,хъизан,кулпат
230,Großvater::N,кӏудада,ттатта
231,Großvater::N,кӏудада,ниттил ппу
232,Großmutter::N,кӏодо,буттал нину
233,Eltern::N,эбел-эмен,нину-ппу
234,Vater::N,эмен,ппу
235,Mutter::N,эбел,нину
236,Sohn::N,вас,арс
237,Tochter::N,яс,душ
238,Bruder::N,вац,уссу
239,Schwester::N,яц,ссу
240,Onkel::N,даци,буттауссу
241,Tante::N,ада,буттал ссу
242,Ehemann::N,рос,лас
243,Ehefrau::N,чӏужу,щар
244,Ehefrau::N,чӏужу,щарсса
245,Freude::N,ракӏбохи,шадшиву
246,Freude::N,ракӏбохи,ххаришиву
247,Gelächter::N,релъи,хъяхъаву
248,Glück::N,талихӏ,талихӏ
249,Glück::N,талихӏ-рохел,талихӏ
250,Kummer::N,хӏалкъай,дард
251,Wunsch::N,къасд,мурад
252,Lust::N,гъира,гьавас
253,Lust::N,гъира,ччаву
254,Geist::N,чӏанкӏ,рухӏ
255,Geist::N,рухӏ-жан,рухӏ
256,Gedanke::N,пикру,пикри
257,Verstand::N,лумалъи,аькьлу
258,Verstand::N,цӏодорлъи,аькьлу
