,Concept_ID,he,uk
669,gestern::ADV,אתמול,вчора
670,einst::ADV,לפנים,колись
671,damals::ADV,אז,тоді
672,danach::ADV,אחר-כך,згодом
673,vorher::ADV,לפני זה,раніше
674,zuerst::ADV,קדם,спершу
675,zuerst::ADV,קדם,спочатку
676,einmal::ADV,פעם,один раз
677,manchmal::ADV,לפעמים,іноді
678,manchmal::ADV,לפעמים,інколи
679,oft::ADV,לעתים קרובות,часто
680,immer::ADV,תמיד,завжди
681,niemals::ADV,אף פעם,ніколи
682,hier::ADV,כאן,тут
683,hierhin::ADV,פה,сюди
684,von hier::ADV,מפה,звідси
685,dort::ADV,שם,там
686,dorthin::ADV,שם,туди
687,geradeaus::ADV,ישר,прямо
688,vorwärts::ADV,קדימה,вперед
689,rückwärts::ADV,לאחור,назад
690,zurück::ADV,בחזרה,назад
691,zurück::ADV,אחורנית,назад
692,unten::ADV,למטה,внизу
693,hinab::ADV,למטה,вниз
694,oben::ADV,מעל,вгорі
695,oben::ADV,למעלה,вгорі
696,hinauf::ADV,למעלה,вгору
697,überall::ADV,בכל מקום,скрізь
698,nicht::ADV,לא,не
699,ein wenig::ADV,קצת,трохи
700,ein wenig::ADV,קצת,небагато
701,kaum::ADV,בקשי,ледве
702,sehr::ADV,מאוד,дуже
703,so::ADV,כך,так
704,so::ADV,ככה,так
705,noch::ADV,עוד,ще
706,noch::ADV,עדין,ще
707,nur::ADV,רק,лише
708,nur::ADV,רק,тільки
709,schon::ADV,כבר,вже
710,wieder::ADV,שוב,знову
711,vergebens::ADV,לריק,дарма
712,vergebens::ADV,לשוא,дарма
713,vor::PRP,מול,перед
714,hinter::PRP,מאחורי,ззаду
715,hinter::PRP,מאחורי,позаду
716,unter::PRP,מתחת,під
717,durch::PRP,דרך,крізь
718,neben::PRP,ליד,біля
719,neben::PRP,על-יד,біля
720,zwischen::PRP,בין,між
721,wegen::PRP,בשל,з-за
722,wegen::PRP,בשל,через
723,wegen::PRP,בגלל,з-за
724,wegen::PRP,בגלל,через
725,dies::PRN,זה,це
726,das::PRN,זה,то
727,alles::PRN,הכל,все
728,ich::PRN,אני,я
729,du::PRN,את,ти
730,du::PRN,אתה,ти
731,er::PRN,הוא,він
732,wir::PRN,אנחנו,ми
733,ihr::PRN,לה,ви
734,sie::PRN,הם,вони
735,was::FPRN,מה,що
736,wer::FPRN,מי,хто
737,wo::FADV,איפה,де
738,wohin::FADV,לאן,куди
739,wie::FADV,איך,як
740,warum::FADV,למה,чому
741,wieviel::FNUM,כמה,скільки
742,eins::NUM,אחד,один
743,zwei::NUM,שתים,два
744,drei::NUM,שלושה,три
745,vier::NUM,ארבעה,чотири
746,fünf::NUM,חמשה,п’ять
747,sechs::NUM,ששה,шість
748,sieben::NUM,שבעה,сім
749,acht::NUM,שמונה,вісім
750,neun::NUM,תשעה,дев’ять
751,zehn::NUM,עשרה,десять
752,elf::NUM,אחת עשרה,одинадцять
753,zwölf::NUM,שתים עשרה,дванадцять
754,zwanzig::NUM,עשרים,двадцять
755,dreißig::NUM,שלושים,тридцять
756,vierzig::NUM,ארבעים,сорок
757,fünfzig::NUM,חמשים,п’ятдесят
758,sechzig::NUM,ששים,шістдесят
759,siebzig::NUM,שבעים,сімдесят
760,achtzig::NUM,שמונים,вісімдесят
761,neunzig::NUM,תשעים,дев’яносто
762,hundert::NUM,מאה,сто
763,tausend::NUM,אלף,тисяча
764,und::CNJ,ו,і
765,oder::CNJ,או,або
766,stehen::V,עמד,стояти
767,sitzen::V,ישב,сидіти
768,liegen::V,שכב,лежати
769,hängen::V,היה תלוי,висіти
770,werden::V,הפך ל,стати
771,werden::V,הפך ל,робитися
772,passieren::V,קרה,трапитися
773,beginnen::V,התחיל,початися
774,enden::V,הסתים,кінчитися
775,wechseln::V,השתנה,мінятися
776,aufgehen[Sonne]::V,זרח,зійти
777,untergehen[Sonne]::V,שקע,зайти
778,scheinen[Sonne]::V,בהק,світити
779,donnern::V,רעם,гриміти
780,wehen::V,נשב,віяти
781,strömen::V,זרם,литися
782,fließen::V,זרם,текти
783,sich drehen::V,הסתובב,обертатися
784,schwanken::V,התנודד,коливатися
785,schwingen::V,התנענע,хитатися
786,schwingen::V,התנענע,гойдатися
787,fallen::V,נפל,падати
788,brennen::V,בער,горіти
789,rauchen::V,עשן,диміти
790,regnen::V,ירד גשם,дощити
791,gefrieren::V,קפא,змерзнути
792,tauen::V,נמס,танути
793,schmelzen::V,התיך,плавитися
794,trocknen::V,התיבש,сохнути
795,sieden::V,רתח,кипіти
796,faulen::V,רקב,гнити
797,verfaulen::V,רקב,згнити
798,reißen::V,נקרע,рватися
799,versinken::V,טבע,тонути
800,vergehen::V,עבר,проходити
801,erscheinen::V,נגלה,з’явитися
802,erscheinen::V,הופיע,з’явитися
803,verschwinden::V,נעלם,щезнути
804,verschwinden::V,נעלם,зникнути
805,sinken::V,ירד,спадати
806,abnehmen::V,הפחית,поменшитися
807,zunehmen::V,רבה,збільшуватися
808,steigen::V,עלה,підніматися
809,wachsen::V,גדל,рости
810,glänzen::V,נצץ,блищати
811,glänzen::V,בהק,блищати
812,funkeln::V,נצנץ,блискати
813,lärmen::V,רעש,шуміти
814,läuten::V,צלצל,дзвонити
