,Concept_ID,ml,lbe
313,Winkel::N,കോൺ,мурцӏу
314,Muster::N,ക്രമം,накьич
315,Größe::N,വലുപ്പം,
316,Länge::N,നീളം,лахъишиву
317,Höhe::N,ഉയരം,лахъшиву
318,Gewicht::N,കട്ടി,дуццин
319,Gewicht::N,കട്ടി,кӏушиву
320,Menge::N,അളവ്,
321,Haufen::N,കൂമ്പാരം,бакӏу
322,Reihe::N,വരി,кьюкьа
323,Boot::N,ബോട്ട്,луткка
324,Ruder::N,പങ്കായം,весло
325,Ruder::N,പങ്കായം,чӏатӏа
326,Schlitten::N,ഉരുളില്ലാവണ്ടി,чана
327,Schlitten::N,ഉരുളില്ലാവണ്ടി,санкка
328,Ski::N,ഹിമപാദുകം,лижарду
329,Lagerfeuer::N,തീ,къавтӏн
330,Last::N,ഭാരം,гьиву
331,Gang::N,നടത്തം,нанаву
332,Schritt::N,ചുവട്,ша
333,Norden::N,വടക്ക്,ухссав
334,Norden::N,വടക്ക്,ухссавнил чулухалу
335,Süden::N,തെക്ക്,кьилва
336,Westen::N,പടിഞ്ഞാറ്,баргълагавал
337,Westen::N,പടിഞ്ഞാറ്,баргълагавал чул
338,Osten::N,കിഴക്ക്,баргъбуккай чулухалу
339,Holz::N,തടി,тӏама
340,Brett::N,ബോർഡ്,тахта
341,Platte::N,തകിട്,гъуни
342,Stütze::N,താങ്ങ്,гьалакӏу
343,Stange::N,കമ്പ്,къазихъ
344,Stock::N,വടി,ттархь
345,Stab::N,കുറുവടി,ччантӏакъу
346,Rohr::N,കുഴൽ,бургъу
347,Haus::N,വീട്,къатта
348,Heim::N,വീട്,къатта
349,Ofen::N,സ്റ്റൌ,пач
350,Fußboden::N,തറ,чӏанкъатта
351,Tisch::N,മേശ,усттул
352,Stuhl::N,കസേര,кӏану
353,Wiege::N,തൊട്ടിൽ,оьрчӏал кӏану
354,Bett::N,കിടക്ക,тах
355,Regal::N,ഷെൽഫ്,чӏаму
356,Kiste::N,പെട്ടി,яшикӏ
357,Kiste::N,പെട്ടി,къурши
358,Fenster::N,ജനൽ,чӏавахьулу
359,Tür::N,വാതിൽ,нуз
360,Tür::N,വാതിൽ,нузкьун
361,Tor::N,കവാടം,къапу
362,Tor::N,കവാടം,дарваза
363,Zaun::N,വേലി,дайгьузанну
364,Dach::N,മേൽക്കുര,магъи
365,Dach::N,മേൽക്കുര,цӏиялу
