,Concept_ID,tt,mrj
397,Löffel::N,кашык,савала
398,Messer::N,пычак,кӹзӹ
399,Nagel::N,кадак,пыда
400,Netz::N,челтәр,вӓпш
401,Haken::N,ыргак,крӱк
402,Haken::N,ыргак,кагак
403,Griff::N,тотка,кычем
404,Schloss::N,йозак,замок
405,Schloss::N,йозак,сыравач
406,Bild::N,рәсем,картин
407,Bild::N,картина,картин
408,Figur::N,сын,кӓн
409,Figur::N,фигура,кӓн
410,Puppe::N,курчак,поханя
411,Beutel::N,луза,мешӓк
412,Bündel::N,бәйләм,топ
413,Bündel::N,бәйләм,пидӹш
414,Bündel::N,бәйләм,кӹлдӹш
415,Tasche::N,букча,сумкы
416,Eimer::N,чиләк,ведӹрӓ
417,Deckel::N,капкач,комдыш
418,Geschirr::N,савыт-саба,ӓтӹ
419,Geschirr::N,кашык-аяк,ӓтӹ
420,Sack::N,капчык,мешӓк
421,Tasse::N,чынаяк,цӓшкӓ
422,Topf::N,чүлмәк,ми́ска
423,Kessel::N,казан,пад
424,Essen::N,ашау,качкыш
425,Essen::N,ашау,качкыш-йӱш
426,Nahrung::N,азык,качкыш
427,Nahrung::N,азык,качкыш-йӱш
428,Nahrung::N,тәгам,качкыш
429,Nahrung::N,тәгам,качкыш-йӱш
430,Nahrung::N,ашамлык,качкыш
431,Nahrung::N,ашамлык,качкыш-йӱш
432,Speise::N,ризык,няня
433,Fleisch::N,ит,пай
434,Getreide::N,ашлык,киндӹ
435,Brei::N,ботка,шӹрӓш
436,Brot::N,ипи,сыкыр
437,Brot::N,икмәк,сыкыр
438,Scheibe::N,телем,ламыт
439,Scheibe::N,телем,лаштык
440,Fett::N,май,кая
441,Butter::N,май,ӱ
442,Öl::N,май,ӱ
443,Salz::N,тоз,санзал
444,Suppe::N,шулпа,лем
445,Honig::N,бал,мӱ
446,Milch::N,сөт,шӹшер
447,Tee::N,чәй,чӓй
448,Leder::N,күн,шарга
449,Leder::N,күн,кавашты
450,Wolle::N,йон,миж
451,Stoff::N,тукыма,матер
452,Stoff::N,тукыма,матери
453,Nadel::N,энә,им
454,Faden::N,җеп,шӹртӹ
455,Knopf::N,төймә,полдыш
456,Knoten::N,төен,пӱкшем
457,Farbe::N,буяу,чиӓ
458,Farbe::N,буяу,крӓскӓ
459,Kleidung::N,кием,выргем
460,Hemd::N,күлмәк,тыгыр
461,Kragen::N,яка,шӱ
462,Ärmel::N,җиң,шокш
463,Hose::N,чалбар,ялаш
464,Gürtel::N,билбау,ӹштӹ
465,Mütze::N,бүрек,упш
466,Schuh::N,башмак,ту́фльы
467,Stiefel::N,итек,кем
468,Ring::N,балдак,шӓргӓш
469,Band::N,тасма,лемтӓ
470,Kamm::N,тарак,шерге
471,Spiegel::N,көзге,тӹгӹр
472,Riemen::N,каеш,прӓжӓ
473,Schnur::N,бау,кӓндӹра
474,Leine::N,тезген,керем
475,Decke::N,юрган,одеял
476,Kissen::N,мендәр,кӹпцӹк
477,Tuch::N,яулык,савыц
478,Handtuch::N,сөлгә,шӹргӹсавыц
479,Handtuch::N,сөлгә,шӹргӹмсавыц
480,Kraft::N,егәр,ви
481,Kraft::N,дәрман,ви
482,Stärke::N,көч,ви
483,Stärke::N,дәрман,ви
484,Gesundheit::N,саулык,шу
485,Gesundheit::N,саулык,шулык
486,Krankheit::N,чир,мыж
487,Krankheit::N,хаста,мыж
488,Krankheit::N,сырхау,мыж
489,Schmerz::N,авырту,карштыш
490,Wunde::N,яра,шушыр
491,Wunde::N,җәрәхәт,шушыр
492,Fieber::N,бизгәк,ӱштӹмыж
493,Arznei::N,дару,лекӓрцӹ
494,Brücke::N,күпер,кӹвер
495,Brunnen::N,кое,вӹдсӹнзӓ
496,Weide::N,утлавык,ныр
497,Pfad::N,сукмак,ялгорны
498,Weg::N,юл,корны
499,Straße::N,урам,корны
500,Dorf::N,авыл,сола
501,Stadt::N,шәһәр,города
502,Brief::N,хат,сирмӓш
503,Buch::N,китап,книгӓ
504,Buchstabe::N,хәреф,буква́
505,Zeitung::N,газет,газет
506,Zeitung::N,газет,кайзет
507,Zeitung::N,газета,газет
508,Zeitung::N,газета,кайзет
509,Leben::N,гомер,житя
510,Leben::N,тормыш,житя
511,Leben::N,тереклек,житя
512,Tod::N,үлем,смöрт
513,Grab::N,гүр,шӹгер
514,Grab::N,гүр,мыгилӓ
515,Grab::N,гүр,шӹгерлӓ
516,Grab::N,кабер,шӹгер
517,Grab::N,кабер,мыгилӓ
518,Grab::N,кабер,шӹгерлӓ
519,Kirche::N,чиркәү,церкӹ
520,Sünde::N,язык,сулык
521,Sünde::N,гөнаһ,сулык
522,Gott::N,алла,йымы
523,Gott::N,ходай,йымы
524,Arbeiter::N,эшче,пӓшӓзӹ
525,Chef::N,башлык,вуй
526,Meister::N,оста,мастар
527,Arzt::N,врач,доктор
528,Arzt::N,табиб,доктор
