,Concept_ID,hu,pt
684,fest::A,szilárd,sólido
685,flach::A,sík,plano
686,flach::A,lapos,plano
687,glatt::A,sima,liso
688,hart::A,kemény,duro
689,weich::A,puha,mole
690,rund::A,kerek,redondo
691,spitz::A,hegyes,agudo
692,scharf::A,éles,afiado
693,stumpf::A,tompa,rombo
694,stumpf::A,életlen,rombo
695,schwer::A,nehéz,pesado
696,schwer::A,súlyos,pesado
697,schön::A,szép,belo
698,schön::A,szép,bonito
699,heiß::A,forró,quente
700,warm::A,meleg,quente
701,kalt::A,hideg,frio
702,kühl::A,hűs,fresco
703,kühl::A,hűvös,fresco
704,frisch::A,üde,fresco
705,frisch::A,friss,fresco
706,feucht::A,nedves,húmido
707,nass::A,vizes,molhado
708,trocken::A,száraz,seco
709,voll::A,telt,cheio
710,leer::A,üres,vazio
711,offen::A,nyílt,aberto
712,offen::A,nyitott,aberto
713,geschlossen::A,zárt,fechado
714,geschlossen::A,csukott,fechado
715,sauber::A,tiszta,limpo
716,schmutzig::A,piszkos,sujo
717,schmutzig::A,szennyes,sujo
718,roh::A,nyers,cru
719,reif::A,érett,maduro
720,lecker::A,finom,delicioso
721,süß::A,édes,doce
722,bitter::A,keserű,amargo
723,sauer::A,savanyú,azedo
724,hell::A,világos,claro
725,dunkel::A,sötét,escuro
726,dunkel::A,sötét,sombrio
727,schwarz::A,fekete,preto
728,weiß::A,fehér,branco
729,rot::A,vörös,vermelho
730,gelb::A,sárga,amarelo
731,blau::A,kék,azul
732,grün::A,zöld,verde
733,grau::A,ősz,cinzento
734,grau::A,szürke,cinzento
735,bunt::A,tarka,colorido
736,bunt::A,színes,colorido
737,billig::A,olcsó,barato
738,teuer::A,drága,caro
739,wertvoll::A,értékes,valioso
740,wertvoll::A,értékes,precioso
741,blind::A,vak,cego
742,taub::A,süket,surdo
743,kräftig::A,erős,forte
744,kräftig::A,erős,poderoso
745,stark::A,erős,forte
746,stark::A,erős,robusto
747,schwach::A,gyenge,débil
748,schwach::A,erőtlen,débil
749,fett::A,hájas,gordo
750,schlank::A,karcsú,esbelto
751,hübsch::A,csinos,giro
752,hübsch::A,csinos,bonito
753,böse::A,rossz,mau
754,böse::A,gonosz,mau
755,dumm::A,buta,parvo
756,dumm::A,buta,estúpido
757,dumm::A,ostoba,parvo
758,dumm::A,ostoba,estúpido
759,faul::A,lusta,preguiçoso
760,fleißig::A,szorgalmas,aplicado
761,fleißig::A,szorgalmas,diligente
762,geizig::A,fukar,avarento
763,geizig::A,fösvény,avarento
764,klug::A,okos,prudente
765,klug::A,okos,inteligente
766,klug::A,eszes,prudente
767,klug::A,eszes,inteligente
768,geschickt::A,ügyes,hábil
769,lieb::A,drága,caro
770,lieb::A,drága,querido
771,lieb::A,kedves,caro
772,lieb::A,kedves,querido
773,lustig::A,víg,alegre
774,lustig::A,vidám,alegre
775,sanft::A,enyhe,suave
776,sanft::A,enyhe,brando
777,hungrig::A,éhes,faminto
778,krank::A,beteg,doente
779,krank::A,beteg,enfermo
780,nackt::A,csupasz,nu
781,nackt::A,csupasz,despido
782,nackt::A,meztelen,nu
783,nackt::A,meztelen,despido
784,traurig::A,bús,triste
785,traurig::A,szomorú,triste
786,lebendig::A,élő,vivo
787,gut::A,jó,bom
788,schlecht::A,rossz,mau
789,schlecht::A,rossz,ruim
790,richtig::A,helyes,justo
791,richtig::A,helyes,correcto
792,schlimm::A,rossz,mau
793,schlimm::A,rossz,grave
794,wahr::A,igaz,verdadeiro
795,alt::A,ó,velho
796,alt::A,ó,antigo
797,alt::A,régi,velho
798,alt::A,régi,antigo
799,neu::A,új,novo
800,ehemalig::A,volt,antigo
801,ehemalig::A,egykori,antigo
802,alt[Lebewesen]::A,öreg,velho
803,jung::A,fiatal,jovem
804,arm::A,szegény,pobre
805,reich::A,gazdag,rico
806,bekannt::A,ismert,conhecido
807,bekannt::A,ismeretes,conhecido
808,berühmt::A,híres,famoso
809,berühmt::A,híres,célebre
810,fremd::A,idegen,alheio
811,fremd::A,idegen,estranho
812,verschieden::A,különböző,diverso
813,verschieden::A,különböző,diferente
814,nah::A,közeli,próximo
815,fern::A,távoli,remoto
816,fern::A,távoli,distante
817,linker::A,bal,esquerdo
818,rechter::A,jobb,direito
819,anderer::A,más,outro
820,anderer::A,másik,outro
821,erster::A,első,primeiro
822,zweiter::A,második,segundo
823,dritter::A,harmadik,terceiro
824,letzter::A,utolsó,final
825,letzter::A,utolsó,último
826,allein::ADV,egyedül,só
827,auf einmal::ADV,egyszerre,de vez
828,zusammen::ADV,együtt,juntos
829,zusammen::ADV,összesen,juntos
830,lange::ADV,sokáig,muito tempo
831,lange::ADV,hosszan,muito tempo
832,plötzlich::ADV,hirtelen,de repente
833,plötzlich::ADV,egyszerre,de repente
834,sofort::ADV,rögtön,imediatamente
835,sofort::ADV,tüstént,imediatamente
836,später::ADV,későn,mais tarde
837,jetzt::ADV,most,agora
838,heute::ADV,ma,hoje
839,morgen::ADV,holnap,amanhã
840,bald::ADV,majd,logo
841,bald::ADV,majd,breve
842,bald::ADV,nemsokára,logo
843,bald::ADV,nemsokára,breve
844,dann::ADV,akkor,então
845,dann::ADV,akkor,depois
846,gestern::ADV,tegnap,ontem
847,einst::ADV,hajdan,antigamente
848,damals::ADV,akkor,então
849,damals::ADV,akkoriban,então
850,danach::ADV,azután,logo
851,danach::ADV,azután,depois
852,vorher::ADV,előbb,antes
