,Concept_ID,ca,tr
546,Decke::N,manta,yorgan
547,Decke::N,flassada,örtü
548,Decke::N,flassada,yorgan
549,Kissen::N,coixí,yastık
550,Tuch::N,mocador,bez
551,Handtuch::N,tovallola,havlu
552,Kraft::N,força,güç
553,Kraft::N,força,kuvvet
554,Stärke::N,vigor,kuvvet
555,Gesundheit::N,salut,sağlık
556,Krankheit::N,malaltia,hastalık
557,Schmerz::N,dolor,ağrı
558,Schmerz::N,dolor,sancı
559,Wunde::N,ferida,yara
560,Fieber::N,febre,ateş
561,Arznei::N,medicament,ilâç
562,Brücke::N,pont,köprü
563,Brunnen::N,pou,kuyu
564,Brunnen::N,pou,çeşme
565,Weide::N,pastura,otlak
566,Pfad::N,senda,patika
567,Pfad::N,senda,keçiyolu
568,Pfad::N,sender,patika
569,Pfad::N,sender,keçiyolu
570,Weg::N,camí,yol
571,Straße::N,carretera,yol
572,Straße::N,carretera,cadde
573,Dorf::N,poble,köy
574,Stadt::N,ciutāt,kent
575,Stadt::N,ciutāt,şehir
576,Brief::N,carta,mektup
577,Buch::N,llibre,kitap
578,Buchstabe::N,lletra,harf
579,Zeitung::N,diāri,gazete
580,Leben::N,vida,hayat
581,Tod::N,mort,ölüm
582,Grab::N,tomba,kabir
583,Kirche::N,església,kilise
584,Sünde::N,pecat,günah
585,Gott::N,déu,tanrı
586,Arbeiter::N,obrer,işçi
587,Chef::N,cap,şef
588,Chef::N,cap,müdür
589,Meister::N,mestre,usta
590,Arzt::N,metge,hekim
591,Arzt::N,metge,doktor
592,Lehrer::N,mestre,hoca
593,Lehrer::N,mestre,öğretmen
594,Geld::N,dinērs,para
595,Geschäft::N,negoci,ticaret
596,Laden::N,tenda,dükkân
597,Laden::N,botiga,dükkân
598,Preis::N,preu,fiyat
599,Ware::N,mercaderia,mal
600,Nutzen::N,profit,fayda
601,Reichtum::N,riquesa,servet
602,Reichtum::N,riquesa,zenginlik
603,Welt::N,món,dünya
604,Land::N,país,ülke
605,Staat::N,estat,devlet
606,König::N,rei,kral
607,Macht::N,poder,kudret
608,Macht::N,poder,iktidar
609,Macht::N,potència,kudret
610,Macht::N,potència,iktidar
611,Grenze::N,frontera,had
612,Grenze::N,frontera,sınır
613,Krieg::N,guerra,savaş
614,Feind::N,enemic,düşman
615,Gewalt::N,violència,zor
616,Gewalt::N,violència,cebir
617,Kampf::N,lluita,savaş
618,Bogen[Waffe]::N,arc,yay
619,Pfeil::N,fletxa,ok
620,Gewehr::N,fusell,tüfek
621,Gewehr::N,escopeta,tüfek
622,Fehler::N,falta,hata
623,Fehler::N,falta,yanlış
624,Lüge::N,mentida,yalan
625,Schaden::N,dany,zarar
626,Unglück::N,desgràcia,felâket
627,Unglück::N,desgràcia,talihsizlik
628,Schuld::N,culpa,suç
629,Schuld::N,culpa,kabahat
630,Alter::N,edat,yaş
631,Schluss::N,fi,son
632,Schluss::N,final,son
633,Zeit::N,temps,zaman
634,Tag::N,dia,gün
635,Morgen::N,matí,sabah
636,Mittag::N,migdia,öğle
637,Abend::N,vespre,akşam
638,Nacht::N,nit,gece
639,Woche::N,setmana,hafta
640,Monat::N,mes,ay
641,Jahr::N,any,yıl
642,Jahr::N,any,sene
643,Frühling::N,primavera,ilkbahar
644,Sommer::N,estīu,yaz
645,Herbst::N,tardor,güz
646,Herbst::N,tardor,sonbahar
647,Winter::N,hivērn,kış
648,Januar::N,gener,ocak
649,Februar::N,febrer,şubat
650,März::N,març,mart
651,April::N,abril,nisan
652,Mai::N,maig,mayıs
653,Juni::N,juny,haziran
654,Juli::N,juliol,temmuz
655,August::N,agost,ağustos
656,September::N,setembre,eylül
657,Oktober::N,octubre,ekim
658,November::N,novembre,kasım
659,Dezember::N,desembre,aralık
660,Montag::N,dilluns,pazartesi
661,Dienstag::N,dimarts,salı
662,Mittwoch::N,dimecres,çarşamba
663,Donnerstag::N,dijous,perşembe
664,Freitag::N,divendres,cuma
665,Samstag::N,dissabte,cumartesi
666,Sonntag::N,diumenge,pazar
667,groß::A,gros,büyük
668,klein::A,petīt,ufak
669,klein::A,petīt,küçük
670,lang::A,llarg,uzun
671,kurz::A,curt,kısa
672,breit::A,ample,enli
673,breit::A,ample,geniş
674,schmal::A,estret,dar
675,dicht::A,dens,sık
676,dicht::A,dens,yoğun
677,dick[Gegenstand]::A,gruixūt,kalın
678,dick[Gegenstand]::A,gruixūt,iri
679,dünn::A,prim,ince
680,fein::A,fi,ince
681,fein::A,fi,narin
682,fest::A,ferm,sabit
683,fest::A,ferm,sağlam
684,fest::A,sòlid,sabit
685,fest::A,sòlid,sağlam
686,flach::A,pla,düz
687,flach::A,pla,yassı
688,glatt::A,llis,düz
689,hart::A,dur,katı
690,weich::A,tou,yumuşak
691,rund::A,rodó,yuvarlak
692,spitz::A,punxegut,sivri
693,scharf::A,agut,keskin
694,stumpf::A,rom,kör
695,stumpf::A,esmussat,kör
696,schwer::A,pesāt,ağır
697,schön::A,bonīc,güzel
698,heiß::A,calēnt,kızgın
699,warm::A,càlid,sıcak
700,kalt::A,fred,soğuk
701,kühl::A,fresc,serin
702,frisch::A,fresc,taze
703,feucht::A,humit,nemli
704,feucht::A,humit,rutubetli
705,nass::A,mullat,yaş
706,nass::A,mullat,ıslak
707,trocken::A,sec,kuru
708,voll::A,ple,dolu
709,voll::A,ple,dolmuş
710,leer::A,buit,boş
711,offen::A,obert,açık
712,geschlossen::A,tancat,kapalı
713,sauber::A,net,pak
714,sauber::A,net,temiz
715,schmutzig::A,brut,pis
716,schmutzig::A,brut,kirli
717,roh::A,cru,çiğ
718,reif::A,madur,olgun
719,lecker::A,deliciós,lezzetli
720,süß::A,dolç,tatlı
721,süß::A,dolç,şekerli
722,bitter::A,amarg,acı
723,sauer::A,agre,ekşi
724,hell::A,clar,aydınlık
725,dunkel::A,fosc,karanlık
726,schwarz::A,negre,kara
727,schwarz::A,negre,siyah
728,weiß::A,blanc,ak
729,weiß::A,blanc,beyaz
730,rot::A,vermēll,kırmızı
731,gelb::A,groc,sarı
732,blau::A,blau,mavi
733,grün::A,verd,yeşil
734,grau::A,gris,boz
735,bunt::A,multicolor,renkli
736,billig::A,barat,ucuz
737,teuer::A,car,pahalı
738,wertvoll::A,preciós,değerli
739,blind::A,cec,kör
740,taub::A,sord,sağır
741,kräftig::A,fort,dinç
742,kräftig::A,fort,kuvvetli
743,kräftig::A,vigorós,dinç
744,kräftig::A,vigorós,kuvvetli
745,stark::A,fort,güçlü
746,stark::A,fort,kuvvetli
747,schwach::A,feble,zayıf
748,schwach::A,feble,güçsüz
749,fett::A,gras,şişman
750,schlank::A,esvelt,narin
751,hübsch::A,maco,güzel
752,hübsch::A,maco,sevimli
753,böse::A,dolent,kötü
754,dumm::A,ximple,aptal
755,dumm::A,estúpid,aptal
756,faul::A,gandūl,tembel
757,faul::A,mandrós,tembel
758,fleißig::A,diligēnt,çalışkan
759,geizig::A,avar,cimri
760,klug::A,intel·ligent,zekî
761,klug::A,intel·ligent,akıllı
762,geschickt::A,hàbil,becerikli
763,lieb::A,amat,sevimli
764,lieb::A,estimat,sevimli
765,lustig::A,alegre,neşeli
766,sanft::A,suau,nazik
767,hungrig::A,afamat,aç
768,krank::A,malālt,hasta
769,krank::A,malālt,rahatsız
770,nackt::A,nu,çıplak
771,traurig::A,trist,kederli
772,traurig::A,trist,üzüntülü
773,lebendig::A,viu,canlı
774,gut::A,bo,iyi
775,schlecht::A,dolēnt,kötü
776,richtig::A,just,doğru
777,richtig::A,correcte,doğru
778,schlimm::A,greu,kötü
779,wahr::A,vertader,doğru
780,wahr::A,vertader,gerçek
781,wahr::A,veritable,doğru
782,wahr::A,veritable,gerçek
783,alt::A,vell,eski
784,neu::A,nou,yeni
785,ehemalig::A,antic,önceki
786,alt[Lebewesen]::A,vell,yaşlı
787,jung::A,jove,genç
788,arm::A,pobre,fakir
789,reich::A,ric,zengin
790,bekannt::A,conegut,bilinen
791,berühmt::A,famós,ünlü
792,berühmt::A,famós,meşhur
793,fremd::A,estrany,yabancı
794,verschieden::A,diferent,ayrı
795,verschieden::A,diferent,farklı
796,nah::A,pròxim,yakın
797,nah::A,pròxim,bitişik
798,fern::A,llunyà,uzak
799,fern::A,distant,uzak
800,linker::A,esquerre,sol
801,rechter::A,dret,sağ
802,anderer::A,altre,diğer
803,erster::A,primer,ilk
804,erster::A,primer,birinci
805,zweiter::A,segon,ikinci
806,dritter::A,tercer,üçüncü
807,letzter::A,últim,son
808,letzter::A,últim,sonuncu
809,allein::ADV,sol,yalnız
810,allein::ADV,sol,tek başına
811,auf einmal::ADV,d'una vegada,birden
812,zusammen::ADV,junt,beraber
813,zusammen::ADV,junt,birlikte
814,lange::ADV,molt de temps,çok
815,lange::ADV,molt de temps,uzun
816,plötzlich::ADV,de cop,ansızın
817,plötzlich::ADV,de cop,birdenbire
818,plötzlich::ADV,de sobte,ansızın
819,plötzlich::ADV,de sobte,birdenbire
820,sofort::ADV,de seguida,hemen
821,sofort::ADV,de seguida,derhal
822,später::ADV,més tard,daha sonra
823,jetzt::ADV,ara,şimdi
824,heute::ADV,avūi,bugün
825,morgen::ADV,demà,yarın
826,bald::ADV,aviāt,yakında
827,dann::ADV,després,sonra
828,gestern::ADV,ahir,dün
829,einst::ADV,anteriorment,eskiden
830,damals::ADV,llavōrs,o zamanlar
831,damals::ADV,aleshores,o zamanlar
832,danach::ADV,després,sonradan
833,danach::ADV,després,ondan sonra
834,vorher::ADV,abāns,önce
835,vorher::ADV,abāns,önceden
836,zuerst::ADV,primer,ilk önce
837,einmal::ADV,una vegada,bir defa
838,manchmal::ADV,de vegades,bazan
839,oft::ADV,sovint,sık sık
840,oft::ADV,sovint,çok defa
841,immer::ADV,sempre,daima
842,immer::ADV,sempre,her zaman
843,niemals::ADV,no ... mai,asla değil
844,niemals::ADV,no ... mai,hiçbir zaman
