,Concept_ID,sq,no
881,gefrieren::V,ngrij,fryse
882,tauen::V,shkrij,tine
883,schmelzen::V,shkrij,smelte
884,trocknen::V,thaj,tørre
885,sieden::V,ziej,koke
886,faulen::V,kalbem,råtne
887,faulen::V,prishem,råtne
888,verfaulen::V,kalbem,råtne
889,reißen::V,grisem,briste
890,reißen::V,shqyhem,briste
891,versinken::V,humboj,synke
892,versinken::V,humboj,synke ned
893,vergehen::V,kaloj,forløpe
894,erscheinen::V,dukem,synes
895,verschwinden::V,zhdukem,forsvinne
896,sinken::V,ulem,synke
897,abnehmen::V,pakësohem,avta
898,abnehmen::V,pakësohem,minske
899,abnehmen::V,zvogëlohem,avta
900,abnehmen::V,zvogëlohem,minske
901,zunehmen::V,shtohem,tilta
902,steigen::V,rritem,stige
903,wachsen::V,rritem,gro
904,wachsen::V,rritem,vokse
905,glänzen::V,vezulloj,skinne
906,funkeln::V,xixoj,tindre
907,funkeln::V,xixëlloj,tindre
908,lärmen::V,oshtij,bråke
909,lärmen::V,zhurmoj,bråke
910,läuten::V,bie,ringe
911,klingeln::V,i bie ziles,ringe
912,klirren::V,kërcëlloj,klirre
913,brausen::V,gjëmoj,bruse
914,rauschen::V,fëshfërij,suse
915,klingen::V,tingëlloj,lyde
916,klingen::V,tingëlloj,klinge
917,bellen::V,leh,gjø
918,bellen::V,leh,bjeffe
919,heulen::V,ulërij,ule
920,blasen::V,fryj,blåse
921,pfeifen::V,fishkëllej,plystre
922,schreien::V,bërtas,skrike
923,stöhnen::V,rënkoj,stønne
924,zittern::V,trembem,dirre
925,zittern::V,trembem,skjelve
926,leben::V,rroj,leve
927,leben::V,jetoj,leve
928,geboren werden::V,lind,fødes
929,atmen::V,marr frymë,ånde
930,atmen::V,marr frymë,puste
931,trinken::V,pi,drikke
932,essen::V,ha,spise
933,schlucken::V,gëlltis,svelge
934,schlucken::V,kapërdij,svelge
935,müde werden::V,lodhem,bli trett
936,einschlafen::V,bie të fle,sovne
937,schlafen::V,fle,sove
938,aufwachen::V,zgjohem,våkne
939,aufstehen::V,çohem,stå opp
940,aufstehen::V,ngrihem,stå opp
941,sich erholen::V,qetësohem,bli bra
942,sich erholen::V,qetësohem,komme seg
943,sich erholen::V,shtendosem,bli bra
944,sich erholen::V,shtendosem,komme seg
945,krank werden::V,bie i sëmurë,bli syk
946,krank sein::V,jam i sëmurë,være syk
947,schmerzen::V,dhemb,gjøre vondt
948,husten::V,kollitem,hoste
949,genesen::V,shërohem,komme seg
950,sterben::V,vdes,dø
951,umkommen::V,vdes,omkomme
952,umkommen::V,mbaroj,omkomme
953,sich bewegen::V,shkundem,bevege seg
