,Concept_ID,hy,ka
565,Gewehr::N,հրացան,შაშხანა
566,Fehler::N,սխալ,შეცდომა
567,Lüge::N,սուտ,სიცრუე
568,Schaden::N,վնաս,ვნება
569,Unglück::N,դժբախտություն,ხიფათი
570,Unglück::N,դժբախտություն,უბედურება
571,Schuld::N,պակասություն,ბრალი
572,Alter::N,հասակ,ასაკი
573,Schluss::N,վերջ,ბოლო
574,Schluss::N,վերջ,დასასრული
575,Schluss::N,վախճան,ბოლო
576,Schluss::N,վախճան,დასასრული
577,Zeit::N,ժամանակ,დრო
578,Tag::N,օր,დღე
579,Morgen::N,առավոտ,დილა
580,Mittag::N,կեսօր,შუადღე
581,Abend::N,երեկո,საღამო
582,Nacht::N,գիշեր,ღამე
583,Woche::N,շաբաթ,კვირა
584,Monat::N,ամիս,თვე
585,Jahr::N,տարի,წელი
586,Frühling::N,գարուն,გაზაფხული
587,Sommer::N,ամառ,ზაფხული
588,Herbst::N,աշուն,შემოდგომა
589,Winter::N,ձմեռ,ზამთარი
590,Januar::N,հունվար,იანვარი
591,Februar::N,փետրվար,თებერვალი
592,März::N,մարտ,მარტი
593,April::N,ապրիլ,აპრილი
594,Mai::N,մայիս,მაისი
595,Juni::N,հունիս,ივნისი
596,Juli::N,հուլիս,ივლისი
597,August::N,օգոստոս,აგვისტო
598,September::N,սեպտեմբեր,სექტემბერი
599,Oktober::N,հոկտեմբեր,ოქტომბერი
600,November::N,նոյեմբեր,ნოემბერი
601,Dezember::N,դեկտեմբեր,დეკემბერი
602,Montag::N,երկուշաբթի,ორშაბათი
603,Dienstag::N,երեքշաբթի,სამშაბათი
604,Mittwoch::N,չորեքշաբթի,ოთხშაბათი
605,Donnerstag::N,հինգշաբթի,ხუთშაბათი
606,Freitag::N,ուրբաթ,პარასკევი
607,Samstag::N,շաբաթ,შაბათი
608,Sonntag::N,կիրակի,კვირა
609,groß::A,մեծ,დიდი
610,groß::A,խոշոր,დიდი
611,klein::A,պստիկ,მცირე
612,klein::A,պստիկ,პატარა
613,klein::A,փոքրիկ,მცირე
614,klein::A,փոքրիկ,პატარა
615,lang::A,երկար,გრძელი
616,kurz::A,կարճ,მოკლე
617,breit::A,լայն,ფართო
618,breit::A,լայն,განიერი
619,schmal::A,նեղ,ვიწრო
620,schmal::A,նեղ,წვრილი
621,dicht::A,խիտ,მჭიდრო
622,dick[Gegenstand]::A,հաստ,სქელი
623,dünn::A,բարակ,წვრილი
624,fein::A,նուրբ,თხელი
625,fest::A,ամուր,მყარი
626,fest::A,պինդ,მყარი
627,flach::A,տափակ,ბრტყელი
628,glatt::A,հարթ,გლუ
629,hart::A,կարծր,მაგარი
630,weich::A,մեղմ,რბილი
631,weich::A,փափուկ,რბილი
632,rund::A,կլոր,მრგვალი
633,spitz::A,սրածայր,წვეტიანი
634,scharf::A,սուր,მჭრელი
635,stumpf::A,գուլ,ბლაგვი
636,schwer::A,ծանր,მძიმე
637,schön::A,սիրուն,ლამაზი
638,schön::A,գեղեցիկ,ლამაზი
639,heiß::A,թեժ,ცხელი
640,warm::A,տաք,თბილი
641,warm::A,ջերմ,თბილი
642,kalt::A,ցուրտ,ცივი
643,kühl::A,զով,გრილი
644,frisch::A,թարմ,სუფთა
645,feucht::A,ղոնավ,ნოტიო
646,nass::A,թաց,სველი
647,trocken::A,ցամաք,მშრალი
648,voll::A,լի,სავსე
649,voll::A,լիքը,სავსე
650,leer::A,դատարկ,ცარიელი
651,offen::A,բաց,ღია
652,offen::A,բաց,გაშლილი
653,geschlossen::A,գոց,დახურული
654,sauber::A,մաքուր,სუფთა
655,sauber::A,մաքուր,წმინდა
656,schmutzig::A,կեղտոտ,ტალახიანი
657,roh::A,հում,უმი
658,reif::A,հասած,მწიფე
659,reif::A,հասուն,მწიფე
660,lecker::A,համեղ,გემრიელი
661,süß::A,անուշ,ტკბილი
662,bitter::A,կծու,მწარე
663,sauer::A,թթու,მჟავე
664,sauer::A,թթված,მჟავე
665,hell::A,պայծառ,ნათელი
666,hell::A,խելամիտ,ნათელი
667,dunkel::A,մութ,ბნელი
668,schwarz::A,սեւ,შავი
669,weiß::A,սպիտակ,თეთრი
670,rot::A,կարմիր,წითელი
671,gelb::A,դեղին,ყვითელი
672,blau::A,կապույտ,ლურჯი
673,blau::A,կապույտ,ცისფერი
674,grün::A,կանաչ,მწვანე
675,grau::A,գորշ,რუხი
676,grau::A,գորշ,ნაცრისფერი
677,bunt::A,գոյնզգոյն,ჭრელი
678,bunt::A,գոյնզգոյն,ფერადი
