,Concept_ID,la,kv
521,Monat::N,mensis,тӧлicь
522,Jahr::N,annus,год
523,Frühling::N,ver,тулыс
524,Sommer::N,aestas,гожум
525,Herbst::N,autumnus,ар
526,Winter::N,hiems,тӧв
527,Januar::N,Ianuarius,январ
528,Februar::N,Februarius,февраль
529,März::N,Martius,март
530,April::N,Aprilis,апрель
531,Mai::N,Maius,май
532,Juni::N,Iunius,юнь
533,Juli::N,Iulius,юль
534,August::N,Augustus,август
535,September::N,September,сентяб
536,Oktober::N,Octobris,октяб
537,November::N,Novembris,нояб
538,Dezember::N,December,декаб
539,Montag::N,dies lunae,вильлун
540,Dienstag::N,dies Martis ,мӧдӧдзлун
541,Mittwoch::N,dies Mercurii,шӧрлун
542,Donnerstag::N,dies Iovis,нёльӧдзлун
543,Freitag::N,dies Veneris,витӧдзлун
544,Samstag::N,dies Saturni,пывсянлун
545,Sonntag::N,dominicus,кресення
546,Sonntag::N,dies solis,кресення
547,groß::A,magnus,ыджыт
548,klein::A,parvus,учӧтик
549,lang::A,longus,кузь
550,kurz::A,brevis,дженыт
551,breit::A,latus,ота
552,schmal::A,angustus,векнит
553,dicht::A,densus,тшӧк
554,dick[Gegenstand]::A,crassus,кыз
555,dünn::A,tenuis,вӧснит
556,fein::A,subtilis,вӧснит
557,fest::A,solidus,крепыт
558,fest::A,stabilis,крепыт
559,flach::A,planus,лапкӧса
560,glatt::A,levis,волькыт
561,hart::A,durus,чӧрыт
562,weich::A,mollis,небыт
563,rund::A,rotundus,гӧгрӧса
564,spitz::A,acutus,ёся
565,scharf::A,acer,лэчыт
566,stumpf::A,hebes,ныж
567,schwer::A,gravis,сьӧкыт
568,schön::A,pulcher,басӧк
569,schön::A,formosus,басӧк
570,heiß::A,fervidus,жар
571,warm::A,calidus,шоныт
572,kalt::A,frigidus,кӧдзыт
573,kühl::A,frigidus,сайкыт
574,frisch::A,recens,виль
575,feucht::A,umidus,вакодь
576,nass::A,madidus,ва
577,trocken::A,aridus,кӧс
578,voll::A,plenus,тыра
579,leer::A,vacuus,тыртӧм
580,offen::A,apertus,оссьӧм
581,geschlossen::A,clausus,игана
582,geschlossen::A,clausus,пӧдана
583,sauber::A,lautus,сӧдз
584,sauber::A,lautus,сӧстӧм
585,schmutzig::A,sordidus,нятьӧсь
586,roh::A,crudus,путӧм
587,reif::A,maturus,кисьмалӧм
588,lecker::A,delicatus,кӧра 
589,süß::A,dulcis,чӧскыт
590,bitter::A,amarus,курыт
591,bitter::A,acerbus,курыт
592,sauer::A,acidus,шӧма 
593,hell::A,clarus,югыт
594,dunkel::A,obscurus,пемыт
595,schwarz::A,niger,сьӧд
596,weiß::A,albus,чочком
597,rot::A,ruber,гӧрд
598,gelb::A,flavus,веж
599,blau::A,caeruleus,лӧз
600,grün::A,viridis,веж
601,grau::A,canus,руд
602,grau::A,canus,бусӧй
603,bunt::A,varius,быдрӧма
604,billig::A,vilis,донтӧм
605,teuer::A,carus,дона
606,wertvoll::A,pretiosus,дона
607,blind::A,caecus,синтӧм
608,taub::A,surdus,пельтӧм
609,kräftig::A,robustus,вына
610,stark::A,firmus,вына
611,stark::A,validus,вына
612,schwach::A,debilis,некодя
613,schwach::A,infirmus,некодя
614,fett::A,crassus,госа
615,schlank::A,procerus,статя
616,hübsch::A,pulcher,басӧк
617,böse::A,improbus,лёк
618,dumm::A,stultus,бӧбӧв
619,dumm::A,stultus,вежӧртӧм
620,dumm::A,stupidus,бӧбӧв
621,dumm::A,stupidus,вежӧртӧм
622,faul::A,piger,дыш
623,fleißig::A,sedulus,уджалicь
624,geizig::A,avarus,жикмӧра
625,geizig::A,avarus,горшаліcь
626,klug::A,prudens,авья
627,klug::A,prudens,вежӧра
628,geschickt::A,sollers,кипода
629,lieb::A,carus,муса
630,lieb::A,carus,дзулиньӧй
631,lustig::A,iocosus,гажа
632,sanft::A,clemens,лебезнӧй
633,hungrig::A,impastus,тшыг
634,krank::A,aeger,шогалiсь
635,nackt::A,nudus,куш
636,traurig::A,maestus,жугыль
637,lebendig::A,vivus,ловья
638,gut::A,bonus,бур
639,schlecht::A,malus,умӧль
640,richtig::A,rectus,
641,schlimm::A,malus,нештӧм
642,wahr::A,verus,
643,alt::A,antiquus,важ
644,neu::A,novus,виль
645,ehemalig::A,pristinus,вӧвлӧм
646,alt[Lebewesen]::A,vetus,года
647,alt[Lebewesen]::A,vetus,годдэза
648,jung::A,iuvenis,том
649,arm::A,pauper,гов
650,arm::A,pauper,беднӧй
651,reich::A,dives,эма
652,bekannt::A,notus,тӧдса
653,berühmt::A,celeber,
654,berühmt::A,illustris,
655,fremd::A,peregrinus,чужӧй
656,verschieden::A,varius,быдкодь
657,nah::A,propinquus,матiсь
658,fern::A,longinquus,ылicь
659,linker::A,sinister,шульга
660,rechter::A,dexter,веськытланись
661,anderer::A,alius,мукӧд
662,erster::A,primus,медодзза
663,zweiter::A,secundus,кыкӧт
664,dritter::A,tertius,куимӧт
665,dritter::A,tertius,куимӧдз
666,letzter::A,ultimus,бӧрья
667,letzter::A,ultimus,мёдбӧрья
668,allein::ADV,solum,
669,auf einmal::ADV,simul,тшӧтш
670,zusammen::ADV,una,ӧтлаын
671,lange::ADV,diu,дыр
672,plötzlich::ADV,subito,друг
673,plötzlich::ADV,repente,друг
674,sofort::ADV,statim,тшӧтш
675,später::ADV,postea,медбӧрын
676,jetzt::ADV,nunc,ӧні
677,heute::ADV,hodie,талун
678,morgen::ADV,cras,ашын
679,bald::ADV,mox,чожа
680,dann::ADV,deinde,сыбӧрын
681,gestern::ADV,heri,тӧн
682,einst::ADV,olim,ӧтпыр
683,damals::ADV,tum,сэк
684,damals::ADV,tum,сэки
685,danach::ADV,postea,сэсся
686,vorher::ADV,antea,одзжык
687,zuerst::ADV,primo,наперво
688,einmal::ADV,semel,ӧтпыр
689,manchmal::ADV,interdum,мукӧдпыр
690,oft::ADV,saepe,-лы-
691,immer::ADV,semper,быдпыр
692,immer::ADV,semper,быдпырся
693,niemals::ADV,numquam,некӧр
694,hier::ADV,hic,татӧн
695,hierhin::ADV,huc,татчӧ
696,von hier::ADV,hinc,тасянь
697,dort::ADV,ibi,сэтӧн
698,dorthin::ADV,eo,сэтчин
699,geradeaus::ADV,recte,веськыта
700,vorwärts::ADV,porro,одзӧ
701,rückwärts::ADV,retro,бӧр
702,zurück::ADV,retro,бӧр
703,unten::ADV,infra,увтын
704,hinab::ADV,pessum,увтас
705,oben::ADV,supra,вевдӧрас
706,hinauf::ADV,sursum,вывлань
707,hinauf::ADV,sursum,вывланьӧ
708,überall::ADV,ubique,быдлан
709,nicht::ADV,non,ог
710,ein wenig::ADV,paulum,-ышт
711,ein wenig::ADV,paulum,невна
712,kaum::ADV,vix,ӧдва
713,kaum::ADV,aegre,ӧдва
714,sehr::ADV,valde,вывтi
715,sehr::ADV,magnopere,вывтi
716,so::ADV,ita,сiдз
717,noch::ADV,etiam,эшӧ
718,nur::ADV,solum,только
719,nur::ADV,tantum,только
720,schon::ADV,iam,ни
721,wieder::ADV,rursus,бӧра
722,vergebens::ADV,frustra,весись
723,vor::PRP,ante,одзас
724,hinter::PRP,post,бӧрӧ
725,unter::PRP,sub,увтын
726,durch::PRP,per,пыр
727,neben::PRP,iuxta,бокам
728,neben::PRP,iuxta,боксиным
729,zwischen::PRP,inter,коласас
730,wegen::PRP,propter,понда
731,dies::PRN,hoc,эта
732,das::PRN,id,сiя
733,alles::PRN,omnia,быдӧс
734,ich::PRN,ego,ме
735,du::PRN,tu,тэ
736,er::PRN,is,сiя
737,er::PRN,ille,сiя
738,wir::PRN,nos,мийӧ
739,ihr::PRN,vos,ті
740,sie::PRN,ii,нія
741,sie::PRN,illi,нія
742,was::FPRN,quid,мый
743,wer::FPRN,quis,кин
744,wo::FADV,ubi,кытӧн
745,wohin::FADV,quo,кытчӧ
746,wie::FADV,quomodo,дзик
747,warum::FADV,cur,мыля
748,warum::FADV,cur,мыйсянь
749,wieviel::FNUM,quantum,мымда
750,eins::NUM,unus,ӧт
751,zwei::NUM,duo,кык
752,drei::NUM,tres,куим
753,vier::NUM,quattuor,нёль
754,fünf::NUM,quinque,вит
755,sechs::NUM,sex,квать
756,sieben::NUM,septem,сизим
757,acht::NUM,octo,кыкьямыс
758,neun::NUM,novem,ӧкмыс
759,zehn::NUM,decem,дас
760,elf::NUM,undecim,дасотік
761,zwölf::NUM,duodecim,даскык
762,zwanzig::NUM,viginti,кыкдас
763,dreißig::NUM,triginta,куимдас
764,vierzig::NUM,quadraginta,нёльдас
765,fünfzig::NUM,quinquaginta,витдас
766,sechzig::NUM,sexaginta,кватьдас
767,siebzig::NUM,septuaginta,сизимдас
768,achtzig::NUM,octoginta,кыкьямысдас
769,neunzig::NUM,nonaginta,ӧкмысдас
770,hundert::NUM,centum,сто
771,tausend::NUM,mille,тысяча
772,und::CNJ,et,и
773,und::CNJ,et,да
774,und::CNJ,-que,и
775,und::CNJ,-que,да
776,oder::CNJ,vel,или
777,stehen::V,stare,сулавны
778,sitzen::V,sedere,пукавны
779,liegen::V,iacere,куйлыны
780,hängen::V,pendere,ӧшавны
781,werden::V,fieri,лоны
782,passieren::V,accidere,аркмыны
783,beginnen::V,incipere,петны
784,enden::V,finem habere,-сь
785,enden::V,finem habere,бырны
786,wechseln::V,mutari,вежсьыны
787,aufgehen[Sonne]::V,oriri,петавны
788,untergehen[Sonne]::V,occidere,пуксьыны
789,scheinen[Sonne]::V,lucere,югьявны
790,donnern::V,tonare,гымавны
791,wehen::V,flare,пӧлявны
792,strömen::V,fluere,киссьыны
793,fließen::V,manare,визывтны
794,sich drehen::V,torqueri,бергавны
795,schwanken::V,vacillare,кӧвьясьны
796,schwingen::V,vibrare,дюттясьны
797,fallen::V,cadere,усьны
798,brennen::V,ardere,сотчыны
799,rauchen::V,fumare,тшынасьны
800,regnen::V,pluere,зэрны
801,gefrieren::V,congelari,гегдыны
802,tauen::V,rorare,сывны
803,schmelzen::V,liquescere,сывны
804,trocknen::V,arescere,косьмыны
805,sieden::V,fervere,пизьны
806,faulen::V,putescere,нёльзьыны
