,Concept_ID,mdf,cv
462,Getreide::N,сёра,тырӑ
463,Brei::N,ям,пӑтӑ
464,Brot::N,кши,ҫӑкӑр
465,Scheibe::N,кочам,чӗлӗ
466,Scheibe::N,кочам,касӑк
467,Fett::N,куя́,ҫу
468,Butter::N,вай,ҫу
469,Öl::N,вай,ҫу
470,Salz::N,сал,тӑвар
471,Suppe::N,шонгарям,яшка
472,Suppe::N,коршампяль,яшка
473,Honig::N,медь,пыл
474,Milch::N,лофца,сӗт
475,Tee::N,чай,чей
476,Leder::N,кедь,сӑран
477,Wolle::N,пона,ҫӑм
478,Stoff::N,котф,тӗртӗм
479,Nadel::N,салмокс,йӗп
480,Faden::N,сюре,ҫип
481,Knopf::N,пуня,тӳме
482,Knoten::N,сюлма,йӑлӑ
483,Farbe::N,архтомбяль,сӑрӑ
484,Kleidung::N,щам,тум
485,Kleidung::N,щам,ҫипуҫ
486,Kleidung::N,щам,тум-тир
487,Hemd::N,па́нар,кӗпе
488,Kragen::N,сиве,ҫуха
489,Ärmel::N,ожа,ҫанӑ
490,Hose::N,понкст,шӑлавар
491,Gürtel::N,каркс,пиҫиххи
492,Mütze::N,вазь,ҫӗлӗк
493,Schuh::N,башма́к,пушмак
494,Schuh::N,башма́к,ботинок
495,Stiefel::N,кя́ме,атӑ
496,Ring::N,суркс,ҫӗрӗ
497,Band::N,керькс,хаю
498,Band::N,керькс,йӗсме
499,Band::N,лента,хаю
500,Band::N,лента,йӗсме
501,Kamm::N,сюрьхцем,тура
502,Spiegel::N,ванома,тӗкӗр
503,Spiegel::N,ванома,куҫ кӗски
504,Riemen::N,шнань каркс,чӗн
505,Schnur::N,пикс,кантра
506,Schnur::N,карькскя,кантра
507,Leine::N,вядьме,касмӑк
508,Decke::N,вельхкс,утиял
509,Kissen::N,тоду,ҫытар
510,Kissen::N,тоду,минтер
511,Tuch::N,руця́,тутӑр
512,Handtuch::N,на́рдама,ал шӑлли
513,Kraft::N,вий,вӑй
514,Kraft::N,вий,хӑват
515,Stärke::N,вииши,хал
516,Stärke::N,вииши,хӑват
517,Gesundheit::N,шумбраши́,хал
518,Gesundheit::N,шумбраши́,сывлӑх
519,Krankheit::N,урма́,чир
520,Krankheit::N,сярядема,чир
521,Schmerz::N,маряма,ырату
522,Wunde::N,керф,суран
523,Fieber::N,маштыкс,сив чир
524,Arznei::N,надо́бья,эмел
525,Arznei::N,пъчка́фтома,эмел
526,Brücke::N,седь,кӗпер
527,Brunnen::N,эши,ҫӑл
528,Brunnen::N,эши,пусӑ
529,Weide::N,ванома васта,ҫаран
530,Pfad::N,ян,йӗр
531,Pfad::N,ян,сукмак
532,Pfad::N,киня́,йӗр
533,Pfad::N,киня́,сукмак
534,Weg::N,ки,ҫул
535,Weg::N,ки,ҫул-йӗр
536,Straße::N,ки,ҫӳрев
537,Straße::N,ки,ҫул ҫӳрени
538,Dorf::N,веле,ял
539,Stadt::N,ош,хула
540,Brief::N,сёрма,ҫыру
541,Buch::N,книга,кӗнеке
