,Concept_ID,uz,hr
771,danach::ADV,so'ngra,nakon toga
772,vorher::ADV,avval,prije
773,vorher::ADV,avval,prije toga
774,zuerst::ADV,avval,prvo
775,zuerst::ADV,avval,najprije
776,einmal::ADV,bir marta,jednom
777,einmal::ADV,bir marta,jedanput
778,manchmal::ADV,onda-sonda,katkad
779,manchmal::ADV,onda-sonda,katkada
780,oft::ADV,tez-tez,često
781,immer::ADV,har vaqt,vazda
782,immer::ADV,har vaqt,uvijek
783,niemals::ADV,hargiz,nikad
784,niemals::ADV,hargiz,nikada
785,hier::ADV,shu erda,tu
786,hier::ADV,shu erda,ovdje
787,hierhin::ADV,beri,amo
788,hierhin::ADV,beri,ovamo
789,von hier::ADV,shu erdan,odavde
790,dort::ADV,ana,ondje
791,dorthin::ADV,u yerga,onamo
792,geradeaus::ADV,to'g'ri,ravno
793,vorwärts::ADV,ilgari,naprijed
794,rückwärts::ADV,qoloq,natrag
795,zurück::ADV,orqada,nazad
796,zurück::ADV,orqada,natrag
797,unten::ADV,pastda,dolje
798,hinab::ADV,tubanga,nizbrdo
799,oben::ADV,ustida,gore
800,hinauf::ADV,yuqorida,uzbrdo
801,überall::ADV,har erda,svuda
802,überall::ADV,har erda,svagdje
803,nicht::ADV,ämas,ne
804,ein wenig::ADV,biroz,malo
805,kaum::ADV,arang,tek
806,kaum::ADV,arang,jedva
807,sehr::ADV,ancha,jako
808,sehr::ADV,ancha,veoma
809,so::ADV,shunday,tako
810,so::ADV,shunday,ovako
811,noch::ADV,hali,još
812,nur::ADV,yolg'iz,samo
813,schon::ADV,endi,već
814,wieder::ADV,yana,opet
815,wieder::ADV,yana,ponovo
