,Concept_ID,kn,mrj
346,Regal::N,ಬೀರು,полицӓ
347,Kiste::N,ಪಟ್ಟಿಗೆ,шӱ́ндӹк
348,Fenster::N,ಕಿಟಕಿ,окня
349,Tür::N,ಬಾಗಿಲು,амаса
350,Tor::N,ಹೆಬ್ಬಾಗಿಲು,хапка
351,Zaun::N,ಬೇಲಿ,забор
352,Dach::N,ಮಾಳಿಗೆ,левӓш
353,Leiter::N,ಏಣಿ,ташкалтыш
354,Besen::N,ಪೊರಕೆ,сало
355,Besen::N,ಪೊರಕೆ,салко
356,Spaten::N,ಗುದ್ದಲಿ,кольмы
357,Schaufel::N,ಸನಿಕೆ,лоток
358,Gabel::N,ಕವಲು,ви́лка
359,Löffel::N,ಚಮಚ,савала
360,Messer::N,ಚಾಕು,кӹзӹ
361,Nagel::N,ಆಣಿ,пыда
362,Netz::N,ಬಲೆ,вӓпш
363,Haken::N,ಕೊಂಡಿ,крӱк
364,Haken::N,ಕೊಂಡಿ,кагак
365,Griff::N,ಹಿಡಿ,кычем
366,Schloss::N,ವೀಗ,замок
367,Schloss::N,ವೀಗ,сыравач
368,Bild::N,ಚಿತ್ರ,картин
369,Figur::N,ಆಕಾರ,кӓн
370,Puppe::N,ಗೊಂಬೆ,поханя
371,Beutel::N,ಸಂಚಿ,мешӓк
372,Bündel::N,ಕಟ್ಟು,топ
373,Bündel::N,ಕಟ್ಟು,пидӹш
374,Bündel::N,ಕಟ್ಟು,кӹлдӹш
375,Tasche::N,ಚೀಲ,сумкы
376,Eimer::N,ಬಾನೆ,ведӹрӓ
377,Deckel::N,ಮುಚ್ಚಳ,комдыш
378,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,ӓтӹ
379,Sack::N,ಮೂಟೆ,мешӓк
380,Tasse::N,ಬಟ್ಟಲು,цӓшкӓ
381,Topf::N,ಮಡಕೆ,ми́ска
382,Kessel::N,ಕೆಟಲ್,пад
383,Essen::N,ಊಟ,качкыш
384,Essen::N,ಊಟ,качкыш-йӱш
385,Nahrung::N,ಆಹಾರ,качкыш
386,Nahrung::N,ಆಹಾರ,качкыш-йӱш
387,Speise::N,ಊಟ,няня
388,Fleisch::N,ಮಾಂಸ,пай
389,Getreide::N,ಧಾನ್ಯ,киндӹ
390,Brei::N,ಗಂಜಿ,шӹрӓш
391,Brot::N,ರೊಟ್ಟಿ,сыкыр
392,Scheibe::N,ಹೋಳು,ламыт
393,Scheibe::N,ಹೋಳು,лаштык
394,Fett::N,ಕೊಬ್ಬು,кая
395,Butter::N,ಬೆಣ್ಣೆ,ӱ
396,Öl::N,ಎಣ್ಣೆ,ӱ
397,Salz::N,ಉಪ್ಪು,санзал
398,Suppe::N,ಎಸರು,лем
399,Honig::N,ಮಧು,мӱ
400,Milch::N,ಹಾಲು,шӹшер
401,Tee::N,ಚಹ,чӓй
402,Leder::N,ಚಕ್ಕಳ,шарга
403,Leder::N,ಚಕ್ಕಳ,кавашты
404,Wolle::N,ಉಣ್ಣೆ,миж
405,Stoff::N,ಬಟ್ಟೆ,матер
406,Stoff::N,ಬಟ್ಟೆ,матери
407,Nadel::N,ಸೂಜಿ,им
408,Faden::N,ದಾರ,шӹртӹ
409,Knopf::N,ಗುಂಡು,полдыш
410,Knoten::N,ಗಂಟು,пӱкшем
411,Farbe::N,ಬಣ್ಣ,чиӓ
412,Farbe::N,ಬಣ್ಣ,крӓскӓ
413,Kleidung::N,ಅರಿವೆ,выргем
414,Hemd::N,ಅಂಗಿ,тыгыр
415,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,шӱ
416,Ärmel::N,ತೋಳು,шокш
417,Hose::N,ಇಜಾರ,ялаш
418,Gürtel::N,ಬೆಲ್ಟು,ӹштӹ
419,Mütze::N,ಟೋಪಿ,упш
420,Schuh::N,ಪಾದರಕ್ಷೆ,ту́фльы
421,Stiefel::N,ಬೂಟು,кем
422,Ring::N,ಉಂಗುರ,шӓргӓш
423,Band::N,ರಿಬ್ಬನ್,лемтӓ
424,Kamm::N,ಹಣಿಗೆ,шерге
425,Spiegel::N,ಕನ್ನಡಿ,тӹгӹр
426,Riemen::N,ಬಾರು,прӓжӓ
427,Schnur::N,ಹುರಿ,кӓндӹра
428,Leine::N,ಹಗ್ಗ,керем
429,Decke::N,ಕಂಬಳಿ,одеял
430,Kissen::N,ದಿಂಬು,кӹпцӹк
431,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,савыц
432,Handtuch::N,ಚೌಕ,шӹргӹсавыц
433,Handtuch::N,ಚೌಕ,шӹргӹмсавыц
434,Kraft::N,ಬಲ,ви
435,Stärke::N,ಶಕ್ತಿ,ви
436,Gesundheit::N,ಆರೋಗ್ಯ,шу
437,Gesundheit::N,ಆರೋಗ್ಯ,шулык
438,Krankheit::N,ರೋಗ,мыж
439,Schmerz::N,ನೋವು,карштыш
440,Wunde::N,ಗಾಯ,шушыр
441,Fieber::N,ಜ್ವರ,ӱштӹмыж
442,Arznei::N,ಔಷಧ,лекӓрцӹ
443,Brücke::N,ಸೇತುವೆ,кӹвер
444,Brunnen::N,ಬಾವಿ,вӹдсӹнзӓ
445,Weide::N,ಗೋಮಾಳ,ныр
446,Pfad::N,ದಾರಿ,ялгорны
447,Weg::N,ಹಾದಿ,корны
448,Straße::N,ರಸ್ತೆ,корны
449,Dorf::N,ಹಳ್ಳಿ,сола
