,Concept_ID,uz,no
642,plötzlich::ADV,qo'qqisdan,plutselig
643,sofort::ADV,darrov,straks
644,später::ADV,so'ngra,senere
645,jetzt::ADV,hozirgina,nå
646,heute::ADV,bugun,i dag
647,morgen::ADV,ärta,i morgen
648,bald::ADV,toz,snart
649,dann::ADV,keyin,så
650,gestern::ADV,kecha,i går
651,einst::ADV,avvallari,engang
652,damals::ADV,ugal,den gang
653,danach::ADV,so'ngra,deretter
654,vorher::ADV,avval,før
655,vorher::ADV,avval,i forveien
656,zuerst::ADV,avval,først
657,einmal::ADV,bir marta,en gang
658,manchmal::ADV,onda-sonda,somme tider
659,oft::ADV,tez-tez,ofte
660,immer::ADV,har vaqt,alltid
661,niemals::ADV,hargiz,aldri
662,hier::ADV,shu erda,her
663,hierhin::ADV,beri,hit
664,von hier::ADV,shu erdan,herfra
665,dort::ADV,ana,der
666,dorthin::ADV,u yerga,dit
667,geradeaus::ADV,to'g'ri,rett fram
668,vorwärts::ADV,ilgari,fram
669,vorwärts::ADV,ilgari,framover
670,rückwärts::ADV,qoloq,baklengs
671,zurück::ADV,orqada,tilbake
672,unten::ADV,pastda,nede
673,hinab::ADV,tubanga,ned
674,hinab::ADV,tubanga,nedover
675,oben::ADV,ustida,oppe
676,oben::ADV,ustida,ovenpå
677,hinauf::ADV,yuqorida,opp
678,hinauf::ADV,yuqorida,oppover
679,überall::ADV,har erda,overalt
680,nicht::ADV,ämas,ikke
681,ein wenig::ADV,biroz,litt
682,kaum::ADV,arang,neppe
683,sehr::ADV,ancha,svært
684,so::ADV,shunday,så
685,noch::ADV,hali,enda
686,nur::ADV,yolg'iz,bare
687,schon::ADV,endi,alt
688,schon::ADV,endi,allerede
689,wieder::ADV,yana,igjen
690,vergebens::ADV,bekorga,forgjeves
691,vor::PRP,burun,foran
692,vor::PRP,burun,utenfor
693,hinter::PRP,ketida,bak
694,hinter::PRP,ketida,bakom
695,unter::PRP,ostida,under
696,durch::PRP,bo'ylab,gjennom
697,durch::PRP,bo'ylab,igjennom
698,neben::PRP,yonida,ved siden av
699,zwischen::PRP,orada,mellom
700,wegen::PRP,sababli,på grunn av
701,dies::PRN,o'sha,dette
702,das::PRN,narigi,det
703,alles::PRN,har nima,alt
704,ich::PRN,men,jeg
705,du::PRN,sen,du
706,er::PRN,u,han
707,wir::PRN,biz,vi
708,ihr::PRN,siz,dere
709,sie::PRN,ular,de
710,was::FPRN,nima,hva
711,wer::FPRN,kim,hvem
712,wo::FADV,qaerda,hvor
713,wohin::FADV,qayerga,hvor ... hen
714,wie::FADV,qanday,hvordan
715,warum::FADV,nega,hvorfor
716,wieviel::FNUM,qancha,hvor mye
717,eins::NUM,bir,en
718,eins::NUM,bir,ett
719,zwei::NUM,ikki,to
720,drei::NUM,uch,tre
721,vier::NUM,to'rt,fire
722,fünf::NUM,besh,fem
723,sechs::NUM,olti,seks
724,sieben::NUM,etti,sju
725,acht::NUM,sakkiz,åtte
726,neun::NUM,to'qqiz,ni
727,zehn::NUM,o'n,ti
728,elf::NUM,o'n bir,elleve
729,zwölf::NUM,o'n ikki,tolv
730,zwanzig::NUM,yigirma,tjue
731,dreißig::NUM,o'ttiz,tretti
732,vierzig::NUM,qirq,førti
733,fünfzig::NUM,ällik,femti
734,sechzig::NUM,oltmish,seksti
735,siebzig::NUM,etmish,sytti
736,achtzig::NUM,sakson,åtti
737,neunzig::NUM,to'qson,nitti
738,hundert::NUM,yuz,hundre
739,tausend::NUM,ming,tusen
740,und::CNJ,va,og
741,oder::CNJ,yo,eller
742,stehen::V,turmoq,stå
743,sitzen::V,o'tirmoq,sitte
744,liegen::V,yotmoq,ligge
745,hängen::V,osilmoq,henge
746,werden::V,bo'lmoq,bli
747,passieren::V,bo'lib o'tmoq,skje
748,passieren::V,bo'lib o'tmoq,hende
749,beginnen::V,boshlanmoq,begynne
750,enden::V,bitmoq,ende
751,enden::V,bitmoq,slutte
752,wechseln::V,o'zgarmoq,veksle
753,aufgehen[Sonne]::V,chiqmoq,stå opp
754,untergehen[Sonne]::V,botmoq,gå ned
755,scheinen[Sonne]::V,yaraqlamoq,skinne
756,donnern::V,gulduramoq,tordne
757,wehen::V,elpimoq,blåse
758,strömen::V,oqmoq,strømme
759,fließen::V,oqmoq,flyte
760,sich drehen::V,aylanmoq,dreie seg
761,schwanken::V,qoqilmoq,svaie
762,schwingen::V,lopillamoq,svinge
763,fallen::V,tushmoq,falle
764,brennen::V,yonmoq,brenne
765,rauchen::V,tutamoq,ryke
766,regnen::V,yomg'ir yog'moq,regne
767,gefrieren::V,muzlamoq,fryse
768,tauen::V,ärimoq,tine
769,schmelzen::V,ärimoq,smelte
770,trocknen::V,qurimoq,tørre
771,sieden::V,qaynamoq,koke
772,faulen::V,chirimoq,råtne
773,verfaulen::V,chirimoq,råtne
774,reißen::V,qayt qilmoq,briste
775,versinken::V,g'arq bo'lmoq,synke
776,versinken::V,g'arq bo'lmoq,synke ned
777,vergehen::V,o'tmoq,forløpe
778,erscheinen::V,zuhur ätmoq,synes
779,verschwinden::V,yo'qolmoq,forsvinne
780,sinken::V,pasaymoq,synke
781,abnehmen::V,kamaymoq,avta
782,abnehmen::V,kamaymoq,minske
783,zunehmen::V,urchimoq,tilta
784,steigen::V,oshmoq,stige
785,wachsen::V,o'smoq,gro
786,wachsen::V,o'smoq,vokse
787,glänzen::V,porlamoq,skinne
788,funkeln::V,yalt ätmoq,tindre
789,lärmen::V,taraq ätmoq,bråke
790,läuten::V,jiringlamoq,ringe
791,klingeln::V,jiringlamoq,ringe
792,klirren::V,sharaqlamoq,klirre
793,brausen::V,vag'illamoq,bruse
794,rauschen::V,shitirlamoq,suse
795,klingen::V,yangramoq,lyde
796,klingen::V,yangramoq,klinge
797,bellen::V,hurmoq,gjø
798,bellen::V,hurmoq,bjeffe
799,heulen::V,uvlamoq,ule
800,blasen::V,puflamoq,blåse
801,pfeifen::V,xushtak chalmoq ,plystre
802,schreien::V,qiyqirmoq,skrike
803,stöhnen::V,nola qilmoq,stønne
804,zittern::V,titramoq,dirre
805,zittern::V,titramoq,skjelve
806,leben::V,yashamoq,leve
807,geboren werden::V,tug'ilmoq,fødes
808,atmen::V,nafas chiqarmoq,ånde
809,atmen::V,nafas chiqarmoq,puste
810,trinken::V,ichmoq,drikke
811,essen::V,emoq,spise
812,schlucken::V,yutmoq,svelge
813,müde werden::V,horimoq,bli trett
814,einschlafen::V,uxlab qolmoq,sovne
