,Concept_ID,ro,ko
671,kalt::A,rece,찬
672,kühl::A,rece,서늘한
673,kühl::A,răcoros,서늘한
674,frisch::A,răcoros,신선한
675,frisch::A,proaspăt,신선한
676,feucht::A,umed,축축한
677,feucht::A,jilav,축축한
678,nass::A,ud,젖은
679,trocken::A,sec,마른
680,trocken::A,uscat,마른
681,voll::A,plin,완전한
682,leer::A,gol,빈
683,offen::A,deschis,열린
684,geschlossen::A,închis,닫힌
685,sauber::A,curat,깨끗한
686,schmutzig::A,murdar,더러운
687,roh::A,crud,날게잇의
688,reif::A,copt,이근
689,lecker::A,gustos,맛있는
690,süß::A,dulce,단
691,bitter::A,amar,찌르는듯한
692,sauer::A,acru,산성의
693,hell::A,clar,밝은
694,hell::A,luminos,밝은
695,dunkel::A,obscur,어두운
696,dunkel::A,întunecos,어두운
697,schwarz::A,negru,검은
698,weiß::A,alb,하얀
699,rot::A,roșu,붉은
700,gelb::A,galben,황색
701,blau::A,albastru,푸른
702,grün::A,verde,녹색의
703,grau::A,gri,회색의
704,grau::A,cenușiu,회색의
705,bunt::A,colorat,알록달록한
706,billig::A,ieftin,싼
707,teuer::A,scump,값비산
708,wertvoll::A,prețios,가치가많은
709,blind::A,orb,눈먼
710,taub::A,surd,무감간한
711,kräftig::A,tare,강장한
712,kräftig::A,forte,강장한
713,kräftig::A,robust,강장한
714,stark::A,viguros,강한
715,stark::A,puternic,강한
716,schwach::A,slab,약한
717,schwach::A,debil,약한
718,fett::A,gras,실찐
719,schlank::A,zvelt,호리호리한
720,hübsch::A,drăguț,예쁜
721,böse::A,rău,나쁜
722,böse::A,răutăcios,나쁜
723,dumm::A,nerod,어리석은
724,dumm::A,tâmpit,어리석은
725,faul::A,leneș,너덜너덜한
726,fleißig::A,harnic,근면한
727,fleißig::A,sârguincios,근면한
728,geizig::A,calic,인색한
729,geizig::A,zgârcit,인색한
730,klug::A,isteț,
731,klug::A,deștept,
732,geschickt::A,dibaci,교묘한
733,lieb::A,drag,친애하는
734,lieb::A,iubit,친애하는
735,lustig::A,vesel,유쾌한
736,sanft::A,blând,온화한
737,sanft::A,blajin,온화한
738,hungrig::A,flămând,배고픈
739,krank::A,bolnav,병든
740,nackt::A,gol,벌거벗은
741,traurig::A,trist,슬픈
742,traurig::A,mâhnit,슬픈
743,lebendig::A,viu,살아있는
744,gut::A,bun,좋은
745,schlecht::A,rău,나쁜
746,schlecht::A,prost,나쁜
747,richtig::A,drept,바른
748,richtig::A,corect,바른
749,schlimm::A,rău,못된
750,wahr::A,adevărat,참된
751,alt::A,uzat,늙은
752,alt::A,vechi,늙은
