,Concept_ID,mrj,br
534,Januar::N,январ,Genver
535,Januar::N,январь,Genver
536,Februar::N,февраль,C'hwevrer
537,März::N,март,Meurzh
538,April::N,апрель,Ebrel
539,Mai::N,май,Mae
540,Juni::N,июнь,Mezheven
541,Juli::N,июль,Gouhere
542,August::N,август,Eost
543,September::N,сентябрь,Gwengolo
544,Oktober::N,октябрь,Here
545,November::N,ноябрь,Du
546,Dezember::N,декавыр,Kerzu
547,Montag::N,шачмы,Lun
548,Dienstag::N,кышкыжмы,Meurzh
549,Mittwoch::N,вӹрчегӹ,Merc'her
550,Donnerstag::N,изӓрня,Yaou
551,Freitag::N,когарня,Gwener
552,Samstag::N,кукшыгечӹ,Sadorn
553,Sonntag::N,рушӓрня,Sul
554,groß::A,кого,bras
555,klein::A,изи,bihan
556,lang::A,кужы,hir
557,kurz::A,кӹтӹк,berr
558,breit::A,кымда,ledan
559,schmal::A,ӓнгӹсӹр,strizh
560,dicht::A,шӹре,stank
561,dick[Gegenstand]::A,кӹжгӹ,tev
562,dünn::A,вӹцкӹж,moan
563,fein::A,пыльга,munut
564,fest::A,цаткыды,start
565,flach::A,тӓлякӓ,plaen
566,glatt::A,ягылгы,lintr
567,glatt::A,ягылгы,levn
568,hart::A,пингӹдӹ,kalet
569,weich::A,пышкыды,blot
570,rund::A,тӹртӹш,ront
571,spitz::A,кашар,poentet
572,scharf::A,кашар,dremm
573,stumpf::A,нӹшкӹ,talsoc'h
574,schwer::A,нелӹ,pounner
575,schön::A,цевер,kaer
576,schön::A,олмыдшы,kaer
577,heiß::A,шокшы,tomm
578,warm::A,шокшы,tomm
579,kalt::A,ӱштӹ,yen
580,kühl::A,юалгы,yen
581,kühl::A,йонгата,yen
582,frisch::A,йонгата,fresk
583,feucht::A,ӹлӹкшӹ,gleb
584,feucht::A,вӹдӹжгӹ,gleb
585,nass::A,начкы,gleb
586,trocken::A,кукшы,sec'h
587,voll::A,темшӹ,leun
588,voll::A,темыман,leun
589,leer::A,йӓрӓ,goullo
590,offen::A,виш,digor
591,geschlossen::A,чӱчмӹ,serr
592,geschlossen::A,тӹкӹлӓлтшӹ,serr
593,sauber::A,ире,naet
594,schmutzig::A,шоран,lous
595,schmutzig::A,лявӹрӓн,lous
596,schmutzig::A,шорангшы,lous
597,roh::A,пеле кӱшӹ,kriz
598,reif::A,кӱшӹ,darev
599,lecker::A,тотан,lipous
600,lecker::A,тотан,saourus
601,süß::A,мӱӓн,dous
602,bitter::A,качы,c'hwerv
603,sauer::A,шапы,trenk
604,hell::A,соты,sklaer
605,hell::A,валгыды,sklaer
606,dunkel::A,пӹц,teñval
607,dunkel::A,пӹцкемӹш,teñval
608,schwarz::A,шим,du
609,weiß::A,ош,gwenn
610,weiß::A,ошы,gwenn
611,rot::A,якшаргы,ruz
612,gelb::A,сар,melen
613,gelb::A,сары,melen
614,blau::A,симсӹ,glas
615,grün::A,ыжар,gwer
616,grau::A,луды,louet
