,Concept_ID,zh,hr
710,alt::A,旧,star
711,neu::A,新,nov
712,ehemalig::A,以前,bivši
713,alt[Lebewesen]::A,老,star
714,jung::A,年轻,mlad
715,arm::A,贫穷,ubog
716,arm::A,贫穷,siromašan
717,reich::A,富裕,bogat
718,bekannt::A,出名,poznat
719,berühmt::A,著名,čuven
720,berühmt::A,著名,slavan
721,fremd::A,陌生,tuđ
722,fremd::A,陌生,stran
723,verschieden::A,不同,razan
724,verschieden::A,不同,različan
725,nah::A,近,blizak
726,fern::A,遥远,dalek
727,fern::A,遥远,daljnji
728,linker::A,左,lijevi
729,rechter::A,右,desni
730,anderer::A,别的,drugi
731,anderer::A,别的,drugačiji
732,erster::A,第一,prvi
733,zweiter::A,第二,drugi
734,dritter::A,第三,treći
735,letzter::A,最后,zadnji
736,allein::ADV,单独,sam
737,auf einmal::ADV,同时,istodobno
738,zusammen::ADV,一起,skupa
739,zusammen::ADV,一起,zajedno
740,lange::ADV,许久,dugo
741,plötzlich::ADV,忽然,naglo
742,plötzlich::ADV,忽然,iznenada
743,sofort::ADV,立刻,odmah
744,später::ADV,以后,kasnije
745,jetzt::ADV,现在,sad
746,jetzt::ADV,现在,sada
747,heute::ADV,今天,danas
748,morgen::ADV,明天,sutra
749,bald::ADV,即将,skoro
750,bald::ADV,即将,doskora
751,dann::ADV,然后,zatim
752,gestern::ADV,昨天,juče
753,gestern::ADV,昨天,jučer
754,einst::ADV,曾经,negda
755,einst::ADV,曾经,nekada
756,damals::ADV,当时,tada
757,damals::ADV,当时,onda
758,danach::ADV,随后,poslije
759,danach::ADV,随后,nakon toga
760,vorher::ADV,事先,prije
761,vorher::ADV,事先,prije toga
762,zuerst::ADV,首先,prvo
763,zuerst::ADV,首先,najprije
764,einmal::ADV,一次,jednom
765,einmal::ADV,一次,jedanput
766,manchmal::ADV,有时,katkad
767,manchmal::ADV,有时,katkada
768,oft::ADV,时常,često
769,immer::ADV,总是,vazda
770,immer::ADV,总是,uvijek
771,niemals::ADV,从未,nikad
772,niemals::ADV,从未,nikada
773,hier::ADV,这里,tu
774,hier::ADV,这里,ovdje
775,hierhin::ADV,到这里,amo
776,hierhin::ADV,到这里,ovamo
777,von hier::ADV,由此,odavde
778,dort::ADV,那里,ondje
779,dorthin::ADV,到那里,onamo
780,geradeaus::ADV,一直往前,ravno
781,vorwärts::ADV,向前,naprijed
782,rückwärts::ADV,向后,natrag
783,zurück::ADV,退后,nazad
784,zurück::ADV,退后,natrag
785,unten::ADV,下面,dolje
786,hinab::ADV,向下,nizbrdo
787,oben::ADV,上面,gore
788,hinauf::ADV,向上,uzbrdo
789,überall::ADV,到处,svuda
790,überall::ADV,到处,svagdje
791,nicht::ADV,不,ne
792,ein wenig::ADV,一点儿,malo
793,kaum::ADV,几乎不,tek
794,kaum::ADV,几乎不,jedva
795,sehr::ADV,很,jako
796,sehr::ADV,很,veoma
797,so::ADV,如此,tako
798,so::ADV,如此,ovako
799,noch::ADV,还,još
800,nur::ADV,只,samo
801,schon::ADV,已经,već
802,wieder::ADV,又,opet
803,wieder::ADV,又,ponovo
804,vor::PRP,在...面前,pred
805,vor::PRP,在...面前,ispred
806,hinter::PRP,在...背后,za
807,hinter::PRP,在...背后,iza
808,unter::PRP,在...下面,pod
809,unter::PRP,在...下面,ispod
810,durch::PRP,穿过,po
811,durch::PRP,穿过,kroz
812,neben::PRP,在...旁,kraj
813,neben::PRP,在...旁,pored
814,neben::PRP,在...旁,pokraj
815,zwischen::PRP,在...之间,među
816,zwischen::PRP,在...之间,između
817,wegen::PRP,由于,radi
818,wegen::PRP,由于,zbog
