,Concept_ID,de,da
498,groß::A,groß,stor
499,klein::A,klein,lille
500,lang::A,lang,lang
501,kurz::A,kurz,kort
502,breit::A,breit,bred
503,schmal::A,schmal,smal
504,dicht::A,dicht,tæt
505,dick[Gegenstand]::A,dick,tyk
506,dünn::A,dünn,tynd
507,fein::A,fein,fin
508,fest::A,fest,fast
509,flach::A,flach,flad
510,glatt::A,glatt,glat
511,hart::A,hart,hård
512,weich::A,weich,blød
513,rund::A,rund,rund
514,spitz::A,spitz,spids
515,scharf::A,scharf,skarp
516,stumpf::A,stumpf,sløv
517,stumpf::A,stumpf,stump
518,schwer::A,schwer,tung
519,schön::A,schön,skøn
520,heiß::A,heiß,hed
521,warm::A,warm,varm
522,kalt::A,kalt,kold
523,kühl::A,kühl,kølig
524,frisch::A,frisch,frisk
525,feucht::A,feucht,fugtig
526,nass::A,nass,våd
527,trocken::A,trocken,tør
528,voll::A,voll,fuld
529,leer::A,leer,tom
530,offen::A,offen,åben
531,geschlossen::A,geschlossen,lukket
532,sauber::A,sauber,ren
533,schmutzig::A,schmutzig,snavset
534,roh::A,roh,rå
535,reif::A,reif,moden
536,lecker::A,lecker,lækker
537,süß::A,süß,sød
538,bitter::A,bitter,bitter
539,sauer::A,sauer,sur
540,hell::A,hell,lys
541,dunkel::A,dunkel,mørk
542,schwarz::A,schwarz,sort
543,weiß::A,weiß,hvid
544,rot::A,rot,rød
545,gelb::A,gelb,gul
546,blau::A,blau,blå
547,grün::A,grün,grøn
548,grau::A,grau,grå
549,bunt::A,bunt,broget
550,billig::A,billig,billig
551,teuer::A,teuer,dyr
552,wertvoll::A,wertvoll,værdifuld
553,blind::A,blind,blind
554,taub::A,taub,døv
555,kräftig::A,kräftig,kraftig
556,stark::A,stark,stærk
557,schwach::A,schwach,svag
558,fett::A,fett,fed
559,schlank::A,schlank,slank
560,hübsch::A,hübsch,køn
561,böse::A,böse,ond
562,böse::A,böse,slem
563,dumm::A,dumm,dum
564,faul::A,faul,doven
565,fleißig::A,fleißig,flittig
566,geizig::A,geizig,gerrig
567,klug::A,klug,klog
568,geschickt::A,geschickt,dygtig
569,geschickt::A,geschickt,behændig
570,lieb::A,lieb,rar
571,lustig::A,lustig,lystig
572,sanft::A,sanft,blid
573,hungrig::A,hungrig,sulten
574,krank::A,krank,syg
575,nackt::A,nackt,nøgen
576,traurig::A,traurig,bedrøvet
577,lebendig::A,lebendig,levende
578,gut::A,gut,god
579,schlecht::A,schlecht,dårlig
580,richtig::A,richtig,rigtig
581,schlimm::A,schlimm,slem
582,wahr::A,wahr,sand
583,alt::A,alt,gammel
584,neu::A,neu,ny
585,ehemalig::A,ehemalig,forhenværende
586,alt[Lebewesen]::A,alt,gammel
587,jung::A,jung,ung
588,arm::A,arm,fattig
589,reich::A,reich,rig
590,bekannt::A,bekannt,kendt
591,berühmt::A,berühmt,berømt
592,fremd::A,fremd,fremmed
593,verschieden::A,verschieden,forskellig
594,nah::A,nah,nær
