,Concept_ID,mn,da
331,Strich::N,зураас,streg
332,Abstand::N,зай,afstand
333,Entfernung::N,зай,afstand
334,Entfernung::N,хол ойр,afstand
335,Gegend::N,хавь,egn
336,Gegend::N,газар,egn
337,Platz::N,зай,plads
338,Platz::N,завсар,plads
339,Ort::N,газар,sted
340,Ort::N,байр,sted
341,Seite::N,тал,side
342,Seite::N,этгээд,side
343,Mitte::N,төв,midte
344,Mitte::N,дунд,midte
345,Gegenstand::N,юм,genstand
346,Sache::N,үйл,sag
347,Sache::N,хэрэг,sag
348,Rand::N,зах,rand
349,Rand::N,хөвөө,rand
350,Kante::N,ирмэг,kant
351,Ecke::N,өнцөг,hjørne
352,Spitze::N,үзүүр,spids
353,Ende::N,зах,ende
354,Ende::N,үзүүр,ende
355,Loch::N,цоорхой,hul
356,Loch::N,онгорхой,hul
357,Winkel::N,өнцөг,vinkel
358,Muster::N,хээ,mønster
359,Muster::N,угалз,mønster
360,Größe::N,хэмжээ,størrelse
361,Länge::N,урт,længde
362,Höhe::N,өндөр,højde
363,Gewicht::N,жин,vægt
364,Menge::N,тоо,mængde
365,Haufen::N,бөөн,bunke
366,Reihe::N,эгнээ,række
367,Boot::N,завь,båd
368,Ruder::N,сэлүүр,åre
369,Schlitten::N,чарга,kælk
370,Schlitten::N,чарга,slæde
371,Ski::N,цана,ski
372,Lagerfeuer::N,түүдэг,lejrbål
373,Last::N,ачаа,last
374,Last::N,ачаа,byrde
375,Gang::N,явдал,gang
376,Schritt::N,алхам,skridt
377,Norden::N,умар,nord
378,Süden::N,урд,syd
379,Süden::N,өмнө,syd
380,Westen::N,өрнө,vest
381,Westen::N,баруун,vest
382,Osten::N,зүүн,øst
383,Osten::N,дорно,øst
384,Holz::N,мод,træ
385,Brett::N,банз,bræt
386,Platte::N,хавтан,plade
387,Stütze::N,тулгуур,støtte
388,Stütze::N,тулга,støtte
389,Stange::N,сургааг,stang
390,Stock::N,саваа,stok
391,Stab::N,таяг,stav
392,Rohr::N,хоолой,rør
393,Haus::N,гэр,hus
394,Haus::N,байшин,hus
395,Heim::N,гэр,hjem
396,Ofen::N,зуух,ovn
397,Ofen::N,пийшин,ovn
398,Fußboden::N,шал,gulv
399,Tisch::N,ширээ,bord
400,Stuhl::N,сандал,stol
401,Wiege::N,өлгий,vugge
402,Bett::N,ор,seng
403,Regal::N,тавиур,reol
404,Kiste::N,авдар,kasse
