,Concept_ID,cs,kv
695,plötzlich::ADV,vtom,друг
696,plötzlich::ADV,náhle,друг
697,sofort::ADV,hned,тшӧтш
698,sofort::ADV,ihned,тшӧтш
699,später::ADV,později,медбӧрын
700,jetzt::ADV,teď,ӧні
701,jetzt::ADV,nyní,ӧні
702,heute::ADV,dnes,талун
703,heute::ADV,dneska,талун
704,morgen::ADV,zítra,ашын
705,bald::ADV,brzo,чожа
706,dann::ADV,pak,сыбӧрын
707,dann::ADV,potom,сыбӧрын
708,gestern::ADV,včera,тӧн
709,einst::ADV,kdysi,ӧтпыр
710,damals::ADV,tehdy,сэк
711,damals::ADV,tehdy,сэки
712,damals::ADV,tenkrát,сэк
713,damals::ADV,tenkrát,сэки
714,danach::ADV,podle toho,сэсся
715,vorher::ADV,dříve,одзжык
716,vorher::ADV,napřed,одзжык
717,zuerst::ADV,nejprve,наперво
718,zuerst::ADV,nejdříve,наперво
719,einmal::ADV,jednou,ӧтпыр
720,manchmal::ADV,někdy,мукӧдпыр
721,oft::ADV,často,-лы-
722,immer::ADV,vždy,быдпыр
723,immer::ADV,vždy,быдпырся
724,immer::ADV,stále,быдпыр
725,immer::ADV,stále,быдпырся
726,niemals::ADV,nikdy,некӧр
727,hier::ADV,zde,татӧн
728,hier::ADV,tady,татӧн
729,hierhin::ADV,sem,татчӧ
730,von hier::ADV,odtud,тасянь
731,dort::ADV,tam,сэтӧн
732,dorthin::ADV,tam,сэтчин
733,geradeaus::ADV,rovně,веськыта
734,vorwärts::ADV,kupředu,одзӧ
735,rückwärts::ADV,zpět,бӧр
736,zurück::ADV,zpět,бӧр
737,zurück::ADV,nazpět,бӧр
738,unten::ADV,dole,увтын
739,hinab::ADV,dolů,увтас
740,oben::ADV,nahoře,вевдӧрас
741,oben::ADV,navrchu,вевдӧрас
742,hinauf::ADV,nahoru,вывлань
743,hinauf::ADV,nahoru,вывланьӧ
744,überall::ADV,všude,быдлан
745,nicht::ADV,ne,ог
746,ein wenig::ADV,trochu,-ышт
747,ein wenig::ADV,trochu,невна
748,kaum::ADV,sotva,ӧдва
749,sehr::ADV,velmi,вывтi
750,sehr::ADV,velice,вывтi
751,so::ADV,tak,сiдз
752,so::ADV,takto,сiдз
753,noch::ADV,ještě,эшӧ
754,nur::ADV,jen,только
755,nur::ADV,jenom,только
756,schon::ADV,už,ни
757,schon::ADV,již,ни
758,wieder::ADV,zase,бӧра
759,vergebens::ADV,marně,весись
760,vor::PRP,před,одзас
761,hinter::PRP,za,бӧрӧ
762,unter::PRP,pod,увтын
763,durch::PRP,skrz,пыр
764,neben::PRP,vedle,бокам
765,neben::PRP,vedle,боксиным
766,zwischen::PRP,mezi,коласас
767,wegen::PRP,pro,понда
768,dies::PRN,toto,эта
769,dies::PRN,tohle,эта
770,das::PRN,to,сiя
771,alles::PRN,všechno,быдӧс
772,ich::PRN,já,ме
773,du::PRN,ty,тэ
774,er::PRN,on,сiя
775,wir::PRN,my,мийӧ
776,ihr::PRN,vy,ті
777,sie::PRN,oni,нія
778,was::FPRN,co,мый
779,wer::FPRN,kdo,кин
780,wo::FADV,kde,кытӧн
781,wohin::FADV,kam,кытчӧ
782,wie::FADV,jak,дзик
783,warum::FADV,proč,мыля
784,warum::FADV,proč,мыйсянь
785,wieviel::FNUM,kolik,мымда
786,eins::NUM,jeden,ӧт
787,zwei::NUM,dva,кык
788,drei::NUM,tři,куим
789,vier::NUM,čtyři,нёль
790,fünf::NUM,pět,вит
791,sechs::NUM,šest,квать
792,sieben::NUM,sedm,сизим
793,acht::NUM,osm,кыкьямыс
794,neun::NUM,devět,ӧкмыс
795,zehn::NUM,deset,дас
796,elf::NUM,jedenáct,дасотік
797,zwölf::NUM,dvanáct,даскык
