,Concept_ID,ja,sk
499,Tuch::N,スカーフ,šatka
500,Handtuch::N,タオル,uterák
501,Kraft::N,力,moc
502,Stärke::N,強さ,sila
503,Gesundheit::N,健康,zdravie
504,Krankheit::N,病気,nemoc
505,Krankheit::N,病気,choroba
506,Schmerz::N,痛み,bolesť
507,Wunde::N,傷,rana
508,Fieber::N,熱,horúčka
509,Arznei::N,薬,liek
510,Brücke::N,橋,most
511,Brunnen::N,井戸,studňa
512,Weide::N,牧場,pastva
513,Pfad::N,小路,chodník
514,Weg::N,道,cesta
515,Straße::N,街道,hradská
516,Dorf::N,村,dedina
517,Stadt::N,町,mesto
518,Stadt::N,都市,mesto
519,Brief::N,手紙,list
520,Buch::N,本,kniha
521,Buchstabe::N,文字,litera
522,Buchstabe::N,文字,písmeno
523,Zeitung::N,新聞,noviny
524,Leben::N,生活,život
525,Tod::N,死,smrť
526,Grab::N,墓,hrob
527,Kirche::N,教会,kostol
528,Sünde::N,罪,hriech
529,Gott::N,神,boh
530,Arbeiter::N,労働者,robotník
531,Arbeiter::N,労働者,pracnovík
532,Chef::N,上司,šéf
533,Chef::N,上司,riaditeľ
534,Meister::N,達人,majster
535,Meister::N,マイスター,majster
536,Arzt::N,医者,lekár
537,Lehrer::N,先生,učiteľ
538,Geld::N,金,peniaze
539,Geschäft::N,取り引き,obchod
540,Laden::N,店,obchod
541,Preis::N,値段,cena
542,Ware::N,商品,tovar
543,Nutzen::N,利益,osoh
544,Nutzen::N,利益,úžitok
545,Reichtum::N,豊かさ,bohatstvo
546,Welt::N,世界,svet
547,Land::N,国,územie
548,Land::N,国,krajina
549,Staat::N,国家,štát
550,König::N,国王,kráľ
551,Macht::N,権力,moc
552,Macht::N,権力,mocnosť
553,Grenze::N,国境,hranica
554,Krieg::N,戦争,vojna
555,Feind::N,敵,nepriateľ
556,Gewalt::N,暴力,násilie
557,Kampf::N,戦い,boj
558,Bogen[Waffe]::N,弓,luk
559,Pfeil::N,矢,šíp
560,Pfeil::N,矢,strela
561,Gewehr::N,銃,puška
562,Fehler::N,間違い,omyl
563,Fehler::N,間違い,chyba
564,Lüge::N,嘘,lož
565,Schaden::N,損害,ujma
566,Schaden::N,損害,škoda
567,Unglück::N,不幸,nešťastie
568,Schuld::N,罪,vina
569,Schuld::N,罪,previnenie
570,Alter::N,年,vek
571,Alter::N,年齢,vek
572,Schluss::N,終わり,záver
573,Schluss::N,終わり,koniec
574,Zeit::N,時,čas
575,Zeit::N,時間,čas
576,Tag::N,日,deň
577,Morgen::N,朝,ráno
578,Mittag::N,昼,poludnie
579,Abend::N,晩,večer
580,Abend::N,夕方,večer
581,Nacht::N,夜,noc
582,Woche::N,週,týždeň
583,Monat::N,月,mesiac
584,Jahr::N,年,rok
585,Frühling::N,春,jar
586,Sommer::N,夏,leto
587,Herbst::N,秋,jeseň
588,Winter::N,冬,zima
589,Januar::N,一月,január
590,Februar::N,二月,február
591,März::N,三月,marec
592,April::N,四月,apríl
593,Mai::N,五月,máj
594,Juni::N,六月,jún
595,Juli::N,七月,júl
596,August::N,八月,august
597,September::N,九月,september
598,Oktober::N,十月,október
599,November::N,十一月,november
600,Dezember::N,十二月,december
601,Montag::N,月曜日,pondelok
602,Dienstag::N,火曜日,utorok
603,Mittwoch::N,水曜日,streda
604,Donnerstag::N,木曜日,štvrtok
605,Freitag::N,金曜日,piatok
606,Samstag::N,土曜日,sobota
607,Sonntag::N,日曜日,nedeľa
608,groß::A,大きい,veľký
609,klein::A,小さい,malý
610,lang::A,長い,dlhý
611,kurz::A,短い,krátky
612,breit::A,広い,široký
613,schmal::A,狭い,úzky
614,dicht::A,密な,hustý
615,dick[Gegenstand]::A,厚い,tlstý
616,dünn::A,薄い,tenký
617,fein::A,細い,jemný
618,fest::A,硬い,pevný
619,flach::A,平らな,rovný
620,flach::A,平らな,plochý
621,glatt::A,滑らかな,hladký
622,hart::A,堅い,tvrdý
623,weich::A,柔らかい,mäkký
624,rund::A,丸い,guľatý
625,rund::A,丸い,okrúhly
626,spitz::A,尖った,končitý
627,scharf::A,鋭い,ostrý
628,stumpf::A,鈍い,tupý
629,schwer::A,重い,ťažký
630,schön::A,綺麗な,pekný
631,schön::A,綺麗な,krásny
632,heiß::A,熱い,horúci
633,warm::A,温かい,teplý
634,kalt::A,寒い,studený
635,kalt::A,冷たい,studený
636,kühl::A,涼しい,chladný
637,frisch::A,ひんやりした,svieži
638,feucht::A,湿った,vlhký
639,feucht::A,湿った,zvlhnutý
640,nass::A,濡れた,mokrý
641,trocken::A,乾いた,suchý
642,voll::A,いっぱいの,plný
643,leer::A,空の,prázdny
644,offen::A,開いた,otvorený
645,geschlossen::A,閉まった,zavretý
646,sauber::A,清潔な,čistý
647,schmutzig::A,汚い,špinavý
648,roh::A,生の,surový
649,reif::A,熟した,zrelý
650,lecker::A,美味しい,chutný
651,süß::A,甘い,sladký
652,bitter::A,苦い,horký
653,sauer::A,酸っぱい,kyslý
654,hell::A,明るい,jasný
655,hell::A,明るい,svetlý
656,dunkel::A,暗い,temný
657,schwarz::A,黒い,čierny
658,weiß::A,白い,biely
659,rot::A,赤い,červený
660,gelb::A,黄色い,žltý
661,blau::A,青い,modrý
662,blau::A,青い,belasý
663,grün::A,緑の,zelený
664,grau::A,灰色の,šedý
665,bunt::A,色取り取りの,pestrý
666,billig::A,安い,lacný
667,teuer::A,高い,drahý
668,wertvoll::A,貴重な,cenný
669,blind::A,盲目の,slepý
670,taub::A,耳が聞こえない,hluchý
671,kräftig::A,強力な,silný
672,stark::A,強い,silný
673,schwach::A,弱い,slabý
674,schwach::A,弱い,bezvládny
675,fett::A,太った,tučný
676,schlank::A,ほっそりした,štíhly
677,hübsch::A,素敵な,šumný
678,hübsch::A,素敵な,švárny
679,böse::A,悪い,zlý
680,dumm::A,馬鹿な,hlúpy
681,faul::A,怠惰な,lenivý
682,fleißig::A,勤勉な,snaživý
683,fleißig::A,勤勉な,usilovný
684,geizig::A,けちな,skupý
685,geizig::A,けちな,lakomý
686,klug::A,賢い,múdry
687,klug::A,賢い,bystrý
688,klug::A,頭のいい,múdry
689,klug::A,頭のいい,bystrý
690,geschickt::A,器用な,zručný
691,geschickt::A,器用な,šikovný
692,lieb::A,愛らしい,milý
693,lustig::A,楽しい,veselý
694,sanft::A,温和な,nežný
695,hungrig::A,空腹の,lačný
696,hungrig::A,空腹の,hladný
697,krank::A,病気の,chorý
698,krank::A,病気の,nemocný
699,nackt::A,裸の,nahý
700,traurig::A,悲しい,smutný
701,lebendig::A,生きた,živý
702,gut::A,良い,dobrý
703,schlecht::A,悪い,zlý
704,schlecht::A,駄目な,zlý
705,richtig::A,正しい,správny
706,schlimm::A,ひどい,zlý
707,schlimm::A,ひどい,nepríjemný
708,wahr::A,本当の,pravý
709,wahr::A,本当の,pravdivý
710,alt::A,古い,starý
711,neu::A,新しい,nový
712,ehemalig::A,以前の,bývalý
713,alt[Lebewesen]::A,年を取った,starý
714,jung::A,若い,mladý
715,arm::A,貧乏な,chudobný
716,reich::A,裕福な,bohatý
717,bekannt::A,有名な,známy
718,berühmt::A,有名な,slávny
719,berühmt::A,有名な,povestný
720,fremd::A,見知らぬ,cudzí
721,verschieden::A,色々な,rôzny
722,verschieden::A,色々な,rozličný
723,nah::A,近い,blízky
724,fern::A,遠い,ďaleký
725,linker::A,左の,ľavý
726,rechter::A,右の,pravý
727,anderer::A,別の,iný
728,anderer::A,別の,druhý
729,erster::A,一番目,prvý
730,zweiter::A,二番目,druhý
731,dritter::A,三番目,tretí
732,letzter::A,最後の,ostatný
733,letzter::A,最後の,posledný
734,allein::ADV,一人で,sám
735,auf einmal::ADV,同時に,zároveň
736,zusammen::ADV,一緒に,spolu
737,zusammen::ADV,一緒に,spoločne
738,lange::ADV,長い間,dlho
739,plötzlich::ADV,急に,náhle
740,sofort::ADV,すぐに,hneď
741,sofort::ADV,すぐに,ihneď
742,später::ADV,後で,neskoršie
743,jetzt::ADV,今,teraz
744,heute::ADV,今日,dnes
745,morgen::ADV,明日,zajtra
746,bald::ADV,間もなく,skoro
747,dann::ADV,それから,nato
748,dann::ADV,それから,potom
749,gestern::ADV,昨日,včera
750,einst::ADV,過去に,kedysi
751,einst::ADV,過去に,niekedy
752,damals::ADV,あの時,vtedy
753,danach::ADV,その後で,potom
754,danach::ADV,その後で,podľa toho
755,vorher::ADV,以前に,napred
756,vorher::ADV,以前に,predtým
757,zuerst::ADV,まず,najprv
758,zuerst::ADV,最初に,najprv
759,einmal::ADV,一回,raz
760,einmal::ADV,一回,jedenkrát
761,manchmal::ADV,時々,občas
762,manchmal::ADV,時々,niekedy
763,oft::ADV,よく,často
764,immer::ADV,いつも,vždy
765,immer::ADV,いつも,ustavične
766,niemals::ADV,一度も...ない,nikdy
767,hier::ADV,こちら,tu
768,hierhin::ADV,ここへ,sem
769,hierhin::ADV,ここへ,tade
770,hierhin::ADV,こちらへ,sem
771,hierhin::ADV,こちらへ,tade
772,von hier::ADV,ここから,odtiaľto
773,dort::ADV,そちら,tam
774,dorthin::ADV,そこへ,ta
775,dorthin::ADV,そこへ,tam
776,dorthin::ADV,そちらへ,ta
777,dorthin::ADV,そちらへ,tam
778,geradeaus::ADV,真っ直ぐに,rovno
779,geradeaus::ADV,真っ直ぐに,priamo
780,vorwärts::ADV,前へ,napred
781,rückwärts::ADV,後ろへ,nazad
782,zurück::ADV,後ろへ,späť
783,zurück::ADV,後ろへ,naspäť
