,Concept_ID,lt,sl
465,Nahrung::N,maistas,živílo
466,Speise::N,patiekalas,jéd
467,Fleisch::N,mėsa,mesó
468,Getreide::N,javai,žíto
469,Brei::N,košė,káša
470,Brot::N,duona,krùh
471,Scheibe::N,riekė,réženj
472,Fett::N,taukai,mást
473,Fett::N,taukai,maščôba
474,Fett::N,riebalai,mást
475,Fett::N,riebalai,maščôba
476,Butter::N,sviestas,máslo
477,Öl::N,aliejus,ólje
478,Salz::N,druska,sól
479,Suppe::N,sriuba,júha
480,Honig::N,medus,méd
481,Milch::N,pienas,mléko
482,Tee::N,arbata,čáj
483,Leder::N,oda,úsnje
484,Wolle::N,vilna,vólna
485,Stoff::N,audeklas,blagó
486,Nadel::N,adata,ígla
487,Faden::N,gija,nít
488,Faden::N,siūlas,nít
489,Knopf::N,saga,gúmb
490,Knoten::N,mazgas,vôzel
491,Farbe::N,dažai,bárva
492,Kleidung::N,rūbai,obléka
493,Kleidung::N,drabužiai,obléka
494,Hemd::N,marškiniai,srájca
495,Kragen::N,apykaklė,ovrátnik
496,Ärmel::N,rankovė,rokáv
497,Hose::N,kelnės,hláče
498,Gürtel::N,juosta,pás
499,Gürtel::N,diržas,pás
500,Mütze::N,kepurė,kápa
501,Mütze::N,kepurė,čépica
502,Schuh::N,batas,čévelj
503,Stiefel::N,auliniai batai,škórenj
504,Ring::N,žiedas,pŕstan
505,Band::N,kaspinas,trák
506,Kamm::N,šukos,glavník
507,Spiegel::N,veidrodis,zrcálo
508,Spiegel::N,veidrodis,ogledálo
509,Riemen::N,diržas,jêrmen
510,Schnur::N,virvė,vŕvca
511,Leine::N,pavadėlis,konôpec
512,Decke::N,antklodė,odéja
513,Kissen::N,pagalvė,blazína
514,Kissen::N,priegalvis,blazína
515,Tuch::N,skarelė,pŕt
516,Tuch::N,skarelė,rúta
517,Handtuch::N,rankšluostis,brisáča
518,Kraft::N,jėga,síla
519,Stärke::N,stiprumas,jákost
520,Gesundheit::N,sveikata,zdrávje
521,Krankheit::N,liga,bolézen
522,Schmerz::N,skausmas,ból
523,Schmerz::N,skausmas,bolečína
524,Wunde::N,žaizda,rána
525,Fieber::N,karštis,vročína
526,Arznei::N,vaistas,lék
527,Arznei::N,vaistas,zdravílo
528,Brücke::N,tiltas,móst
529,Brunnen::N,šulinys,vodnják
530,Weide::N,ganykla,páša
531,Weide::N,gluosnis,páša
532,Pfad::N,takas,stezà
533,Weg::N,kelias,pót
534,Straße::N,gatvė,césta
535,Dorf::N,kaimas,vás
536,Dorf::N,sodžius,vás
537,Stadt::N,miestas,mésto
538,Brief::N,laiškas,písmo
539,Buch::N,knyga,knjíga
540,Buchstabe::N,raidė,čŕka
541,Zeitung::N,laikraštis,čásnik
542,Leben::N,gyvybė,življênje
543,Leben::N,gyvenimas,življênje
544,Tod::N,mirtis,smŕt
545,Grab::N,kapas,gròb
546,Kirche::N,bažnyčia,cérkev
547,Sünde::N,nuodėmė,gréh
548,Sünde::N,nusidėjimas,gréh
549,Gott::N,dievas,bóg
550,Arbeiter::N,darbininkas,délavec
551,Chef::N,šefas,šéf
552,Chef::N,vadovas,šéf
553,Chef::N,viršininkas,šéf
554,Meister::N,meistras,mójster
555,Arzt::N,gydytojas,zdravník
556,Lehrer::N,mokytojas,učítelj
557,Geld::N,pinigai,denár
558,Geschäft::N,biznis,kupčíja
559,Laden::N,krautuvė,trgovína
560,Laden::N,parduotuvė,trgovína
561,Preis::N,kaina,céna
562,Ware::N,prekė,róba
563,Nutzen::N,nauda,príd
564,Nutzen::N,pelnas,príd
565,Reichtum::N,turtas,bogástvo
566,Welt::N,pasaulis,svét
567,Land::N,žemė,dežêla
568,Land::N,šalis,dežêla
569,Staat::N,valstija,držáva
570,König::N,karalius,králj
571,Macht::N,galia,oblást
572,Macht::N,valdžia,oblást
573,Grenze::N,riba,mêja
574,Grenze::N,siena,mêja
575,Krieg::N,karas,vôjna
576,Feind::N,priešas,sovrážnik
577,Gewalt::N,jėga,nasílje
578,Gewalt::N,smurtas,nasílje
579,Gewalt::N,prievarta,nasílje
580,Kampf::N,kova,bòj
581,Kampf::N,kova,bórba
582,Bogen[Waffe]::N,lankas,lók
583,Pfeil::N,strėlė,puščíca
584,Gewehr::N,šautuvas,púška
585,Fehler::N,klaida,zmóta
586,Lüge::N,melas,láž
587,Schaden::N,nuostolis,okvára
588,Schaden::N,apgadinimas,okvára
589,Unglück::N,nelaimė,nesréča
590,Schuld::N,kaltė,krívda
591,Alter::N,amžius,dôba
592,Schluss::N,pabaiga,kônec
593,Zeit::N,laikas,čàs
594,Tag::N,diena,dán
595,Morgen::N,rytas,jútro
596,Mittag::N,vidurdienis,póldan
597,Abend::N,vakaras,večér
598,Nacht::N,naktis,nóč
599,Woche::N,savaitė,téden
600,Monat::N,mėnuo,mésec
601,Jahr::N,metai,léto
602,Frühling::N,pavasaris,pomlád
603,Sommer::N,vasara,polétje
604,Herbst::N,ruduo,jesén
605,Winter::N,žiema,zíma
606,Januar::N,sausis,jánuar
607,Februar::N,vasaris,fébruar
608,März::N,kovas,márec
609,April::N,balandis,apríl
610,Mai::N,gegužė,máj
611,Juni::N,birželis,júnij
612,Juli::N,liepa,júlij
613,August::N,rugpjūtis,avgúst
614,September::N,rugsėjis,septêmber
615,Oktober::N,spalis,október
616,November::N,lapkritis,novêmber
617,Dezember::N,gruodis,decémber
618,Montag::N,pirmadienis,ponedéljek
619,Dienstag::N,antradienis,tôrek
620,Mittwoch::N,trečiadienis,sréda
621,Donnerstag::N,ketvirtadienis,četŕtek
622,Freitag::N,penktadienis,pétek
623,Samstag::N,šeštadienis,sobóta
624,Sonntag::N,sekmadienis,nedélja
625,groß::A,didis,vêlik
626,groß::A,didelis,vêlik
627,klein::A,mažas,májhen
628,lang::A,ilgas,dólg
629,kurz::A,trumpas,krátek
630,breit::A,platus,širòk
631,schmal::A,smulkus,ózek
632,dicht::A,tankus,góst
633,dick[Gegenstand]::A,storas,dêbel
634,dünn::A,plonas,tánek
635,fein::A,smulkus,drôben
636,fest::A,kietas,tŕden
637,fest::A,tvirtas,tŕden
638,flach::A,lėkštas,plán
639,flach::A,lėkštas,plòsk
640,flach::A,plokščias,plán
641,flach::A,plokščias,plòsk
642,glatt::A,slidus,gládek
643,hart::A,kietas,tŕd
644,weich::A,minkštas,mehák
645,rund::A,apvalus,okrógel
646,rund::A,apskritas,okrógel
647,spitz::A,aštrus,šílast
648,spitz::A,smailus,šílast
649,scharf::A,aštrus,óster
650,stumpf::A,bukas,tóp
651,stumpf::A,bukas,skŕhan
652,stumpf::A,atšipęs,tóp
653,stumpf::A,atšipęs,skŕhan
654,schwer::A,sunkus,têžek
655,schön::A,gražus,lép
656,schön::A,gražus,krásen
657,heiß::A,karštas,vròč
658,warm::A,šiltas,tôpel
659,kalt::A,šaltas,mŕzel
660,kalt::A,šaltas,hláden
661,kühl::A,vėsus,hláden
662,kühl::A,bejausmis,hláden
663,frisch::A,šviežias,svéž
664,feucht::A,drėgnas,vlážen
665,nass::A,šlapias,móker
666,trocken::A,sausas,súh
667,voll::A,pilnas,póln
668,leer::A,tuščias,prázen
669,offen::A,atviras,odpŕt
670,geschlossen::A,uždaras,zapŕt
671,geschlossen::A,uždarytas,zapŕt
672,sauber::A,švarus,číst
673,sauber::A,švarus,líčen
674,schmutzig::A,nešvarus,umázan
675,schmutzig::A,purvinas,umázan
676,roh::A,žalias,suròv
677,reif::A,prinokęs,zrèl
678,reif::A,pribrendęs,zrèl
679,lecker::A,gardus,okúsen
680,süß::A,saldus,sládek
681,bitter::A,kartus,grenák
682,sauer::A,gižus,kísel
683,sauer::A,rūgštus,kísel
684,hell::A,šviesus,svetèl
685,hell::A,skaistus,svetèl
686,dunkel::A,tamsus,temèn
687,schwarz::A,juodas,čŕn
688,weiß::A,baltas,bél
689,rot::A,raudonas,rdèč
690,gelb::A,geltonas,žólt
691,gelb::A,geltonas,rumèn
692,blau::A,mėlynas,móder
693,grün::A,žalias,zelèn
694,grau::A,pilkas,sív
695,bunt::A,margas,písan
696,bunt::A,spalvotas,písan
697,billig::A,pigus,pocéni
698,teuer::A,brangus,drág
699,wertvoll::A,vertingas,dragocén
700,blind::A,aklas,slép
701,taub::A,kurčias,glúh
702,kräftig::A,stiprus,močán
703,stark::A,stiprus,ják
704,schwach::A,silpnas,šíbek
705,fett::A,riebus,dêbel
706,schlank::A,laibas,vítek
707,schlank::A,lieknas,vítek
708,hübsch::A,gražus,lép
709,böse::A,blogas,zèl
710,böse::A,blogas,hudôben
711,dumm::A,paikas,glúp
712,dumm::A,paikas,bédast
713,dumm::A,kvailas,glúp
714,dumm::A,kvailas,bédast
715,faul::A,tingus,lén
716,fleißig::A,stropus,marljív
717,fleißig::A,kruopštus,marljív
718,geizig::A,šykštus,škŕt
719,klug::A,sumanus,pámeten
720,klug::A,protingas,pámeten
721,geschickt::A,apsukrus,spréten
722,lieb::A,mielas,míl
723,lieb::A,mielas,ljúb
724,lustig::A,smagus,vesél
725,lustig::A,linksmas,vesél
726,sanft::A,švelnus,láhek
727,sanft::A,minkštas,láhek
728,hungrig::A,alkanas,láčen
729,krank::A,ligotas,bolán
730,krank::A,sergantis,bolán
731,nackt::A,nuogas,nág
732,traurig::A,liūdnas,túžen
733,lebendig::A,gyvas,žív
734,gut::A,geras,dóber
735,schlecht::A,blogas,malopríden
736,schlecht::A,prastas,malopríden
737,richtig::A,tikras,pravílen
738,richtig::A,teisingas,pravílen
739,schlimm::A,blogas,húd
740,schlimm::A,prastas,húd
741,wahr::A,tikras,resníčen
742,alt::A,senas,stàr
743,neu::A,naujas,nòv
744,ehemalig::A,buvęs,nekdánji
745,alt[Lebewesen]::A,pagyvenęs,stàr
746,jung::A,jaunas,mlád
747,arm::A,neturtingas,ubóg
748,arm::A,neturtingas,réven
749,reich::A,turtingas,bogàt
750,bekannt::A,žinomas,znán
751,bekannt::A,pažįstamas,znán
752,berühmt::A,žymus,sláven
753,berühmt::A,žymus,znamenít
754,berühmt::A,garsus,sláven
755,berühmt::A,garsus,znamenít
