,Concept_ID,sq,mrj
358,Ende::N,skaj,мычаш
359,Ende::N,bisht,вуй
360,Ende::N,bisht,мычаш
361,Loch::N,vrimë,ыраж
362,Winkel::N,kënd,лык
363,Muster::N,mostër,тӹрлец
364,Größe::N,madhësi,кӱкшӹц
365,Länge::N,gjatësi,кыт
366,Höhe::N,lartësi,кӱкшӹц
367,Gewicht::N,peshë,нелӹц
368,Menge::N,sasi,шот
369,Haufen::N,grumbull,ара
370,Reihe::N,radhë,ряд
371,Reihe::N,rresht,ряд
372,Boot::N,barkë,пыш
373,Boot::N,lundër,пыш
374,Ruder::N,rrem,вешлӓ
375,Schlitten::N,sajë,тир
376,Ski::N,ski,ечӹ
377,Lagerfeuer::N,flakadan,тыл
378,Lagerfeuer::N,zjarr i madh,тыл
379,Last::N,barrë,нелӹц
380,Gang::N,ecje,ход
381,Schritt::N,hap,ашкыл
382,Norden::N,veri,йыдпелвел
383,Süden::N,jug,кечӹвӓлвел
384,Westen::N,perëndim,кечӹ шӹцмӹ
385,Osten::N,lindje,ирвел
386,Osten::N,lindje,кечӹ лӱлтмӹ
387,Holz::N,dru,пушӓнгӹ
388,Brett::N,dërrasë,ханга
389,Platte::N,pllakë,плитӓ
390,Stütze::N,shtyllë,цӓрӓк
391,Stütze::N,mbështetesë,цӓрӓк
392,Stange::N,shufër,равы
393,Stange::N,shufër,намаш
394,Stock::N,dajak,панды
395,Stab::N,shkop,равы
396,Rohr::N,tub,пыч
397,Haus::N,shtëpi,пöрт
398,Heim::N,konak,пöрт
399,Heim::N,shtëpi,пöрт
400,Ofen::N,sobë,камака
401,Ofen::N,stufë,камака
402,Fußboden::N,dysheme,седӹрӓ
403,Tisch::N,tryezë,стöл
404,Stuhl::N,karrige,пöкен
405,Wiege::N,djep,шипкӓ
406,Bett::N,shtrat,койка
407,Bett::N,shtrat,кравать
408,Regal::N,raft,полицӓ
409,Kiste::N,kuti,шӱ́ндӹк
410,Fenster::N,dritare,окня
411,Tür::N,derë,амаса
412,Tor::N,portë,хапка
413,Zaun::N,gardh,забор
414,Dach::N,çati,левӓш
415,Leiter::N,shkallë,ташкалтыш
416,Besen::N,fshesë,сало
417,Besen::N,fshesë,салко
418,Spaten::N,lopatë,кольмы
419,Schaufel::N,qyrek,лоток
420,Gabel::N,pirun,ви́лка
421,Löffel::N,lugë,савала
422,Messer::N,thikë,кӹзӹ
423,Nagel::N,gozhdë,пыда
424,Netz::N,rrjetë,вӓпш
425,Haken::N,grep,крӱк
426,Haken::N,grep,кагак
