,Concept_ID,mn,av
110,Schmutz::N,хир,чороклъи
111,Schmutz::N,шавхай,чороклъи
112,See::N,нуур,хӏор
113,Sumpf::N,намаг,хьуцӏ
114,Sumpf::N,балчиг,хьуцӏ
115,Moor::N,хүлрийн намаг,
116,Wiese::N,нуга,мегъ
117,Wiese::N,нуга,гӏурдаллъи
118,Wald::N,ой,рохь
119,Hügel::N,болдог,гохӏ
120,Anhöhe::N,гүвээ,сийитма
121,Berg::N,уул,мегӏер
122,Gipfel::N,орой,тӏогь
123,Gipfel::N,оргил,тӏогь
124,Höhle::N,агуй,нохъо
125,Abhang::N,хүр,лабаллъи
126,Quelle::N,булаг,ицц
127,Bach::N,горхи,лъар
128,Fluss::N,гол,гӏор
129,Fluss::N,мөрөн,гӏор
130,Ufer::N,эрэг,рагӏал
131,Küste::N,эрэг,рагӏал
132,Festland::N,хуурай газар,ракь
133,Festland::N,хуурай газар,ракъдаллъи
134,Meer::N,далай,ралъад
135,Meer::N,тэнгис,ралъад
136,Bucht::N,булан,кӏветӏ
137,Bucht::N,далайн тохой,кӏветӏ
138,Insel::N,арал,чӏинкӏиллъи
139,Blume::N,цэцэг,тӏегь
140,Gras::N,өвс,хер
141,Gras::N,ногоо,хер
142,Wurzel::N,үндэс,кьибил
143,Baum::N,мод,гъветӏ
144,Stamm::N,иш,рохти
145,Stamm::N,гуалин,рохти
146,Rinde::N,холтос,макъар
147,Ast::N,гишүү,ноцӏ
148,Zweig::N,салаа,гӏаркьел
149,Blatt::N,навч,тӏамах
150,Birke::N,хус,мах
151,Birke::N,хус,махигъветӏ
152,Kiefer[Baum]::N,нарс,накӏкӏигъветӏ
153,Weide[Baum]::N,уд,рицӏцӏ
154,Weide[Baum]::N,уд,рицӏцӏигъветӏ
155,Weide[Baum]::N,бургас,рицӏцӏ
156,Weide[Baum]::N,бургас,рицӏцӏигъветӏ
157,Tanne::N,гачуур,ёлка
158,Horn::N,эвэр,лълъар
159,Feder::N,өд,хӏули
160,Fell::N,арьс,тӏом
161,Fell::N,арьс,цӏоко
162,Flügel::N,жигүүр,кваркьи
163,Flügel::N,далавч,кваркьи
164,Klaue::N,савар,галъ
165,Klaue::N,хумс,галъ
166,Kralle::N,савар,квачӏ
167,Kralle::N,савар,катиквачӏ
168,Schwanz::N,сүүл,рачӏ
169,Ei::N,өндөг,хоно
170,Nest::N,үүр,бусен
171,Bau::N,нүх,каратӏ
172,Bau::N,элүү,каратӏ
173,Tier::N,амьтан,хӏайван
174,Tier::N,адгуус,хӏайван
175,Herde::N,сүрэг,рехъен
176,Herde::N,сүрэг,рехъед
177,Kuh::N,үнээ,гӏака
178,Bulle::N,бух,оц
179,Pferd::N,морь,чу
180,Pferd::N,адуу,чу
181,Schaf::N,хонь,чахъу
182,Schwein::N,гахай,болъон
183,Hund::N,нохой,гьой
184,Katze::N,муур,кету
185,Katze::N,мигуй,кету
