,Concept_ID,cv,fa
436,Fenster::N,чӳрече,پنجره
437,Tür::N,алӑк,در
438,Tür::N,алӑк,درب
439,Tor::N,хапха,دروازه
440,Zaun::N,хӳме,حصار
441,Dach::N,тӑрӑ,بام
442,Leiter::N,пусма,نردبان
443,Besen::N,шӑпӑр,جارو
444,Spaten::N,кӗреҫе,بیل
445,Schaufel::N,кӗреҫе,بیل
446,Schaufel::N,кӗреҫе,پارو
447,Gabel::N,вилка,چنگال
448,Löffel::N,кашӑк,قاشق
449,Messer::N,ҫӗҫӗ,کارد
450,Nagel::N,пӑта,میخ
451,Netz::N,тетел,تور
452,Netz::N,тетел,شبکه
453,Haken::N,йӑрхах,قلاب
454,Haken::N,ҫекӗл,قلاب
455,Griff::N,хӑлӑп,دسته
456,Schloss::N,ҫӑра,قفل
457,Bild::N,сӑн,عکس
458,Bild::N,сӑн,تصویر
459,Bild::N,сӑнлӑх,عکس
460,Bild::N,сӑнлӑх,تصویر
461,Bild::N,картина,عکس
462,Bild::N,картина,تصویر
463,Figur::N,кӗлетке,تندیس
464,Puppe::N,пукане,عروسک
465,Beutel::N,михӗ,کیسه
466,Bündel::N,ҫыхӑ,بسته
467,Bündel::N,тӗрке,بسته
468,Tasche::N,сумка,کیف
469,Eimer::N,витре,سطل
470,Deckel::N,хупӑ,در
471,Geschirr::N,савӑт-сапа,ظرف
472,Sack::N,михӗ,گونی
473,Tasse::N,курка,فنجان
474,Topf::N,кастрюль,دیگ
475,Topf::N,кастрюль,قابلمه
476,Kessel::N,хуран,دیگ
477,Essen::N,апат,خوراک
478,Nahrung::N,апат-ҫимӗс,غذا
479,Speise::N,апат,خوراک
480,Speise::N,ҫимӗҫ,خوراک
481,Fleisch::N,аш,گوشت
482,Fleisch::N,какай,گوشت
483,Getreide::N,тырӑ,غله
484,Brei::N,пӑтӑ,فرنی
485,Brei::N,пӑтӑ,حریره
486,Brot::N,ҫӑкӑр,نان
487,Scheibe::N,чӗлӗ,قاچ
488,Scheibe::N,чӗлӗ,لزگه
489,Scheibe::N,касӑк,قاچ
490,Scheibe::N,касӑк,لزگه
491,Fett::N,ҫу,چربی
492,Butter::N,ҫу,کره
493,Öl::N,ҫу,روغن
494,Salz::N,тӑвар,نمک
495,Suppe::N,яшка,آش
496,Suppe::N,яшка,سوپ
497,Honig::N,пыл,عسل
498,Milch::N,сӗт,شیر
499,Tee::N,чей,چای
500,Leder::N,сӑран,چرم
501,Wolle::N,ҫӑм,پشم
502,Stoff::N,тӗртӗм,پارچه
503,Nadel::N,йӗп,سوزن
504,Faden::N,ҫип,نخ
505,Knopf::N,тӳме,دکمه
506,Knoten::N,йӑлӑ,گره
507,Farbe::N,сӑрӑ,رنگ
508,Kleidung::N,тум,لباس
509,Kleidung::N,тум,پوشاک
510,Kleidung::N,ҫипуҫ,لباس
511,Kleidung::N,ҫипуҫ,پوشاک
512,Kleidung::N,тум-тир,لباس
513,Kleidung::N,тум-тир,پوشاک
514,Hemd::N,кӗпе,پیراهن
515,Kragen::N,ҫуха,یقه
516,Ärmel::N,ҫанӑ,آستین
517,Hose::N,шӑлавар,شلوار
518,Gürtel::N,пиҫиххи,کمر‌بند
519,Mütze::N,ҫӗлӗк,کلاه
520,Schuh::N,пушмак,کفش
521,Schuh::N,ботинок,کفش
522,Stiefel::N,атӑ,چکمه
523,Ring::N,ҫӗрӗ,حلقه
524,Ring::N,ҫӗрӗ,انگشتر
525,Band::N,хаю,نوار
526,Band::N,хаю,روبان
527,Band::N,йӗсме,نوار
528,Band::N,йӗсме,روبان
529,Kamm::N,тура,شانه
530,Spiegel::N,тӗкӗр,آینه
531,Spiegel::N,куҫ кӗски,آینه
532,Riemen::N,чӗн,تسمه
