,Concept_ID,ga,no
1341,nähen::V,fuaigh,sy
1342,färben::V,dathaigh,farge
1343,reinigen::V,glan,rense
1344,reinigen::V,glan,gjøre ren
1345,waschen::V,nigh,vaske
1346,abwischen::V,glan,tørke av
1347,spülen::V,sruthlaigh,spyle
1348,spülen::V,sruthlaigh,skylle
1349,fegen::V,scuab,feie
1350,kehren::V,scuab,koste
1351,baden::V,folc,bade
1352,sich waschen::V,nigh é féin,vaske seg
1353,ausziehen::V,bain de,ta av
1354,anziehen::V,cuir ar,ta på
1355,sich anziehen::V,gléas é féin,kle på seg
1356,kämmen::V,cíor,gre
1357,kämmen::V,cíor,kjemme
1358,schmücken::V,maisigh,pynte
1359,schmücken::V,maisigh,smykke
1360,sagen::V,abair,si
1361,sprechen::V,labhair,snakke
1362,reden::V,caintigh,tale
1363,reden::V,caintigh,snakke
1364,sich unterhalten::V,caintigh,samtale
1365,sich unterhalten::V,tá ag comhrá,samtale
1366,fragen::V,fiafraigh,spørre
1367,fragen::V,cuir ceist,spørre
1368,bitten::V,iarr,be
1369,erzählen::V,inis,fortelle
1370,erzählen::V,eachtraigh,fortelle
1371,mitteilen::V,aithris,meddele
1372,mitteilen::V,cuir in iúl,meddele
1373,nennen::V,ainmnigh,kalle
1374,rufen::V,glaoigh,rope
1375,prahlen::V,maígh,skryte
1376,übersetzen::V,aistrigh,oversette
1377,denken::V,síl,tenke
1378,denken::V,ceap,tenke
1379,glauben::V,creid,tro
1380,bemerken::V,tabhair faoi deara,bemerke
1381,bemerken::V,tabhair faoi deara,legge merke til
1382,erkennen::V,aithin,gjenkjenne
1383,begreifen::V,tuig,begripe
1384,verstehen::V,tuig,forstå
1385,verstehen::V,tuig,skjønne
1386,lernen::V,foghlaim,lære
1387,wissen::V,tá a fhios ag,vite
1388,sich erinnern an::V,cuimhnigh ar,huske på
1389,sich erinnern an::V,is cuimhne ar,huske på
1390,vergessen::V,dearmad,glemme
1391,messen::V,tomhais,måle
1392,zählen::V,cuntais,telle
1393,rechnen::V,ríomh,regne
1394,rechnen::V,áirigh,regne
1395,lesen::V,léigh,lese
1396,malen::V,péinteáil,male
1397,zeichnen::V,línigh,tegne
1398,zeichnen::V,tarraing,tegne
1399,schreiben::V,scríobh,skrive
1400,besitzen::V,is le,eie
1401,besitzen::V,is le,inneha
1402,kaufen::V,ceannaigh,kjøpe
1403,verkaufen::V,díol,selge
1404,bezahlen::V,íoc as,betale
1405,zahlen::V,íoc,betale
1406,beherrschen::V,rialaigh,beherske
1407,ertragen::V,seas,orke
1408,ertragen::V,fulaing,orke
1409,ertragen::V,foighnigh,orke
1410,Ader::N,,åre
1411,vorwärts::ADV,,fram
1412,vorwärts::ADV,,framover
