,Concept_ID,,ps
707,dann::ADV,,وروسته
708,gestern::ADV,,پرون
709,einst::ADV,,پخوا
710,damals::ADV,,هغه وخت
711,danach::ADV,,بیا
712,vorher::ADV,,دمخه
713,zuerst::ADV,,لومړی
714,einmal::ADV,,یو ځل
715,manchmal::ADV,,ګاهی ګاهی
716,oft::ADV,,ډېر ځله
717,immer::ADV,,تل
718,immer::ADV,,همېشه
719,niemals::ADV,,هیڅکله نه
720,hier::ADV,,دلته
721,hierhin::ADV,,دلته
722,hierhin::ADV,,دې ځای ته
723,von hier::ADV,,د دې ځای نه
724,dort::ADV,,هلته
725,dorthin::ADV,,هلته
726,dorthin::ADV,,هغه ځای ته
727,geradeaus::ADV,,مخامخ
728,vorwärts::ADV,,مخ پهٔ وړاندې
729,rückwärts::ADV,,بېرته
730,zurück::ADV,,بېرته
731,unten::ADV,,لاندي
732,hinab::ADV,,ښکته
733,oben::ADV,,پورته
734,hinauf::ADV,,پاس
735,überall::ADV,,هره خوا
736,nicht::ADV,,نه
737,ein wenig::ADV,,یو څه
738,kaum::ADV,,ایله
739,sehr::ADV,,ډېر
740,sehr::ADV,,زيات
741,so::ADV,,داسې
742,so::ADV,,دومره
743,noch::ADV,,نور
744,nur::ADV,,تش
745,nur::ADV,,صرف
746,schon::ADV,,دمخه
747,wieder::ADV,,بیا
748,vergebens::ADV,,عبث
749,vor::PRP,,دمخه
750,hinter::PRP,,شاته
751,unter::PRP,,لاندي
752,durch::PRP,,د مینځ نه
753,neben::PRP,,نژدې
754,zwischen::PRP,,ترمینځ
755,wegen::PRP,,د ... له لاسه
756,dies::PRN,,دا
757,das::PRN,,دا
758,alles::PRN,,هرڅهٔ
759,ich::PRN,,زه
760,du::PRN,,ته
761,er::PRN,,دی
762,wir::PRN,,مونږ
763,ihr::PRN,,تاسې
764,sie::PRN,,هغوی
765,was::FPRN,,څهٔ
766,wer::FPRN,,چا
767,wer::FPRN,,څوک
768,wo::FADV,,چيری
