,Concept_ID,vep,es
463,Butter::N,voi,mantequilla
464,Öl::N,voi,aceite
465,Salz::N,sol,sal
466,Suppe::N,lem',sopa
467,Suppe::N,keitoz,sopa
468,Honig::N,mezi,miel
469,Milch::N,maid,leche
470,Tee::N,čai,té
471,Leder::N,nahk,cuero
472,Wolle::N,vill,lana
473,Stoff::N,kangaz,tela
474,Stoff::N,kangaz,tejido
475,Nadel::N,negl,aguja
476,Faden::N,nit',hilo
477,Knopf::N,nübl',botón
478,Knoten::N,sol'm,nudo
479,Farbe::N,muju,pintura
480,Kleidung::N,sobad,ropa
481,Kleidung::N,sobad,vestidos
482,Hemd::N,paid,camisa
483,Kragen::N,kagluz,cuello
484,Ärmel::N,hijam,manga
485,Hose::N,štanad,pantalón
486,Gürtel::N,vö,cinturón
487,Mütze::N,šapuk,gorro
488,Schuh::N,keng',zapato
489,Stiefel::N,sapug,bota
490,Ring::N,rengaz,anillo
491,Band::N,lentaine,cinta
492,Kamm::N,suga,peine
493,Spiegel::N,zerkol,espejo
494,Riemen::N,vö,correa
495,Schnur::N,nor,cuerda
496,Leine::N,talutimnor,correa
497,Decke::N,sijakatuz,manta
498,Kissen::N,pöluz,almohada
499,Tuch::N,paik,pañuelo
500,Handtuch::N,käzipaik,toalla
501,Kraft::N,vägi,fuerza
502,Stärke::N,vahvuz',fuerza
503,Gesundheit::N,tervhuz,salud
504,Krankheit::N,läžund,enfermedad
505,Schmerz::N,kibu,dolor
506,Wunde::N,čapatez,llaga
507,Wunde::N,čapatez,herida
508,Fieber::N,säru,fiebre
509,Arznei::N,zel'l',medicina
510,Arznei::N,zel'l',medicamento
511,Brücke::N,sild,puente
512,Brunnen::N,kaiv,pozo
513,Weide::N,omaluine,pasto
514,Pfad::N,tehut,sendero
515,Weg::N,te,camino
516,Straße::N,te,vía
517,Straße::N,te,carretera
518,Dorf::N,külä,aldea
519,Dorf::N,külä,pueblo
520,Stadt::N,lidn,ciudad
521,Brief::N,kirjeine,carta
522,Buch::N,kirj,libro
523,Buchstabe::N,kirjam,letra
524,Buchstabe::N,kirjam,carácter
525,Zeitung::N,lehtez,diario
526,Zeitung::N,lehtez,periódico
527,Leben::N,elo,vida
528,Tod::N,surm,muerte
529,Grab::N,kaum,tumba
530,Grab::N,kaum,sepulcro
531,Kirche::N,jumalanpert',iglesia
532,Sünde::N,grähk,pecado
533,Gott::N,jumal,dios
534,Arbeiter::N,radnik,obrero
535,Arbeiter::N,radnik,trabajador
536,Chef::N,pämez',jefe
537,Meister::N,mastar,maestro
538,Arzt::N,lekar',médico
539,Lehrer::N,opendai,profesor
540,Geld::N,rahad,dinero
541,Geschäft::N,biznes,negocio
542,Laden::N,lauk,tienda
543,Preis::N,arv,precio
544,Ware::N,tavar,mercancía
545,Nutzen::N,liža,provecho
546,Reichtum::N,kodielo,riqueza
547,Reichtum::N,kal'huz',riqueza
548,Welt::N,mail'm,mundo
549,Land::N,ma,país
550,Staat::N,valdkund,Estado
551,König::N,kunigaz,rey
552,Macht::N,vald,poder
553,Macht::N,vald,potencia
554,Grenze::N,röun,frontera
555,Krieg::N,soda,guerra
556,Feind::N,vihanik,enemigo
557,Feind::N,vastustai,enemigo
558,Gewalt::N,vägivald,violencia
559,Kampf::N,tora,lucha
560,Kampf::N,tora,combate
561,Bogen[Waffe]::N,taug,arco
562,Pfeil::N,nol,flecha
563,Gewehr::N,oružj,fusil
564,Gewehr::N,oružj,escopeta
565,Fehler::N,viga,error
566,Lüge::N,kelastuz,mentira
567,Schaden::N,pahuz',daño
568,Unglück::N,bed,desgracia
569,Unglück::N,gor'a,desgracia
570,Schuld::N,värhuz',culpa
571,Alter::N,igä,edad
572,Schluss::N,lop,fin
573,Schluss::N,lop,final
574,Zeit::N,aig,tiempo
575,Tag::N,päiv,día
576,Morgen::N,homendez,mañana
577,Mittag::N,keskpäiv,mediodía
578,Abend::N,eht,noche
579,Nacht::N,ö,noche
580,Woche::N,nedal',semana
581,Monat::N,ku,mes
582,Jahr::N,voz',año
583,Frühling::N,keväz',primavera
584,Sommer::N,keza,verano
585,Herbst::N,sügüz',otoño
