,Concept_ID,fi,uk
477,Tuch::N,huivi,хустка
478,Handtuch::N,pyyheliina,рушник
479,Kraft::N,väki,сила
480,Kraft::N,voima,сила
481,Stärke::N,vahvuus,сила
482,Gesundheit::N,terveys,здоров’я
483,Krankheit::N,tauti,хвороба
484,Krankheit::N,sairaus,хвороба
485,Schmerz::N,kipu,біль
486,Schmerz::N,särky,біль
487,Wunde::N,haava,рана
488,Fieber::N,kuume,гарячка
489,Arznei::N,lääke,ліки
490,Brücke::N,silta,міст
491,Brunnen::N,kaivo,колодязь
492,Weide::N,laidun,пасовище
493,Pfad::N,polku,стежка
494,Weg::N,tie,шлях
495,Weg::N,tie,дорога
496,Straße::N,katu,вулиця
497,Dorf::N,kylä,село
498,Stadt::N,kaupunki,місто
499,Brief::N,kirje,лист
500,Buch::N,kirja,книга
501,Buch::N,kirja,книжка
502,Buchstabe::N,kirjain,буква
503,Buchstabe::N,kirjain,літера
504,Zeitung::N,lehti,газета
505,Zeitung::N,sanomalehti,газета
506,Leben::N,elo,життя
507,Leben::N,elämä,життя
508,Tod::N,kuolema,смерть
509,Grab::N,hauta,могила
510,Kirche::N,kirkko,церква
511,Sünde::N,synti,гріх
512,Gott::N,jumala,бог
513,Arbeiter::N,työläinen,робітник
514,Chef::N,päällikkö,хазяїн
515,Meister::N,mestari,умілець
516,Arzt::N,lääkäri,лікар
517,Lehrer::N,opettaja,вчитель
518,Geld::N,raha,гроші
519,Geschäft::N,liike,заняття
520,Laden::N,puoti,магазин
521,Laden::N,puoti,крамниця
522,Laden::N,kauppa,магазин
523,Laden::N,kauppa,крамниця
524,Preis::N,hinta,ціна
525,Ware::N,tavara,товар
526,Nutzen::N,hyöty,вигода
527,Nutzen::N,hyöty,користь
528,Reichtum::N,rikkaus,багатство
529,Welt::N,maailma,світ
530,Land::N,maa,країна
531,Staat::N,valtio,держава
532,König::N,kuningas,король
533,Macht::N,mahti,влада
534,Grenze::N,raja,кордон
535,Krieg::N,sota,війна
536,Feind::N,vihollinen,ворог
537,Gewalt::N,väkivalta,насильство
538,Kampf::N,taistelu,бій
539,Kampf::N,taistelu,боротьба
540,Bogen[Waffe]::N,jousi,лук
541,Pfeil::N,nuoli,стріла
542,Gewehr::N,kivääri,рушниця
543,Gewehr::N,kivääri,гвинтівка
544,Fehler::N,vika,помилка
545,Fehler::N,virhe,помилка
546,Lüge::N,valhe,брехня
547,Schaden::N,vaurio,шкода
548,Schaden::N,vaurio,збиток
549,Schaden::N,vahinko,шкода
550,Schaden::N,vahinko,збиток
551,Unglück::N,vahinko,нещастя
552,Unglück::N,onnettomuus,нещастя
553,Schuld::N,syy,провина
554,Alter::N,ikä,вік
555,Alter::N,ikä,літа
556,Schluss::N,loppu,кінець
557,Zeit::N,aika,час
558,Tag::N,päivä,день
559,Morgen::N,aamu,ранок
560,Morgen::N,huomen,ранок
561,Mittag::N,keskipäivä,південь
562,Abend::N,ilta,вечір
