,Concept_ID,kv,pt
676,kräftig::A,вына,poderoso
677,stark::A,вына,forte
678,stark::A,вына,robusto
679,schwach::A,некодя,débil
680,fett::A,госа,gordo
681,schlank::A,статя,esbelto
682,hübsch::A,басӧк,giro
683,hübsch::A,басӧк,bonito
684,böse::A,лёк,mau
685,dumm::A,бӧбӧв,parvo
686,dumm::A,бӧбӧв,estúpido
687,dumm::A,вежӧртӧм,parvo
688,dumm::A,вежӧртӧм,estúpido
689,faul::A,дыш,preguiçoso
690,fleißig::A,уджалicь,aplicado
691,fleißig::A,уджалicь,diligente
692,geizig::A,жикмӧра,avarento
693,geizig::A,горшаліcь,avarento
694,klug::A,авья,prudente
695,klug::A,авья,inteligente
696,klug::A,вежӧра,prudente
697,klug::A,вежӧра,inteligente
698,geschickt::A,кипода,hábil
699,lieb::A,муса,caro
700,lieb::A,муса,querido
701,lieb::A,дзулиньӧй,caro
702,lieb::A,дзулиньӧй,querido
703,lustig::A,гажа,alegre
704,sanft::A,лебезнӧй,suave
705,sanft::A,лебезнӧй,brando
706,hungrig::A,тшыг,faminto
707,krank::A,шогалiсь,doente
708,krank::A,шогалiсь,enfermo
709,nackt::A,куш,nu
710,nackt::A,куш,despido
711,traurig::A,жугыль,triste
712,lebendig::A,ловья,vivo
713,gut::A,бур,bom
714,schlecht::A,умӧль,mau
715,schlecht::A,умӧль,ruim
716,schlimm::A,нештӧм,mau
717,schlimm::A,нештӧм,grave
718,alt::A,важ,velho
719,alt::A,важ,antigo
720,neu::A,виль,novo
721,ehemalig::A,вӧвлӧм,antigo
722,alt[Lebewesen]::A,года,velho
723,alt[Lebewesen]::A,годдэза,velho
724,jung::A,том,jovem
725,arm::A,гов,pobre
726,arm::A,беднӧй,pobre
727,reich::A,эма,rico
728,bekannt::A,тӧдса,conhecido
729,fremd::A,чужӧй,alheio
730,fremd::A,чужӧй,estranho
731,verschieden::A,быдкодь,diverso
732,verschieden::A,быдкодь,diferente
733,nah::A,матiсь,próximo
734,fern::A,ылicь,remoto
735,fern::A,ылicь,distante
736,linker::A,шульга,esquerdo
737,rechter::A,веськытланись,direito
738,anderer::A,мукӧд,outro
739,erster::A,медодзза,primeiro
740,zweiter::A,кыкӧт,segundo
741,dritter::A,куимӧт,terceiro
742,dritter::A,куимӧдз,terceiro
743,letzter::A,бӧрья,final
744,letzter::A,бӧрья,último
745,letzter::A,мёдбӧрья,final
746,letzter::A,мёдбӧрья,último
747,auf einmal::ADV,тшӧтш,de vez
