,Concept_ID,hr,fi
802,dumm::A,glup,tyhmä
803,dumm::A,glup,typerä
804,faul::A,lijen,laiska
805,fleißig::A,radin,ahkera
806,fleißig::A,marljiv,ahkera
807,geizig::A,škrt,saita
808,klug::A,razborit,älykäs
809,geschickt::A,vješt,taitava
810,lieb::A,drag,rakas
811,lustig::A,veseo,hauska
812,lustig::A,veseo,iloinen
813,sanft::A,blag,lauha
814,sanft::A,blag,lempeä
815,hungrig::A,gladan,nälkäinen
816,krank::A,bolestan,sairas
817,nackt::A,nag,alaston
818,traurig::A,tužan,surullinen
819,traurig::A,tužan,murheellinen
820,traurig::A,žalostan,surullinen
821,traurig::A,žalostan,murheellinen
822,lebendig::A,živ,elävä
823,gut::A,dobar,hyvä
824,schlecht::A,loš,paha
825,schlecht::A,loš,huono
826,schlecht::A,rđav,paha
827,schlecht::A,rđav,huono
