,Concept_ID,he,el
639,dumm::A,טפש,κουτός
640,dumm::A,טפש,ανόητος
641,faul::A,עצלן,τεμπέλης
642,fleißig::A,חרוץ,εργατικός
643,geizig::A,קמצן,τσιγγούνης
644,klug::A,נבון,έξυπνος
645,klug::A,פקח,έξυπνος
646,geschickt::A,מימן,επιδέξιος
647,lieb::A,יקר,φίλος
648,lieb::A,יקר,αγαπητός
649,lieb::A,אהוב,φίλος
650,lieb::A,אהוב,αγαπητός
651,lustig::A,עליז,εύθυμος
652,lustig::A,עליז,χαρούμενος
653,sanft::A,עדין,ήπιος
654,hungrig::A,רעב,πεινασμένος
655,krank::A,חולה,άρρωστος
656,nackt::A,ערום,γυμνός
657,traurig::A,עצוב,λυπημένος
658,lebendig::A,חי,ζωντανός
659,gut::A,טוב,καλός
660,schlecht::A,גרוע,κακός
661,richtig::A,נכון,σωστός
662,schlimm::A,רע,άσχημος
663,wahr::A,אמתי,αληθής
664,wahr::A,אמתי,αληθινός
665,alt::A,ישן,παλιός
666,neu::A,חדש,νέος
667,neu::A,חדש,καινούργιος
668,ehemalig::A,לשעבר,παλιός
669,alt[Lebewesen]::A,זקן,γέρος
670,jung::A,צעיר,νέος
671,arm::A,עני,φτωχός
672,reich::A,עשיר,πλούσιος
673,bekannt::A,ידוע,γνωστός
674,berühmt::A,מפרסם,περίφημος
675,berühmt::A,מפרסם,ξακουσμένος
676,fremd::A,זר,ξένος
677,verschieden::A,שונה,διαφορετικός
678,nah::A,קרוב,κοντινός
679,fern::A,רחוק,μακριά
680,linker::A,שמאלי,αριστερός
681,rechter::A,ימין,δεξιός
682,anderer::A,אחר,άλλος
683,erster::A,ראשון,πρώτος
684,zweiter::A,שני,δεύτερος
685,dritter::A,שלישי,τρίτος
686,letzter::A,אחרון,τελευταίος
687,allein::ADV,לבד,μόνος
688,auf einmal::ADV,בו-זמנית,εφάπαξ
689,zusammen::ADV,ביחד,μαζί
690,lange::ADV,הרבה זמן,πολύν καιρό
691,plötzlich::ADV,לפתע,έξαφνα
692,plötzlich::ADV,פתאום,έξαφνα
693,sofort::ADV,מיד,αμέσως
694,später::ADV,לאחר זמן,αργότερα
695,später::ADV,יותר מאחר,αργότερα
696,jetzt::ADV,עכשיו,τώρα
697,heute::ADV,היום,σήμερα
698,morgen::ADV,מחר,αύριο
699,bald::ADV,בקרוב,σε λίγο
700,bald::ADV,בקרוב,εντός ολίγου
701,dann::ADV,אחר-כך,ύστερα
702,gestern::ADV,אתמול,χτες
703,einst::ADV,לפנים,ποτέ
704,einst::ADV,לפנים,άλλοτε
705,damals::ADV,אז,τότε
706,danach::ADV,אחר-כך,μετά
707,danach::ADV,אחר-כך,ύστερα
708,vorher::ADV,לפני זה,πριν
709,vorher::ADV,לפני זה,προηγουμένως
710,zuerst::ADV,קדם,πρώτα
711,einmal::ADV,פעם,μία φορά
712,manchmal::ADV,לפעמים,κάποτε
713,oft::ADV,לעתים קרובות,συχνά
714,oft::ADV,לעתים קרובות,πολλές φορές
715,immer::ADV,תמיד,πάντα
716,immer::ADV,תמיד,πάντοτε
717,niemals::ADV,אף פעם,ποτέ
718,hier::ADV,כאן,εδώ
719,hierhin::ADV,פה,εδώ
720,von hier::ADV,מפה,από δω
721,dort::ADV,שם,εκεί
722,dorthin::ADV,שם,προς τα κει
723,geradeaus::ADV,ישר,κατευθείαν
724,vorwärts::ADV,קדימה,εμπρός
